序號,行政區域代碼,院所名稱,地址,電話,語音預約
1,63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,02-2713-5211,
2,63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,02-2765-3147,
3,63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-2764-2151,
4,63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-2771-8151,
5,63000010,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,02-2763-2260,
6,63000010,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,02-2577-0101,
7,63000010,博仁綜合醫院,臺北市松山區光復北路66號,02-2578-6677,
8,63000010,佑家診所,臺北市松山區八德路三段233號,02-2578-5658,
9,63000010,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,02-2713-8815,
10,63000010,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,02-2577-9898,
11,63000010,劉內兒科診所,臺北市松山區民生東路五段148號1樓,02-2760-3922,
12,63000010,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,02-7728-7688,
13,63000010,心田民生診所,臺北市松山區民生東路五段105號1樓,02-2765-3039,
14,63000010,弘宇診所,臺北市松山區民權東路三段160巷2之6號,02-2712-8875,
15,63000010,全煜耳鼻喉科診所,臺北市松山區復興北路73號2樓,02-8772-9068,
16,63000010,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,02-2718-1177,
17,63000010,吳慶南內科診所,臺北市松山區民生東路五段138號,02-2765-9566,
18,63000010,宥全診所,臺北市松山區民生東路五段216號1樓,02-2767-8225,
19,63000010,陳炳堅內科診所,臺北市松山區延壽街327號,02-2763-7199,
20,63000010,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,02-8772-8086,
21,63000010,畇力診所,臺北市松山區富錦街512號1樓,02-2765-9022,
22,63000010,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,02-2768-9577,
23,63000010,民生翁耳鼻喉科診所,臺北市松山區民生東路五段78號1樓,02-2762-5922,
24,63000010,康瑞耳鼻喉科診所,臺北市松山區八德路三段154號,02-2578-2522,
25,63000010,江建中診所,臺北市松山區八德路四段285號,02-2764-7883,
26,63000010,安德聯合診所,臺北市松山區八德路三段34號4樓及12樓,02-2570-5886,
27,63000010,民安診所,臺北市松山區民生東路五段76號1樓,02-2766-0656,
28,63000010,沛康診所,臺北市松山區南京東路三段303巷5號1樓,02-8770-5556,
29,63000010,澄東耳鼻喉科診所,臺北市松山區三民路37號,02-2742-0552,
30,63000010,安禾聯合診所,臺北市松山區民權東路三段178號3樓,02-2713-7889,
31,63000010,朱家庭醫學科診所,臺北市松山區八德路三段12巷57弄39-1號1樓,02-2579-5004,
32,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-2737-2181,
33,63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,02-8780-4152,
34,63000020,黃啟彰診所,臺北市信義區松山路261-1號,02-2769-6218,
35,63000020,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,02-2729-6611,
36,63000020,明輝診所,臺北市信義區松隆路282-3號,02-8787-1235,
37,63000020,林應然小兒科診所,臺北市信義區福德街75號,02-2759-5328,
38,63000020,長風小兒科診所,臺北市信義區莊敬路351號,02-2722-7943,
39,63000020,登瑞安診所,臺北市信義區林口街232號,02-2726-5228,
40,63000020,信義邱婦產科診所,臺北市信義區虎林街198號,02-2727-8275,
41,63000020,承芯耳鼻喉科診所,臺北市信義區大道路121號1樓,02-2726-5025,
42,63000020,臺北產業醫診所,臺北市信義區信義路五段7號35樓,02-8101-6355,
43,63000020,樂恬診所,臺北市信義區莊敬路178巷13號,02-2720-6700,
44,63000020,莊敬診所,臺北市信義區莊敬路280號,02-2758-9258,
45,63000020,聯合報系員工診療所,臺北市信義區忠孝東路四段559巷1號6樓,02-2760-1618,
46,63000020,松仁耳鼻喉科診所,臺北市信義區松仁路231號,02-8780-8580,
47,63000020,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,02-2726-3141,
48,63000020,王寬仁診所,臺北市信義區虎林街121巷11號1樓,02-2720-4952,
49,63000020,永吉羅耳鼻喉科診所,臺北市信義區永吉路272號,02-2768-3191,
50,63000020,朱耳鼻喉科診所,臺北市信義區忠孝東路五段452號,02-2720-9172,
51,63000020,松山班廷建興診所,臺北市信義區市民大道六段318號,02-2765-2295,
52,63000020,栢麗恆全人診所,臺北市信義區忠孝東路五段431號2樓,02-2765-7065,
53,63000020,福德郭耳鼻喉科診所,臺北市信義區福德街62號,02-2759-1051,
