編號,館所名稱,建物屬性,館所市話,所在縣市,詳細地址,館所網址,文化局對應頁面連結
1,士林官邸正館,國定古蹟,(02)28836340,臺北市,臺北市士林區福林路60號,https://www.mbcksslr.taipei/home/zh-tw,https://culture.gov.taipei/cp.aspx?n=5FB2672C1EFD7588
2,臺北記憶倉庫,歷史建築,(02)23714597,臺北市,臺北市中正區忠孝西路一段265號,https://www.facebook.com/Taipeiinfohub,https://culture.gov.taipei/cp.aspx?n=D12C90A3AEE9F2A2
3,水源劇場,,(02)23625221,臺北市,臺北市中正區羅斯福路四段92號10樓,,https://culture.gov.taipei/cp.aspx?n=50E12856E54EF895
4,王大閎自宅（原貌重建）,,(02)25957656,臺北市,臺北市中山區中山北路三段153號,,https://culture.gov.taipei/cp.aspx?n=B1809041E80CC5EB
5,北投溫泉博物館,直轄市定古蹟,(02)28939981,臺北市,臺北市北投區中山路二號,https://hotspringmuseum.taipei/,https://culture.gov.taipei/cp.aspx?n=680DE22A4F00B25F
6,市長官邸藝文沙龍,歷史建築,(02)23968198,臺北市,臺北市中正區徐州路46號,https://www.mayorsalon.tw/,https://culture.gov.taipei/cp.aspx?n=442386049DD940E1
7,永安藝文館,一般建築,(02)29393088,臺北市,臺北市文山區木新路2段156-1號,https://www.facebook.com/people/%E6%B0%B8%E5%AE%89%E8%97%9D%E6%96%87%E9%A4%A8-Yong-An-Art-Center/100092591355328/?_rdr,https://culture.gov.taipei/cp.aspx?n=525C85EA220FD40D
8,西門紅樓,,(02)23119380,臺北市,臺北市萬華區成都路10號,https://www.redhouse.taipei/index.aspx,https://culture.gov.taipei/cp.aspx?n=EAA3D79E3A42931C
9,李國鼎故居,直轄市定古蹟,(02)23564398,臺北市,臺北市中正區泰安街2巷3號,https://online.ktli.org.tw/,https://culture.gov.taipei/cp.aspx?n=C5ADD90D30AA41B3
10,松山文化創意園區,直轄市定古蹟,(02)27651388,臺北市,臺北市信義區光復南路133號,https://www.songshanculturalpark.org/,https://culture.gov.taipei/cp.aspx?n=6E86E2E15BF8B541
11,林語堂故居,,(02)28613003,臺北市,臺北市士林區仰德大道二段141號,http://www.linyutang.org.tw/,https://culture.gov.taipei/cp.aspx?n=F6B7D3411A4EBFC4
12,芝山文化生態綠園,,(02)88666258,臺北市,臺北市士林區雨聲街120號,https://zcegarden.org.tw/,https://culture.gov.taipei/cp.aspx?n=3D772A5952546D00
13,牯嶺街小劇場,,(02)23919393,臺北市,臺北市中正區牯嶺街5巷2號,http://www.glt.org.tw/,https://culture.gov.taipei/cp.aspx?n=A5587AC3FE3735F3
14,紀州庵文學森林,直轄市定古蹟, (02)23687577,臺北市,臺北市中正區同安街107號,https://kishuan.org.tw/,https://culture.gov.taipei/cp.aspx?n=6A32DF304BEE6EFA
15,剝皮寮歷史街區,,(02)23023199,臺北市,臺北市萬華區康定路173巷,https://www.bopiliao.taipei/,https://culture.gov.taipei/cp.aspx?n=8479F91AFD9EB0E0
16,孫運璿科技人文紀念館,,(02)23112940,臺北市,臺北市中正區重慶南路二段6巷10號,https://www.sysmm.org/,https://culture.gov.taipei/cp.aspx?n=7F5537B1FD015C40
17,紫藤廬茶館,直轄市定古蹟,(02)23637375,臺北市,臺北市大安區新生南路三段16巷1號,https://www.wistariateahouse.com/,https://culture.gov.taipei/cp.aspx?n=6D8D9BF9A2E55CCC
18,新北投車站,歷史建築,(02)28915558,臺北市,臺北市北投區七星街1號,https://www.xbths.taipei/index.php,https://culture.gov.taipei/cp.aspx?n=8A525F479E319D08
19,新芳春茶行,直轄市定古蹟,(02)77563910,臺北市,臺北市大同區民生西路309號,https://www.facebook.com/sinhongchoon,https://culture.gov.taipei/cp.aspx?n=3BDC3C435472C909
20,台北二二八紀念館,一般建築,(02)23897228,臺北市,臺北市中正區凱達格蘭大道3號,https://228memorialmuseum.gov.taipei/,https://culture.gov.taipei/cp.aspx?n=77F675B56F30587A
21,臺北之家 (光點臺北),直轄市定古蹟,(02)25117786,臺北市,臺北市中山區中山北路二段18號,http://www.spot.org.tw/,https://culture.gov.taipei/cp.aspx?n=0F9F54FC659C9D08
22,臺北市中山堂,,(02)23813137,臺北市,臺北市中正區延平南路98號,https://www.zsh.gov.taipei/,https://culture.gov.taipei/cp.aspx?n=0BFB85BF38F39C90
