單位名稱,統一編號,負責人,登記地址,公司電話,產業範疇,位置X座標,位置Y座標
美康諾生醫股份有限公司,90602313,李忠翰,臺北市南港區忠孝東路7段508號3樓之8,02-2700-6006,醫療器材產業,311506,2771689
順豐生技有限公司,54368496,陳泳霖,臺北市內湖區民權東路6段123巷25號,02-2603-5208,應用生技,309827,2773645
台灣動析智能科技有限公司,50882577,麥年豐,臺北市信義區松德路6號8樓,02-6604-1066,醫療器材產業,308273,2770285
紐西蘭商費雪派克醫療器材有限公司台灣分公司,28979400,邱建育,臺北市內湖區瑞光路411號7樓及413號7樓,02-8751-1739,醫療器材產業,307642,2774579
田博士生物科技有限公司,90587039,田德敭,臺北市南港區園區街3號17樓,02-2767-0855,製藥產業,311745,2772394
好俊生物科技股份有限公司,53746247,黃俊昌,臺北市中山區南京東路1段86號6樓之6,02-7707-2158,應用生技,303034,2771631
台灣面速力達母有限公司,84937642,冼啟聰,臺北市內湖區基湖路10巷57號6樓,02-8751-8818,應用生技,306869,2775017
新加坡商識動亞洲生技股份有限公司,90430831,簡禎瑩,臺北市內湖區新湖二路345號6樓,02-2795-5178,應用生技,308920,2773080
英屬開曼群島商樂威科股份有限公司,42949701,張乃文,臺北市信義區西村里松智路1號10樓,02-2325-2295；02-2545-3697,應用生技,307123,2770192
創世紀生技股份有限公司,16582122,鍾瞿鴻,臺北市內湖區大湖街166巷14號,02-8792-9619 02-8792-9762,醫療器材產業,310646,2775181
赫而司生技有限公司,54678838,陳漢章,臺北市南港區園區街3之1號5樓之3,02-2633-6117 02-2523-3939,應用生技,311731,2772315
保瑞爾生技股份有限公司,27363237,JohnSheahan,臺北市信義區信義路5段2號5樓,02-7725-6600,應用生技,306500,2769530
艾麗得有限公司,54355295,楊鎧瑞,臺北市內湖區堤頂大道1段327號3樓（316室）,02-8791-9163,醫療器材產業,307812,2772790
英屬蓋曼群島商合富醫療器材股份有限公司,53011168,王瓊芝,臺北市大安區敦化南路2段76號23樓,02-2325-2008；02-2515-2288,醫療器材產業,305342,2769113
禾豐醫企業有限公司,83062570,湯秀滿,臺北市大安區忠孝東路4段295號3樓,02-8919-1158,醫療器材產業,306010,2770501
康僑藥品有限公司,70461589,吳秀玲,臺北市內湖區港墘路82巷7弄13號1樓,02-8797-1741,製藥產業,308259,2774923
磊柏國際有限公司,53121307,彭永壹,臺北市內湖區港墘路221巷41號7樓之3,02-2659-5717,醫療器材產業,308013,2774021
美商安美睿生技有限公司台灣分公司,56698417,Kush Dhody,臺北市南港區三重路19-11號3樓,02-2655-3391,應用生技,311923,2772402
安德醫材有限公司,42675126,張治安,臺北市內湖區內湖路1段66號3樓,04-2339-4423,醫療器材產業,306721,2775163
滎洋醫藥股份有限公司,80545320,黃錦津,臺北市北投區承德路6段120號14樓,02-2755-4881,製藥產業,301690,2777351
品沃科技股份有限公司,83550418,沈宗哲,臺北市南港區園區街3-2號9樓,02-2785-7745；02-2655-7868,應用生技,311739,2772221
肝王製藥股份有限公司,31285852,葉恩強,臺北市北投區公館路93號,02-2891-6135,製藥產業,300899,2780323
如鑫生物科技股份有限公司,29185012,曾國棠,臺北市南港區園區街3號10樓之2,02-2653-8080；02-2793-8088,應用生技,311745,2772394
萊枎有限公司,95492531,林巖,臺北市內湖區洲子街12號2樓,02-8751-5503,醫療器材產業,308009,2774565
強生介護有限公司,27720208,李巧彥,臺北市內湖區瑞光路478巷18弄22號5樓,02-8797-5990,醫療器材產業,307328,2774589
麗特醫學科技有限公司,90186359,王清財,臺北市南港區研究院路1段130巷99號C棟C311,02-2653-8670,應用生技,311800,2771350
華威生技有限公司,27770810,周威丞,臺北市內湖區民權東路6段180巷6號9樓之12,02-7720-7730,醫療器材產業,309790,2773462
盛立生技股份有限公司,28698719,游家彰,臺北市內湖區新湖一路71號7樓,02-2792-5222,醫療器材產業,308023,2772339
盛永醫療器材股份有限公司,28845108,謝文富,臺北市內湖區新湖一路71號7樓,02-2792-5222,醫療器材產業,308023,2772339
元企科技股份有限公司,82845077,劉黛慧,臺北市內湖區民權東路6段8號4樓,02-27120204,醫療器材產業,307947,2773117
辰妍生物科技股份有限公司,24936789,阮建維,臺北市內湖區行愛路53號6樓,02-87911257,應用生技,308695,2772783
勝百瑞有限公司,28040545,馬昆山,臺北市內湖區民權東路六段16-2號5樓,02-8792-6962,醫療器材產業,308265,2773234
磐醫科技有限公司,82977323,楊永正,臺北市大同區南京西路62號7樓,02-8978-6667,應用生技,302370,2771721
陽明數位牙材股份有限公司,52608180,蘇俊鳴,臺北市大安區金山南路2段138號8樓,0968-601-015,醫療器材產業,303107,2769150
睿建生物科技有限公司,94105061,秘心吾,臺北市內湖區內湖路一段250號6樓,02-2659-0007,應用生技,307169,2774976
優萃生技有限公司,27520139,黃銘志,臺北市內湖區港墘路187號9樓,02-8753-6273,應用生技,307991,2774304
蘇菲營養生化股份有限公司,90596348,王耀信,臺北市南港區忠孝東路7段508號17樓之5,02-2653-0399,應用生技,311506,2771689
台灣賽默飛世爾科技股份有限公司,28685123,楊淑雯YeoSho-Wen,臺北市南港區忠孝東路7段508號4樓之2,02-8751-6655,醫療器材產業,311506,2771689
杏龍科技有限公司,13103325,謝東海,臺北市文山區三福街30號1樓,02-2931-1819,醫療器材產業,304764,2765574
沅弘綠活科技有限公司,54700917,陳宗愉,臺北市內湖區瑞光路66巷30號2樓,02-8791-7967,應用生技,308653,2773670
亞達企業有限公司,04433275,洪慶文,臺北市南港區南港路3段80巷34號2樓,02-2785-9800 02-6616-0001,醫療器材產業,309588,2772021
宗侯企業有限公司,28178935,阮進惠,臺北市信義區永吉路168號8樓&#160;,02-2700-7768,醫療器材產業,307618,2770935
嬌雅實業有限公司,12320653,鄭淳方,臺北市內湖區內湖路1段91巷12弄8號2樓,02-2797-2400 02-8797-3089,應用生技,306714,2775277
潛醫有限公司,90881510,李冠瑢,臺北市內湖區陽光街321巷18號5樓之1,02-2659-9430,應用生技,308386,2773940
金亞有限公司,22194374,余雲仙,臺北市士林區中正路613之1號7樓,02-2813-2639,醫療器材產業,301408,2775436
諾貝爾生物有限公司,86482596,戴子煌,臺北市士林區承德路4段150號3樓,02-2880-2913,應用生技,302768,2775310
艾昆緯股份有限公司,84766324,宓子厚-BrianZihouMi,臺北市松山區民生東路3段138號7樓,02-2175-6500；02-2705-6689,應用生技,305200,2772260
新賀斯國際有限公司,12657516,李怡瑱,臺北市中山區民生東路3段49號16樓,02-2718-9911,應用生技,304490,2772320
新加坡商施維雅股份有限公司,22000898,賀珂睿ColetteAliceROUCHES,臺北市中山區松江路168號3樓,02-2568-1380；02-2658-1767,製藥產業,303765,2772063
美商英瑞其全球生技股份有限公司台灣分公司,28423607,宋又時 SUNG， YU-SHIH,臺北市內湖區瑞光路550號7樓,02-7721-2525,應用生技,307209,2774726
九彥貿易有限公司,20984470,林兩全,臺北市內湖區洲子街85號7樓之1,02-8797-5901,應用生技,307564,2774806
皇雅生醫科技有限公司,54309770,陳義文,臺北市中正區南陽街1號5樓,02-8786-0081,醫療器材產業,302090,2770982
力暘生物科技股份有限公司,23737360,張來發,臺北市內湖區瑞光路188巷48號8樓,02-8751-1345,醫療器材產業,308178,2774066
仟鏸生物科技事業股份有限公司,27569012,藍瑢鏸,臺北市中山區合江街127巷24號1樓,02-2507-4758,應用生技,304507,2772603
宗信燦股份有限公司,12684865,游遠蓮,臺北市內湖區基湖路35巷13號3樓,02-8797-3089,應用生技,307054,2774731
昶安科技有限公司,89484318,曾惠美,臺北市內湖區瑞光路443號6樓,02-8751-5851,應用生技,307596,2774636
麥詩實業有限公司,31331069,曾祥益,臺北市內湖區內湖路一段91巷24弄38號2樓,02-2658-2201；02-2658-2577,應用生技,306792,2775330
瑞德生技股份有限公司,80524182,李林玉圓,臺北市中山區行仁里龍江路342巷47號4樓,02-2791-0010,醫療器材產業,304345,2773157
榮崑行生技股份有限公司,25125935,謝佳穎,臺北市內湖區瑞光路298號2樓,02-2658-5968,醫療器材產業,307966,2774362
穗耕種苗有限公司,22611461,林壽如,臺北市南港區忠孝東路6段180號3樓,08-775-5477,應用生技,309176,2771270
百岳特美膚科技股份有限公司,50798712,林詠翔,臺北市內湖區港墘路185號10樓,02-8797-7811,醫療器材產業,307996,2774311
聯杏股份有限公司,84125010,李浩偉,臺北市內湖區內湖路一段250號8樓,02-8752-5178,醫療器材產業,307169,2774976
百冠生化科技股份有限公司,28836023,李清勇,臺北市大同區保安里承德路3段267號9樓,02-2592-1661,應用生技,302368,2773907
艾昇知股份有限公司,55743456,洪瑛霙,臺北市內湖區陽光街321巷30號1樓,02-2799-8026,醫療器材產業,308363,2773899
益質佳股份有限公司,90049412,林貞秀,臺北市南港區園區街3之2號7樓,02-2655-8799,應用生技,311739,2772221
台灣歐恩比有限公司,28002161,周舒傑,臺北市內湖區民權東路六段23號4樓,02-2794-2222,醫療器材產業,308792,2773500
香港商永久產品股份有限公司台灣分公司,22657389,蒙葛瑞,臺北市中山區南京東路3段130號5樓,02-8772-3000,應用生技,304555,2771616
美商威望股份有限公司台灣分公司,84445822,范寶炘,臺北市松山區八德路3段30號3樓,02-2570-1900,應用生技,305653,2771217
云晴文創有限公司,24973051,鄭文宏,臺北市內湖區內湖路一段120巷15弄8號7樓,02-2659-0555,醫療器材產業,306805,2774955
華固股份有限公司,16780848,李金華,臺北市內湖區洲子街46號6樓,02-26573636,醫療器材產業,307824,2774630
大方生技有限公司,53323818,蔡月娟,臺北市內湖區新湖二路50號6樓,尚無資料,應用生技,308098,2772666
興中美生技有限公司,27989470,李阿利,臺北市內湖區瑞光路618號5樓之1,02-2700-3998,製藥產業,307038,2774816
健瑞醫藥生技股份有限公司,28680247,洪肇勳,臺北市大安區敦煌里信義路4段235號5樓,02-2705-6689 02-2785-6892,應用生技,305825,2769589
東方佳聯生物科技有限公司,29141514,劉鎔榕,臺北市信義區西村里信義路五段5號（4B28）,02-2723-2250；02-2793-2899,應用生技,306748,2769567
塔斯克生物科技股份有限公司-更名: 塔斯克股份有限公司,29074450,王政國,臺北市內湖區內湖路2段357號11樓,02-8791-9223,應用生技,309731,2775173
達特普雷生技股份有限公司,53943681,何德智,臺北市內湖區新明路143巷8號1樓,02-2792-8776,醫療器材產業,309504,2772427
茂嬴生物科技股份有限公司,24470430,趙哲明,臺北市南港區園區街3號10樓之1,02-2655-7528,應用生技,311745,2772394
優視生物科技有限公司,53559861,曾千芬,臺北市萬華區西園路二段155號11F,02-26068-007,應用生技,300058,2769099
明興紡織有限公司,28460102,鄭文宏,臺北市內湖區內湖路一段120巷15弄8號7樓,02-2659-0555,醫療器材產業,306805,2774955
禹智生物科技股份有限公司,50986572,黃慧倫,臺北市南港區研究院路1段130巷99號A棟3樓303室,02-2653-8673,應用生技,311800,2771350
存康生技股份有限公司,12856085,鐘莉芸,臺北市松山區南京東路三段259號10樓,02-8770-6213,應用生技,304981,2771651
美商如新華茂股份有限公司,86123662,張雅婷,臺北市信義區忠孝東路四段557號1樓,02-8752-8888,應用生技,306837,2770502
