序號,統一立案編號,類別,名稱,營業地址,保單到期日,Longitude,Latitude
1,28715870,公司,悅家居企業股份有限公司,臺北市內湖區舊宗路一段150巷25號,115/05/01,121.576432,25.062097
2,21245136,公司,盈太企業股份有限公司,臺北市內湖區舊宗路一段150巷25號,115/05/01,121.576432,25.062097
3,89211393,公司,洛碁實業股份有限公司,臺北市中正區漢口街一段36號1-8樓及地下室全棟,115/05/01,121.513836,25.045097
4,83053426,公司,樂多多世界股份有限公司,臺北市士林區天母東路68號5樓,115/05/01,121.533979,25.117913
5,83053426,公司,樂多多世界股份有限公司,臺北市松山區慶城街18之1號1-2樓,115/05/01,121.545454,25.05328
6,83053426,公司,樂多多世界股份有限公司,臺北市文山區景文街42號2樓,115/05/01,121.54123,24.991716
7,83053426,公司,樂多多世界股份有限公司,臺北市大安區羅斯福路二段79號3樓、3樓之1~之2,115/05/01,121.523315,25.026219
8,89211393,公司,洛碁實業股份有限公司,臺北市南港區忠孝東路七段526號及528號B3至14樓,115/05/01,121.611284,25.052387
9,83053426,公司,樂多多世界股份有限公司,臺北市中正區重慶南路一段58號3樓,115/05/01,121.513107,25.043913
10,82816592,公司,飛萊特企業股份有限公司,臺北市松山區南京東路三段276號2~4樓,115/05/01,121.54552,25.05162
11,83053426,公司,樂多多世界股份有限公司,臺北市中山區中山北路一段82號82之1號1樓,115/05/01,121.520998,25.049063
12,83053426,公司,樂多多世界股份有限公司,臺北市萬華區中華路1段88號4樓,115/05/01,121.508645,25.045013
13,83053426,公司,樂多多世界股份有限公司,臺北市萬華區漢中街42號4樓,115/05/01,121.507346,25.044225
14,83053426,公司,樂多多世界股份有限公司,臺北市信義區忠孝東路4段553巷6弄16號,115/05/01,121.563505,25.04221
15,24564801,公司,川井餐廳有限公司,臺北市大同區長安西路289之3號 ,115/05/01,121.509077,25.052094
16,54367200,公司,香傳食品有限公司,臺北市中山區八德路2段322號,115/05/01,121.543038,25.047231
17,83031492,公司,格致餐飲股份有限公司,臺北市大安區忠孝東路4段205巷7弄11號1樓,115/05/01,121.552552,25.042178
18,42826026,公司,好膳企業股份有限公司,臺北市信義區忠孝東路四段515號,115/05/01,121.55953,25.042314
19,54391882,公司,香港商頂盛娛樂服務有限公司,臺北市大安區安和路1段137號,115/05/01,121.552688,25.034147
20,83053426,公司,樂多多世界股份有限公司,臺北市松山區健康路7之1號,115/05/01,121.552449,25.052728
21,83053426,公司,樂多多世界股份有限公司,臺北市信義區松仁路58號14樓,115/05/01,121.567967,25.036732
22,50984384,公司,化石先生股份有限公司,"臺北市中正區襄陽路25號一,二樓",115/05/01,121.514331,25.043538
23,52520299,公司,王將餐飲服務股份有限公司,臺北市信義區忠孝東路5段8號B2,115/05/01,121.565417,25.040865
24,27998225,公司,百富國際股份有限公司,臺北市大安區和平東路一段162號,115/05/01,121.52757,25.026454
25,27998225,公司,百富國際股份有限公司,"臺北市大安區和平東路一段129號樓,B1",115/05/01,121.528412,25.026879
26,95463634,公司,富士南山餐飲有限公司,臺北市信義區松智路17號5樓,115/05/01,121.565774,25.034434
27,89211393,公司,洛碁實業股份有限公司,臺北市中正區中華路1段41號1樓至3樓、10樓至14樓,115/05/01,121.509477,25.044865
28,94173742,公司,天上天下唯我獨尊有限公司,臺北市信義區松仁路89號B2-2,115/05/02,121.568749,25.037223
29,51010234,公司,日商仁大餐飲顧問有限公司,臺北市松山區八德路4段758號,115/05/02,121.578733,25.050058
30,42842877,公司,津豐興業有限公司,臺北市大安區敦化南路1段247巷10號2樓,115/05/03,121.549907,25.038864
31,82808002,公司,愛心音樂餐廳有限公司,臺北市中正區忠孝西路1段72之59號至72之75號,115/05/03,121.514037,25.046676
32,93484331,公司,西門大世界股份有限公司,臺北市萬華區成都路81號地下1樓,115/05/03,121.505272,25.043016
33,55251249,公司,沐真食酒神國際股份有限公司,臺北市大安區敦化南路1段160巷53號,115/05/03,121.546593,25.043676
34,93789495,公司,樂發福股份有限公司,臺北市松山區南京東路4段2號1樓,115/05/03,121.549954,25.051355
35,42613092,公司,萬曜事業股份有限公司,臺北市信義區松壽路12號10樓及11樓,115/05/05,121.566021,25.035668
36,86845231,公司,聚馥園餐廳有限公司,臺北市中山區南京東路3段219號3樓,115/05/05,121.54328,25.052084
37,53776760,公司,萬濠事業股份有限公司,臺北市中山區中山北路一段57號(整棟),115/05/05,121.521677,25.049474
38,00028475,公司,地上絲絨有限公司,臺北市大同區甘州街46號1樓,115/05/05,121.512649,25.059906
39,27524228,公司,牡丹和食餐廳有限公司,臺北市大安區四維路52巷17號1樓,115/05/05,121.54718,25.035184
40,16409904,公司,柚子花花股份有限公司,臺北市中山區中山北路2段48巷7號B1,115/05/05,121.521344,25.0559
41,28480590,公司,嘜記餐飲食品有限公司,臺北市中山區南京東路3段218號(1~3樓),115/05/06,121.543505,25.051665
42,53438327,公司,大灣碼頭餐飲股份有限公司,臺北市信義區基隆路1段149號,115/05/06,121.56555,25.04256
43,96841662,公司,樂達國際股份有限公司,臺北市松山區復興南路1段39號B1之05櫃,115/05/06,121.544126,25.046129
44,94098049,公司,滿侑有限公司,臺北市大安區敦化南路1段160巷32號1樓,115/05/07,121.547417,25.043474
45,90100579,公司,八和國際餐飲有限公司,臺北市松山區敦化北路100號1樓(敦北店)(八和和牛燒肉專門店-敦北二號店),115/05/08,121.548529,25.052764
46,82999706,公司,麗芳股份有限公司,臺北市中山區雙城街18巷16號1樓,115/05/08,121.523151,25.065382
