統一編號,商業名稱,商業地址,歇業日期,Longitude,Latitude
621200,鋒俞商行,臺北市大安區樂利路73號1樓,1150401,121.552038,25.026098
628421,力歐文創社,臺北市萬華區康定路25巷36弄4號,1150401,121.504071,25.043624
1830428,羅堯仁自營計程車,臺北市士林區芝玉路2段86號4樓,1150401,121.535246,25.112378
4886396,再興輪胎行,臺北市文山區興隆路4段21號1樓,1150401,121.559337,24.990666
10323850,香港仔精品百貨商行,臺北市大同區重慶北路1段26巷64號,1150401,121.512449,25.051079
13821156,達達資訊社,臺北市南港區成功路1段5號,1150401,121.593283,25.054701
25516449,順興商行,臺北市中山區龍江路238之1號,1150401,121.540368,25.058523
25657616,陽光棕櫚小吃店,臺北市松山區復興北路313巷29號,1150401,121.546439,25.059059
26359045,比比寵物精品店,臺北市中山區北安路460號,1150401,121.544681,25.079592
31855353,希潔商行,臺北市信義區忠孝東路5段442號,1150401,121.576031,25.040696
73047137,宏驊工程行,臺北市大同區南京西路163號2樓之31,1150401,121.513129,25.054082
79816295,梅森莉菈法式甜點店,臺北市內湖區民權東路6段296巷46之3號1樓,1150401,121.607785,25.071353
88285966,黃來福食坊,臺北市信義區永吉路180巷66弄37號1樓,1150401,121.570448,25.043583
88301425,富麗滿屋音樂沙發傢俱館,臺北市大安區光復南路620之3號1樓,1150401,121.557029,25.032105
88358290,人生如夢企業社,臺北市信義區光復南路569號1樓及2樓,1150401,121.557591,25.030705
93124343,沐晨企業社,臺北市信義區松山路532號,1150401,121.578073,25.037918
93145430,紫悅企業社,臺北市松山區南京東路5段356號8樓之1,1150401,121.569691,25.051062
553168,猿富商行,臺北市北投區天母西路130巷5號,1150402,121.522262,25.118611
13847135,欣和鋁業工程行,臺北市南港區南港路3段195號,1150402,121.581117,25.051462
26250679,圓緣瑜伽工作坊,臺北市中山區南京東路1段50號(3樓),1150402,121.524604,25.051953
75922983,東閣精品館,臺北市士林區大北路68號1樓,1150402,121.525172,25.09016
