統一編號,商業名稱,商業地址,設立日期,Longitude,Latitude
632380,儀式感手工食研室,臺北市南港區松河街480號9樓,1150401,121.594548,25.058906
632396,粉紅甜心商行,臺北市萬華區漢口街2段54之1號,1150401,121.505629,25.045531
632403,心晴好工作室,臺北市中正區紹興北路31巷26號1樓,1150401,121.526202,25.045144
632419,三哥涼麵,臺北市信義區松山路541巷17號1樓,1150401,121.578829,25.037918
632425,初和傳統整復推拿工作室,臺北市士林區文林路740巷20號1樓,1150401,121.521272,25.103404
632430,安可威爾點心鋪,臺北市北投區立農街1段239號1樓,1150401,121.504898,25.119772
632446,適己塗裝工程行,臺北市北投區尊賢街302巷13號1樓,1150401,121.507441,25.118137
632451,迪安藝術工作室,臺北市大同區承德路1段105號8樓之6,1150401,121.51781,25.052848
632467,富明王企業社,臺北市大安區羅斯福路2段79號4樓,1150401,121.523315,25.026219
632473,下半場生活企業社,臺北市大安區市民大道三段220號1樓,1150401,121.540874,25.044339
632488,卓岳企業社,臺北市大同區南京西路57號3樓,1150401,121.519354,25.053083
632494,幼希企業社,臺北市中山區長安東路2段108號1樓,1150401,121.53528,25.048317
632500,雅思娜企業商行,臺北市中正區館前路2號12樓,1150401,121.514883,25.046367
632516,榮鼎室內裝修企業社,臺北市南港區市民大道7段10號5樓,1150401,121.580524,25.048839
632522,沐雨小吃店,臺北市士林區中正路389號1樓,1150401,121.521345,25.094047
632537,中崙甜不辣,臺北市松山區民生東路4段64號,1150401,121.552004,25.057839
632543,茗教練教育工作室,臺北市中山區長春路20號8樓,1150401,121.523777,25.054857
632564,獨練健身工作室,臺北市文山區萬壽路75巷25號4樓,1150401,121.588517,24.986093
632570,日台友好會顧問工作室,臺北市內湖區江南街103號2樓,1150401,121.576704,25.076658
632585,木易商行,臺北市大安區羅斯福路3段271號10樓之3,1150401,121.530703,25.018587
644013,徠蕎美容工作坊,臺北市中山區中山北路2段45巷7號3樓之3,1150401,121.523276,25.054503
591803,多升小吃店,臺北市大安區新生南路1段1號,1150402,121.533176,25.044205
632558,犬與喵商行,臺北市士林區大東路14號1樓,1150402,121.525301,25.087637
632591,釀沉商貿行,臺北市中山區市民大道3段169號7樓之3,1150402,121.540648,25.04481
