編號,院所代碼,診所名稱,行政區,地址,電話
1,3501152006,陳彥銘耳鼻喉科診所,士林區,臺北市士林區士東路12號之1號,02-28381770
2,3501151161,蘇慧卿診所,士林區,臺北市士林區大南路274號,02-28829955
3,3501154519,貝爾診所,士林區,臺北市士林區中山北路七段82巷9號1樓,02-28729980
4,3501154564,佩佩婦幼診所,士林區,臺北市士林區中山北路六段182號,02-28386262
5,3501153665,張虔熙小兒科診所,士林區,臺北市士林區中山北路六段282號,02-28361368
6,3501154180,士林小兒科診所,士林區,臺北市士林區中正路249號1樓,02-28812485
7,3501154528,小禾馨士林小兒專科診所,士林區,臺北市士林區中正路289號,02-28827333
8,3501154448,耀明診所,士林區,臺北市士林區中正路322號,02-28320657
9,2101150012,臺北市立聯合醫院附設士林門診部,士林區,臺北市士林區中正路439號1樓,02-28836268
10,1101150011,新光醫療財團法人新光吳火獅紀念醫院,士林區,臺北市士林區文昌路95號,02-28332211
11,3501150422,存德小兒科診所,士林區,臺北市士林區文林路460號,02-28342567
12,3501154420,榮清耳鼻喉科診所,士林區,臺北市士林區文林路483號（1樓）,02-28316878
13,3501151974,蕭雨青小兒科診所,士林區,臺北市士林區延平北路5段292號1樓,02-28126415
14,3501151849,忠誠聯合診所,士林區,臺北市士林區忠誠路二段50巷35號,02-88661176
15,3501153745,愛林診所,士林區,臺北市士林區承德路四段222號,02-28836881
16,3501154279,科安診所,士林區,臺北市士林區社中街116號,02-28110699
17,3501151269,粱耳鼻喉科診所,士林區,臺北市士林區社正路12-1號,02-28168456
18,101090517,臺北市立聯合醫院陽明院區,士林區,臺北市士林區雨聲街105號,02-25553000
19,3501151938,何小兒科診所,士林區,臺北市士林區福港街176號,02-28827401
20,3501153478,嘉櫻小兒科診所,士林區,臺北市士林區德行西路119號1樓,02-88666202
21,3501154475,樹爸爸親子診所,士林區,臺北市士林區德行東路286號,02-28381838
22,3501151054,德泰耳鼻喉科診所,士林區,臺北市士林區通河街42-1號,02-28851570
23,3501155007,士林欣然耳鼻喉科診所,士林區,臺北市士林區文林路450號,02-28386090
24,3501093913,寧夏診所,大同區,臺北市大同區民生西路236號,02-25586060
25,3501093584,建順診所,大同區,臺北市大同區甘州街51號,02-25573250
26,3501090814,黃博裕小兒科診所,大同區,臺北市大同區赤峰街49巷21號,02-25592440
27,2101090011,臺北市立聯合醫院附設大同門診部,大同區,臺北市大同區昌吉街52號1至2樓,02-25948971
28,3501093299,羅源彰診所,大同區,臺北市大同區長安西路137號,02-25552500
29,3501091688,趙黎海診所,大同區,臺北市大同區哈密街67號,02-25862385
30,3501093557,澤康診所,大同區,臺北市大同區重慶北路3段71號,02-25960922
31,3501091142,余自興眼科診所,大同區,臺北市大同區重慶北路三段213號1樓,02-25959320
32,3501090458,施小兒科診所,大同區,臺北市大同區重慶北路三段28號,02-25941935
33,101090517,臺北市立聯合醫院中興院區,大同區,臺北市大同區鄭州路145號,02-25553000
34,"	3501094269",悅昇診所,大同區,臺北市大同區錦西街50-1號,02-25502664
35,3501027491,劉建宏診所,大安區,臺北市大安區大安路二段139號1樓,02-27002368
36,101090517,臺北市立聯合醫院仁愛院區,大安區,臺北市大安區仁愛路四段10號,02-25553000
37,0901020013,中山醫療社團法人中山醫院,大安區,臺北市大安區仁愛路四段112巷11號,02-27081166
38,1101020018,國泰醫療財團法人國泰綜合醫院,大安區,臺北市大安區仁愛路四段280號，266巷6號,02-23257500
39,1101020036,宏恩醫療財團法人宏恩綜合醫院,大安區,臺北市大安區仁愛路四段71巷1號,02-27713161
40,3501029931,松德診所,大安區,臺北市大安區四維路170巷16號1樓,02-27073326
41,3501023555,黃清浩耳鼻喉科診所,大安區,臺北市大安區光復南路430號1樓,02-27214882
42,2101020019,臺北市立聯合醫院附設大安門診部,大安區,臺北市大安區辛亥路三段15號1樓,02-27390997
43,3501028050,許靜瑛小兒科診所,大安區,臺北市大安區和平東路一段230號,02-23629088
44,3501022843,啟誠聯合診所,大安區,臺北市大安區和平東路二段120號,02-23784380
45,3501029922,健華診所,大安區,臺北市大安區和平東路二段299號1樓,02-27072990
46,3501021711,施崇仁耳鼻喉科診所,大安區,臺北市大安區和平東路二段311巷13號,02-27091592
47,3501021391,全家聯合診所,大安區,臺北市大安區和平東路二段353號,02-27067575
48,3501020581,大安黃耳鼻喉科診所,大安區,臺北市大安區和平東路三段234號1樓,02-27317331
49,350102D797,和欣視光眼科診所,大安區,臺北市大安區和平東路三段274號1樓,02-27381568
50,3501029351,邱醫師診所,大安區,臺北市大安區和平東路三段288號,02-27392696
51,3501028845,那明珠診所,大安區,臺北市大安區和平東路三段8號1樓,02-27360589
52,3501026556,慈民骨科診所,大安區,臺北市大安區延吉街233巷2號,02-27069888
53,3501029628,黃文香兒科診所,大安區,臺北市大安區忠孝東路四段250號2樓之1,02-27313305
54,1101020027,中心診所醫療財團法人中心綜合醫院,大安區,臺北市大安區忠孝東路四段77號,02-27510221
55,3501027580,星星親子眼科診所,大安區,臺北市大安區信義路三段114號2樓,02-27080809
56,3501028201,杏誠復健科診所,大安區,臺北市大安區信義路四段173號2樓,02-27061732
57,350102A107,夏爾診所,大安區,臺北市大安區信義路四段265巷54號,02-23255508
58,4001020028,尹書田醫療財團法人書田泌尿科眼科診所,大安區,臺北市大安區建國南路二段276號,02-23690211
59,350102G743,樂益耳鼻喉科診所,大安區,臺北市大安區復興南路二段161號,02-27096199
60,3501029619,宇寧身心診所,大安區,臺北市大安區復興南路二段6號3F,02-27080706
61,3501022138,頂好林耳鼻喉科診所,大安區,臺北市大安區敦化南路一段160巷50號1樓,02-27783142
62,350102I498,澤星親子診所,大安區,臺北市大安區敦化南路一段376號2樓-2,02-27018848
63,350102I372,禾馨新生婦幼診所,大安區,臺北市大安區新生南路三段2號1~3樓,02-55713333
64,3501114186,小禾馨民權小兒專科診所,內湖區,臺北市內湖區行忠路191號,02-27910233
65,350102I845,小禾馨小兒專科診所,大安區,臺北市大安區新生南路三段4號,02-23698833
66,3501028210,博安家庭醫學科診所,大安區,臺北市大安區麗水街3號,02-23567066
67,350102H526,禾馨大安婦幼診所,大安區,臺北市大安區新生南路三段4號2樓,02-23682333
68,350102G412,永誠復健科診所,大安區,臺北市大安區復興南路2段236號2樓,02-27071608
69,350102I676,瑞安承芯耳鼻喉科診所,大安區,臺北市大安區瑞安街208巷15號,02-27063723
70,1101100020,馬偕醫療財團法人馬偕兒童醫院,中山區,臺北市中山區中山北路二段92號,02-25433535
71,1101100011,馬偕醫療財團法人馬偕紀念醫院,中山區,臺北市中山區中山北路二段92號,02-25433535
72,3501101787,周賢章耳鼻喉科診所,中山區,臺北市中山區天祥路26號1樓,02-25213101
73,3501105767,愛鄰診所,中山區,臺北市中山區北安路520-1號,02-25322333
74,3501101849,北安聯合診所,中山區,臺北市中山區北安路569-3號,02-25337777
75,3501107645,惟亷診所,中山區,臺北市中山區北安路595巷1號B1,02-25323036
76,3701105930,迪昇牙醫診所,中山區,臺北市中山區北安路595巷20弄3號,02-25336399
77,3501103272,大直診所,中山區,臺北市中山區北安路595巷2弄2、6號,02-25332339
78,3501108277,固亷診所,中山區,臺北市中山區北安路613號1樓,02-25323036
79,3501105310,高固亷診所,中山區,"臺北市中山區北安路613號1樓, 595巷1號B1",02-25323036
80,3501105445,莊宇龍診所,中山區,臺北市中山區北安路637號,02-25331255
81,3501107565,雙連婦產科小兒科診所,中山區,臺北市中山區民生西路30號4樓,02-25222350
82,3501103585,鄭志誠小兒科診所,中山區,臺北市中山區民生東路一段8號,02-25512246
83,3501100217,陳烱輝診所,中山區,臺北市中山區民生東路二段103號,02-25221796
84,3501104322,民生承安診所,中山區,臺北市中山區民生東路三段90號,02-25032633
85,3501106166,興安診所,中山區,"臺北市中山區民生東路三段90號2樓, 2樓之3",02-25052228
86,3501106559,杏慈診所,中山區,臺北市中山區民權東路二段152巷2之1號,02-25013109
87,3501104091,慶恩小兒科診所,中山區,臺北市中山區吉林路117號,02-25683199
88,3501103076,德容聯合診所,中山區,臺北市中山區吉林路197號,02-25643076
89,3501104742,光華家醫科診所,中山區,臺北市中山區松江路21號,02-25094567
