項次,醫事機構代碼,醫事機構,電話,地址
1,2101010013,臺北市立聯合醫院附設松山門診部,(02)27653147,臺北市松山區八德路４段６９４號１樓
2,2101020019,臺北市立聯合醫院附設大安門診部,(02)27390997,臺北市大安區辛亥路３段１５號
3,2101090011,臺北市立聯合醫院附設大同門診部,(02)25948971,臺北市大同區昌吉街５２號１至２樓
4,2101100227,臺北市立聯合醫院附設中山門診部,(02)25013363,臺北市中山區松江路３６７號１樓
5,2101110027,臺北市立聯合醫院附設內湖門診部,(02)27908387,臺北市內湖區民權東路６段９９號之１（１樓）
6,2101120014,臺北市立聯合醫院附設南港門診部,(02)27868756,臺北市南港區南港路１段３６０號１樓
7,2101150012,臺北市立聯合醫院附設士林門診部,(02)28836268,臺北市士林區中正路４３９號１樓
8,2101161033,臺北市立聯合醫院附設北投門診部,(02)28912670,臺北市北投區公舘路１９８號４樓
9,2101170050,臺北市立聯合醫院附設信義門診部,(02)87804152,臺北市信義區大道路１１６號１樓、２樓
10,2101180038,臺北市立聯合醫院附設中正門診部,(02)23210168,臺北市中正區牯嶺街２４號１樓
11,2101191068,臺北市立聯合醫院附設萬華門診部,(02)23395384,臺北市萬華區東園街１５２號
12,2101200017,臺北市立聯合醫院附設政大門診部,(02)82377441,臺北市文山區指南路２段１１７號
13,2701170052,臺北市政府醫務室,(02)27205389,臺北市信義區市府路１號（１樓東區）
14,3401171107,聯合報系員工診療所,(02)27601618,臺北市信義區忠孝東路４段５５９巷１號６樓
15,3501010094,劉內兒科診所,(02)27603922,臺北市松山區民生東路５段１４８號
16,3501010263,康明哲小兒科內科診所,(02)27675941,臺北市松山區三民路１３６巷１５號
17,3501010414,松山內兒科診所,(02)27658676,臺北市松山區八德路４段２５５號
18,3501010736,林忠志診所,(02)27689577,臺北市松山區南京東路５段２９１巷２０弄３－３號
19,3501010987,華南小兒科診所,(02)25786018,臺北市松山區延吉街３０巷１５號
20,3501011037,江建中診所,(02)27647883,臺北市松山區八德路４段２８５號１樓
21,3501011260,江崇萍小兒科診所,(02)27632260,臺北市松山區南京東路５段２５１巷２４弄２７號
22,3501011493,車參薇小兒科診所,(02)25770101,臺北市松山區八德路３段２２２號（１樓）
23,3501011500,洪小兒科診所,(02)27480630,臺北市松山區市民大道５段１６５號１樓
24,3501012838,閎新耳鼻喉科皮膚科聯合診所,(02)25779898,臺北市松山區八德路３段２０－２號
25,3501013068,黎博彥診所,(02)27682802,臺北市松山區民生東路５段２３０號
26,3501013157,大家好診所,(02)27138819,臺北市松山區民生東路４段８０巷１１弄２號１樓
27,3501014476,鈞賀診所,(02)27600101,臺北市松山區富錦街４６２號
28,3501015026,佑家診所,(02)25785658,臺北市松山區八德路３段２３３號
29,3501015035,安兒康小兒專科診所,(02)77287688,臺北市松山區敦化北路１１６號、１１８號、１１８號２樓
30,3501015240,宥全診所,(02)27678225,臺北市松山區民生東路５段２１６號１樓
31,3501015606,弘宇診所,(02)27128875,臺北市松山區民權東路３段１６０巷２之６號（１樓）
32,3501015660,心田民生診所,(02)27653039,臺北市松山區民生東路５段１０５號１樓
33,3501021006,陳志明診所,(02)27549558,臺北市大安區和平東路２段３３７號
34,3501021391,全家聯合診所,(02)27067575,臺北市大安區和平東路２段３５３號
35,3501021720,林繼國診所,(02)27315568,臺北市大安區忠孝東路３段２１７巷１弄１２號１樓
36,3501022727,葉明憲小兒科診所,(02)23691688,臺北市大安區羅斯福路３段１９１號２樓
37,3501022843,啟誠聯合診所,(02)23784380,臺北市大安區和平東路２段１２０號１．２．３，４樓
38,3501024918,羅醫師親子診所,(02)27000708,臺北市大安區通化街３８巷１４號（１樓）
39,3501025077,陳惠章婦產科家庭醫學科診所,(02)83695026,臺北市大安區羅斯福路３段２６１號２樓
40,3501025246,窈窕診所,(02)27096458,臺北市大安區復興南路２段６號４樓
41,3501025648,延吉診所,(02)27035082,臺北市大安區延吉街２４１巷２弄５號１樓
42,3501025719,尖端診所,(02)23789734,臺北市大安區敦化南路２段１６８號１１樓
43,3501027491,劉建宏診所,(02)27002368,臺北市大安區大安路２段１３９號
44,3501028050,許靜瑛小兒科診所,(02)23629088,臺北市大安區和平東路１段２３０號１樓
45,3501028210,博安家庭醫學科診所,(02)23567066,臺北市大安區麗水街３號
46,3501028649,田嘉程診所,(02)27018262,臺北市大安區延吉街２３９之１號
47,3501028845,那明珠診所,(02)27360589,臺北市大安區和平東路３段８號
48,3501029351,邱醫師診所,(02)27392696,臺北市大安區和平東路３段２８８號
49,3501029628,黃文香兒科診所,(02)27313305,臺北市大安區忠孝東路４段２５０號２樓之１
50,3501029922,健華診所,(02)27072990,臺北市大安區和平東路２段２９９號（實際營業地址：１樓）
51,3501029931,松德診所,(02)27073326,臺北市大安區四維路１７０巷１６號
52,350102A107,夏爾診所,(02)23255508,臺北市大安區信義路４段２６５巷５２號、５４號
53,350102D135,李細祥內科診所,(02)27018159,臺北市大安區四維路１９８巷３０弄５號
54,350102H071,家齡診所,(02)27211256,臺北市大安區敦化南路１段１９１號地下之９至１９、地下之８８
55,350102H526,禾馨大安婦幼診所,(02)33652766,臺北市大安區新生南路３段４號２樓
56,350102H820,和平診所,(02)23912000,臺北市大安區和平東路１段７７之２號（１樓）
57,350102I372,禾馨新生婦幼診所,(02)23682333,臺北市大安區新生南路３段２號１樓、２號２樓、２號３樓
58,350102I498,澤星親子診所,(02)27018848,臺北市大安區敦化南路１段３７６號２樓之２
59,350102I587,瑞森診所,(02)27076002,臺北市大安區信義路３段１３４巷１００號１樓
60,350102I845,小禾馨小兒專科診所,(02)23698833,臺北市大安區新生南路３段４號１樓
61,350102J182,森歆林家醫診所,(02)23563107,臺北市大安區金華街２４９之３號（１樓）
62,350102J299,仁愛柚子診所,(02)27711380,臺北市大安區仁愛路４段３３號１２樓
63,3501090172,鈞生診所,(02)25570048,臺北市大同區甘州街２８號
64,3501090458,施小兒科診所,(02)25941935,臺北市大同區重慶北路３段２８號
65,3501090814,黃博裕小兒科診所,(02)25592440,臺北市大同區赤峰街４９巷２１號
66,3501091133,羅志弘診所,(02)25921666,臺北市大同區重慶北路３段１１５號
67,3501091688,趙黎海診所,(02)25862385,臺北市大同區哈密街６７號
68,3501093299,羅源彰診所,(02)25552500,臺北市大同區長安西路１３７號
69,3501093557,澤康診所,(02)25960922,臺北市大同區重慶北路３段７１號
70,3501094269,悅昇診所,(02)25502664,臺北市大同區錦西街５０之１號（１樓）
71,3501100217,陳炯輝診所,(02)25221796,臺北市中山區民生東路２段１０３號
72,3501100815,木生婦幼診所,(02)25012312,臺北市中山區長安東路２段９０號１－４樓８８號４樓
73,3501100888,富生婦產科診所,(02)25812286,臺北市中山區吉林路１５７號
74,3501100986,葉小兒科診所,(02)25054833,臺北市中山區長春路２２７號
75,3501101385,王三郎婦產科診所,(02)25948759,臺北市中山區中山北路２段１６６號－２
76,3501101634,劉宣彥診所,(02)25183329,臺北市中山區伊通街１７－４號
77,3501101849,北安聯合診所,(02)25337777,臺北市中山區北安路５６９之１號２樓．之２、３、４號１、２樓
78,3501102622,宗北內科診所,(02)25411001,臺北市中山區民生西路２４號４樓
79,3501103272,大直診所,(02)25332339,臺北市中山區北安路５９５巷２弄２號（１樓及地下層）及６號
80,3501103503,龍江小兒科診所,(02)25152433,臺北市中山區龍江路１８１－１號１樓
81,3501103585,鄭志誠小兒科診所,(02)25512246,臺北市中山區民生東路１段８號
82,3501103665,寧康聯合診所,(02)25013862,臺北市中山區龍江路２０９巷６之１號
83,3501104091,慶恩小兒科診所,(02)25683199,臺北市中山區吉林路１１７號
84,3501104322,民生承安診所,(02)25032633,臺北市中山區民生東路３段９０號１、２樓
85,3501105123,明誠診所,(02)25013380,臺北市中山區錦州街４４６號
86,3501105310,高固亷診所,(02)25323036,臺北市中山區北安路５９５巷１號地下１層、６２１巷６弄２號１樓
87,3501105445,莊宇龍診所,(02)25331255,臺北市中山區北安路６３７號
88,3501105767,愛鄰診所,(02)25322333,臺北市中山區北安路５２０－１號
89,3501106166,興安診所,(02)25052228,臺北市中山區民生東路３段９０號２樓、９０號２樓之３
90,3501106264,農安診所,(02)25978590,臺北市中山區農安街６２號
91,3501106559,杏慈診所,(02)25013109,臺北市中山區民權東路２段１５２巷２之１號
92,3501107369,晴光診所,(02)25853210,臺北市中山區林森北路５５６號
93,3501107565,雙連婦產科小兒科診所,(02)25222350,臺北市中山區民生西路３０號４樓
94,3501107574,榮星診所,(02)25168112,臺北市中山區龍江路２７４號１樓及２８０號１樓、２樓
95,3501107645,惟亷診所,(02)25323038,臺北市中山區北安路５９５巷１號地下一層、６０７號（１樓）
96,3501107725,大直佳恩診所,(02)25323301,臺北市中山區北安路５９１號１樓及地下層
97,3501108008,四季和安婦幼診所,(02)25677310,臺北市中山區林森北路４５２號地下１樓、４５８號及４５８號３樓
98,3501108277,固亷診所,(02)25323036,臺北市中山區北安路５９５巷１號地下一層、６２１巷６弄２號１樓
99,3501108366,上直診所,(02)85091776,臺北市中山區北安路４５８巷４１弄４９號
100,3501108606,玉山診所,(02)25182105,臺北市中山區錦州街２５１號（實際營業：二層）
101,3501109532,龍江固亷診所,(02)25170093,臺北市中山區龍江路３６０號１樓
102,3501109845,永育樂群診所,(02)85012268,臺北市中山區樂群二路２１０之２號（１樓）
103,350110A324,綠葉親子診所,(02)25935559,臺北市中山區農安街１２之１號１樓
104,350110A422,中崙國際診所,(02)27711501,臺北市中山區八德路２段３０３號１樓３０５號３０７號１樓２樓
105,350110B143,沐晴診所,(02)25189009,臺北市中山區龍江路４０１號１樓
106,350110B287,向慈耳鼻喉科診所,(02)25178880,臺北市中山區錦州街４３７號１樓
107,3501110115,王慶森診所,(02)27986052,臺北市內湖區港墘路６５號
108,3501110188,魏穀年診所,(02)26572691,臺北市內湖區內湖路１段４０３號
109,3501110286,丁大元診所,(02)26331010,臺北市內湖區東湖路１１９巷４９弄４號１樓
110,3501110311,徐醫師診所,(02)26336616,臺北市內湖區東湖路５３號
111,3501110482,雙湖診所,(02)27910066,臺北市內湖區金龍路４９號１樓
112,3501110571,劉淦華診所,(02)27905374,臺北市內湖區金龍路４３號１樓
113,3501110777,林永正診所,(02)26315567,臺北市內湖區康樂街１３０號
114,3501110928,成功耳鼻喉科診所,(02)27940064,臺北市內湖區成功路３段１６２－１號１樓、１６４號１樓
115,3501110982,馬思特診所,(02)27925994,臺北市內湖區成功路４段５３號１樓
116,3501111032,立安診所,(02)27933632,臺北市內湖區內湖路２段３６５號１樓
117,3501111069,藍曾小兒科診所,(02)26335225,臺北市內湖區東湖路１３２號
118,3501112771,東湖謝耳鼻喉科診所,(02)26332605,臺北市內湖區東湖路１４８號
119,3501112815,魏之明小兒科診所,(02)26306968,臺北市內湖區康寧路３段５４之６號１樓
120,3501112860,林孟勳診所,(02)87920955,臺北市內湖區成功路４段６１巷３２弄２號１樓
121,3501113090,誠康診所,(02)26572585,臺北市內湖區內湖路１段５８５號
122,3501113134,焉醫師診所,(02)27995008,臺北市內湖區內湖路２段２１號
123,3501113321,林登山耳鼻喉科診所,(02)26596638,臺北市內湖區文德路９６號
124,3501113330,仁弘耳鼻喉科診所,(02)26596360,臺北市內湖區內湖路１段７３７巷５０弄３３號１樓
125,3501113401,維仁診所,(02)27923829,臺北市內湖區民權東路６段１３６巷４號
126,3501113750,禾馨內湖婦幼診所,(02)55713333,臺北市內湖區民權東路６段４２號５樓(之１、之２、之３）
127,3501113812,連安診所,(02)26276705,臺北市內湖區內湖路１段６１９號及６１９號２樓
128,3501113929,禾馨民權婦幼診所,(02)55713333,臺北市內湖區民權東路６段４２號２－４樓（之１、之２、之３）
129,3501114122,陽光活力診所,(02)87973828,臺北市內湖區瑞光路５００號１樓及５０２號２樓
130,3501114186,小禾馨民權小兒專科診所,(02)27910233,臺北市內湖區行忠路１９１號
131,3501114597,永育醫療大湖診所,(02)27906002,臺北市內湖區成功路４段３６６號１、２樓
132,3501114613,佳霖診所,(02)26334535,臺北市內湖區東湖路１４７號２樓
133,3501114711,德威診所,(02)27978033,臺北市內湖區內湖路１段６６７巷１號１樓
134,3501114882,永育醫療康樂診所,(02)26308800,臺北市內湖區康樂街７８、８０、８２、８４號１樓
135,3501120068,廖內兒科診所,(02)27832776,臺北市南港區忠孝東路７段６１７號
136,3501120157,黃家庭醫學科診所,(02)27820908,臺北市南港區研究院路１段１６１號
137,3501120228,蔣小兒科診所,(02)26515960,臺北市南港區玉成街１６６巷３０號１樓
138,3501120335,陳志鑫診所,(02)27839698,臺北市南港區八德路４段８１２號
139,3501120353,劉聖亞診所,(02)27880713,臺北市南港區興華路８２號１樓
140,3501121592,陳勝吉診所,(02)27836972,臺北市南港區研究院路１段１１５號１樓
141,3501121627,天仁小兒科診所,(02)27862687,臺北市南港區成福路２１號
142,3501121725,義仁兒科診所,(02)26515929,臺北市南港區玉成街１３８號１樓
143,3501121743,永育醫療福德診所,(02)27850700,臺北市南港區福德街３２０號１樓
144,3501121814,李文珍小兒科診所,(02)26511871,臺北市南港區研究院路２段７４號
145,3501121823,天仁健康診所,(02)27862687,臺北市南港區成福路２１號
146,3501121832,維康診所,(02)26517748,臺北市南港區研究院路２段８４巷１號１樓
147,3501122044,杏安診所,(02)27892008,臺北市南港區同德路７４號、７６號
148,3501122142,松展診所,(02)27631373,臺北市南港區忠孝東路６段１１０巷１８號
149,3501150182,天母許內科家醫科診所,(02)28729367,臺北市士林區天母北路４９號
150,3501150422,存德小兒科診所,(02)28342567,臺北市士林區文林路４６０號
151,3501150575,鄭醫師診所,(02)28127412,臺北市士林區延平北路５段１２０號１、２樓
152,3501150744,惠周內兒科診所,(02)28812962,臺北市士林區大北路９６號１樓
153,3501151018,林博通醫師診所,(02)28851148,臺北市士林區通河街６０號
