機構名稱,計畫名稱,電話,地址,服務區域
社團法人中華青少年純潔運動協會,萬華社區兒少關懷據點,(02)23098844,臺北市萬華區寶興街80巷25號,萬華區
財團法人台北市立心慈善基金會,108年度萬華區「小荳荳關懷園地」社區兒童照顧計畫,(02)23320710,臺北市萬華區東園街19號三樓,萬華區
社團法人台灣社區鴻羽關懷協會,兒少夢想力學苑,(02)29012017,臺北市萬華區西藏路125巷7之2號,萬華區
社團法人社區實踐協會,108年萬華青年次分區兒少友善據點服務計畫,(02)23394933,臺北市萬華區萬大路137巷14、16號一樓,萬華區
財團法人靖娟兒童安全文教基金會,弱勢家庭兒童社區照顧服務計畫,(02)23391305,臺北市中正區汀州路一段123號,中正區
社團法人中華青少年純潔運動協會,友善兒少福利服務-純潔古亭據點,(02)23641334,臺北市中正區水源路臨28號,中正區
社團法人臺北市臻佶祥社會服務協會,南機場學苑-友善兒少福利服務據點,(02)23036281,臺北市中正區中華路二段315巷16、18號,中正區
社團法人台灣基督教展翔天地全人發展協會,友善兒童少年服務據點-青少年課後生活照顧,(02)23656123,臺北市中正區汀洲路三段127號1樓,中正區
社團法人台灣基督教展翔天地全人發展協會,友善兒童少年服務據點-兒童課後生活照顧,(02)23656123,臺北市中正區金門街9-23號1樓,中正區
台北市歐伊寇斯OIKOS社區關懷協會,「小星光陪讀班」友善兒童少年福利服務據點計畫,(02)23414322,臺北市中正區杭州南路一段15之1號B1,中正區
社團法人台北市原住民關懷協會,中山區友善兒少福利服務據點,(02)25818669,臺北市中山區中山北路二段137巷18之12號B1,中山區
財團法人台北市基督教勵友中心,新興據點,(02)25951905,臺北市中山區雙城街43巷2號,中山區
中華社區厝邊頭尾營造協會,「拉他們一把」社區弱勢家庭服務計畫,(02)27717334,"臺北市中山區建國北路一段33巷45,47號一樓",中山區
社團法人中華牧人關懷協會,牧人學堂(星光班),(02)29358877,臺北市大同區錦西街51號,大同區
財團法人台北市基督教勵友中心,大橋據點,(02)25974784,臺北市大同區迪化街二段67號,大同區
社團法人臺北市樂服社區關懷協會,友善兒少福利服務據點,(02)29340385,臺北市文山區羅斯福路五段176巷34號,文山區
臺北市文山區明興社區發展協會,友善兒少福利服務據點,(02)22340391    ,臺北市文山區明興里木柵路二段109巷25弄6號1樓,文山區
台灣愛鄰社區服務協會,愛鄰木柵舊社區兒少據點,(02)29369996  ,臺北市文山區木柵路三段77號6樓,文山區
社團法人台北市基督教萬芳浸信會,萬芳地區兒少服務計畫,(02)22303518,臺北市文山區萬美街一段19巷5號,文山區
社團法人台北市基督教活水江河全人關懷協會,社區兒童少年關懷服務據點計畫,(02)27641232,臺北市信義區松信路163號B1-1,信義區
社團法人中華民國更生少年關懷協會,616幸福工作站,(02)27693258,臺北市松山區民生東路五段36巷8弄7號一樓, 松山區
中華民國天使之家全人關懷協會,陪他穩定成長、展望未來,(02)27909454,臺北市內湖區成功路二段242號一樓,內湖區
財團法人基督教救世軍,救世軍友善兒少福利服務據點,(02)27990098,臺北市內湖區內湖路一段285巷63弄7號1樓,內湖區
社團法人臺北市接觸點社區關懷協會,108年度迎曦學園-接觸點友善兒童少年福利服務據點,(02)27945837,臺北市內湖區明興里木柵路二段109巷25弄6號1樓,內湖區
財團法人台北市北投文化基金會,臺北市北投區社區學生輔導關懷服務據點,(02)28917453,臺北市北投區中央南路一段45號之1,北投區
臺北市南港區久如社區發展協會,南港花Young樂學堂-久如社區兒少活動小站,(02)26516600,臺北市南港區研究院路2段208號1樓,南港區
