機構名稱,地址,電話,行政區代碼,屬性,服務對象,核定服務床位數量,可申請床位數量,說明,評鑑
臺北市選擇家園(緊急短期安置),臺北市內湖區庇護機構，地址不公開,(02)26341363,63000100,公設民營,"1.18歲以下依兒童及少年性剝削防制條例需介送緊急收容中心及經法院裁定安置短期收容之個案。
2.經社會局評估有緊急庇護必要之12至18歲個案。",21,10,,優等
臺北市希望家園,臺北市松山區庇護機構，地址不公開,(02)27420995,63000010,公設民營,"10至18歲有下列情事之男童或少年：
1.依兒童及少年福利與權益保障法、兒童及少年性剝削防制條例及少年事件處理法收容安置個案。
2.經社會局評估應予保護安置之個案。",8,1,,甲等
臺北市向晴家園,臺北市文山區庇護機構，地址不公開,(02)29372130,63000080,公設民營,"12至18歲有下列情事之少女：
1.中長期安置個案：依兒童及少年福利與權益保障法、兒童及少年性剝削防制條例及少年事件處理法規定，或其他經社工員評估應予保護安置之12歲以上至未滿18歲設籍本市或事件發生地於本市之少女。
2.自立生活宿舍：經機關或機關委託之專業服務之社工人員評估，國中畢業，需就業並未來需自立生活之少女。",18,2,,優等
臺北市綠洲家園(緊急短期安置),臺北市文山區庇護機構，地址不公開,(02)22398599,63000080,公設民營,"12歲以下有下列情事之兒童：
1.依兒童及少年福利與權益保障法規定，設籍本市或事件發生地於本市，經評估需緊急保護安置之個案。
2.經評估或經法院裁定需短期安置之個案（以上皆含發展遲緩及輕度身心障礙者）。",20,0,,優等
臺北市培立家園,臺北市北投區庇護機構，地址不公開,(02)28933317,63000120,公設民營,"12至18歲有下列情事之少男：
1.依兒童及少年福利與權益保障法、兒童及少年性剝削防制條例及少年事件處理法收容安置個案。
2.經社會局評估應予保護安置並以自立生活為目標之個案。
3.滿18歲之個案參酌第1年就學、就業穩定情形，續予提供安置照顧最多至20歲。",8,0,,優等
臺北市德蓓之家,臺北市萬華區庇護機構，地址不公開,0978-150860,63000070,公設民營,"1.3歲以上未滿12歲兒童及3歲以上未滿18歲之女孩、手足經評估有中長期安置需求者。
2.經社會局評估應予保護安置並國中畢業，需就業、未來需自立生活之年滿17歲以上少女。",8,0,,優等
財團法人台北市愛慈社會福利基金會附設恩典之家寶寶照護中心,臺北市中正區庇護機構，地址不公開,(02)23703579,63000050,私立,社會局及相關單位轉介2歲以下有藥(毒)癮、遭受家庭不當對待、家庭無力照顧、疑似確診愛滋等保護性個案。,12,0,依據等候名單提供服務，可接受候位登記，請先來電洽詢。,甲等
臺北市恩慈之家,臺北市大安區庇護機構，地址不公開,"(02)23832572	",63000030,公設民營,2至18歲感染HIV、兒少保護個案12床。,12,0,,甲等
中華文化社會福利事業基金會台北兒童福利中心,臺北市信義區庇護機構，地址不公開,"(02)37652575
",63000020,私立,6至18歲受直轄市或縣市政府委託安置之兒少。,32,3,,乙等
財團法人臺北市基督教伯大尼兒少家庭基金會附設伯大尼兒少家園,臺北市文山區保儀路129號,"(02)29396396
",63000080,私立,6至18歲受(直轄)縣市政府或法院委託安置之兒少。,30,4,,優等
台北市私立忠義育幼院,臺北市文山區景興路85巷12號,"(02)29309581
",63000080,私立,"0至12歲有下列情事者：
1.棄嬰。
2.遊童。
3.受虐兒。
4.家庭遭遇重大變故之兒童少年。",36,0,,優等
台北市私立義光育幼院,臺北市萬華區和平西路三段382巷11弄17號,"(02)23045561
",63000070,私立,2至18歲直轄市或縣市政府委託安置之兒少。,18,0,,甲等
台北市私立華興育幼院,臺北市士林區仰德大道一段101號,"(02)28330150
",63000110,私立,6至18歲受直轄市或縣市政府委託安置之兒少。,30,1,,優等
台北市私立體惠育幼院,臺北市北投區中和街399之8號,"(02)28732223
",63000120,私立,6至18歲受直轄市或縣市政府委託安置之兒少。,8,0,,甲等
財團法人基督教聖道兒少福利基金會附屬台北市私立聖道兒童之家,臺北市北投區承德路七段388號,"(02)28200002
",63000120,私立,6至18歲受(直轄)縣市政府或法院委託安置之兒少。,38,2,,優等
財團法人台北市私立非拉鐵非兒少之家,臺北市士林區愛富二街7號,"(02)28622332
",63000110,私立,0至12歲受(直轄)縣市政府委託安置之兒少。,8,3,,甲等
財團法人基督徒救世會社會福利事業基金會,臺北市中山區復興北路50號5樓之1,"(02)27517006
",63000040,私立,依兒童及少年福利與權益保障法規定因家庭發生重大變故或父母、養父母、監護人對兒童、少年有不當管教、惡意遺棄等情形，造成生命、身體或自由有明顯立即之危險者。,30,0,,
財團法人台灣兒童暨家庭扶助基金會台北市分事務所,臺北市中正區新生南路一段160巷17號1樓,"(02)23922085
",63000050,私立,依兒童及少年福利與權益保障法規定因家庭發生重大變故或父母、養父母、監護人對兒童、少年有不當管教、惡意遺棄等情形，造成生命、身體或自由有明顯立即之危險者。,75,1,,
臺北市曙光家園,臺北市內湖區庇護機構，地址不公開,(02)87917593,63000100,公設民營,設籍本市18歲以下兒童少年經評估有中長期安置需求者。,8,2,,甲等
財團法人台灣關愛基金會附設台北市私立關愛之子家園,,(02)26519773,63000090,私立,0至12歲受(直轄)縣市政府委託安置之兒少。,54,0,,優等
臺北市快樂之家,臺北市萬華區庇護機構，地址不公開,(02)23078393,63000070,私立,6歲至12歲具有肢體障礙、心智能障礙或多重障礙等特殊需求之身障兒童。,3,0,,甲等
臺北市天晴家園,臺北市萬華區庇護機構，地址不公開,(02)23024588,63000070,公設民營,10歲至18歲具情緒障礙、自閉症、情緒行為問題、自傷傷人等高密度需求服務之少女(以領有身心障礙手冊為優先)。,8,1,,甲等
