機構類型,機構名稱,行政區代碼,郵遞區號,地址,電話,傳真,電子郵件,立案字號,成立日期,經度,緯度,機關代碼,提供單位,上傳日期
青少年自立住宅,青少年得力住宅暨後續追蹤輔導方案（財團法人天主教善牧社會福利基金會）,63000080,116,臺北市文山區木柵路二段138巷33號4樓之8,(02)29395568,(02)29395563,deli@goodshepherd.org.tw,,0950915,121.5623,24.98803,379120000J,兒童及少年福利科,1091008
青少年自立住宅,培立家園（社團法人中華育幼機構兒童關懷協會）,63000040,104,臺北市中山郵局第29號信箱,(02)25503317,(02)28933502,,,1090122,121.52213,25.0515,379120000J,兒童及少年福利科,1091008
親職教育輔導中心,臺北市親職教育輔導中心,63000050,100,臺北市中正區延平南路207號5樓,(02)23032110,,,,0890617,121.50766,25.03288,379120000J,兒童及少年福利科,1091008
兒少社會福利基金會,財團法人台北市光智社會事業基金會,63000110,111,臺北市士林區通河街137號2樓之2,(02)28854250,,,北市社四字第29041號,0720728,121.52103,25.08086,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市友緣社會福利事業基金會,63000010,105,臺北市松山區南京東路五段123巷8弄8號,(02)27693319,,,北市社四字第10842號,0730320,121.56124,25.05339,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市新生代社會福利事業基金會,63000100,114,臺北市內湖區堤頂大道二段207號9樓,(02)24579231,(02)24570840,newlife9105@gmail.com,北市社四字第55094號,0761224,121.56792,25.07794,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市中華唇顎裂兒童基金會,63000120,112,臺北市北投區湖山路一段12號,(02)26033423,,,北市社四字第10647號,0770331,121.54746,25.15253,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市覺心兒童福利基金會,63000040,104,臺北市中山區中山北路二段59巷44弄3號,(02)29765394,,,北市社四字第10342號,0780323,121.52407,25.0555,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人吳東進基金會,63000010,105,臺北市松山區光復北路11巷35號13樓,(02)27690515,,,北市社六字第9388號,0830307,121.55991,25.05014,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市私立得榮社會福利基金會,63000020,110,臺北市信義區信義路四段460號3樓之1,(02)87881930,,,北市社六字第8721567100號,0870401,121.5588,25.03282,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人臺北市松陽社會福利事業基金會,63000040,104,臺北市中山區撫順街23號2樓,(02)25867563,,,北市社六字第09441467400號,0941021,121.52043,25.06362,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市失親兒福利基金會,63000010,105,臺北市松山區寶清街18-3號,(02)27477555,,,北市社六字第09636723100號,0960620,121.56861,25.05036,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市愛慈社會福利基金會,63000050,100,臺北市中正區公園路20巷14號4樓,(02)23703579,,,北市社團字第09738571000號,0970812,121.51652,25.04507,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人台北市緣兒童慈善基金會,63000030,106,臺北市大安區延吉街233之2號4樓,(02)26532126,,,北市社團字第10633023300號,1060308,121.55566,25.03685,379120000J,兒童及少年福利科,1110719
兒少社會福利基金會,財團法人臺北市基督教伯大尼兒少家庭基金會,63000080,116,臺北市文山區保儀路129號,(02)29396396,(02)29364260,,北市社四立字第18802號,0601027,121.56725,24.98489,379120000J,兒童及少年福利科,1131007
兒少活動小站,社團法人臺北市放心窩社會互助協會,63000110,111,臺北市士林區社子公園閱覽室,0922-802024,,,北市社四字第29038號,0951010,121.50616,25.09065,379120000J,兒童及少年福利科,1090115
兒少活動小站,社團法人台北市士林全人關懷協會,63000110,111,臺北市士林區文林路421巷30號2樓,,,,北市社四字第50212號,1040704,121.52323,25.09421,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市大同信望愛關懷協會,63000060,103,臺北市大同區重慶北路三段223巷47號,0953-804007,,,北市社四字第61852號,0850716,121.5156,25.07057,379120000J,兒童及少年福利科,1090115
兒少活動小站,社團法人台北市歐伊寇斯OIKOS,63000060,103,臺北市大同區延平北路二段60巷2號,(02)23414322,,,北市社四字第10923號,1061209,121.51146,25.0554,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市大安區古莊社區發展協會,63000030,106,臺北市大安區浦城街13巷20號,(02)23696262,,,北市社四字第1529號,1040415,121.52778,25.02439,379120000J,兒童及少年福利科,1090115
兒少活動小站,社團法人國際奔享體驗教育發展協會,63000120,112,臺北市北投區石牌路一段39巷80弄41號1樓,0936-717123,,,北市社六字第5963號,1000529,121.51095,25.11595,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市北投區我愛石牌社區發展協會,63000120,112,臺北市北投區建民路116巷13號,0922-495520,,,北市社六字第8745932700號,1081220,121.51788,25.10986,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市北投區新大同社區發展協會,63000120,112,臺北市北投區育仁路57號,0922-495520,,,北市社六字第0951823400號,1070120,121.49809,25.13363,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市北投區建民社區發展協會,63000120,112,臺北市北投區文林北路36號,,,,北市社六字第09652148900號,1050309,121.51882,25.10471,379120000J,兒童及少年福利科,1090115
兒少活動小站,臺北市南港區聯成社區發展協會,63000090,115,臺北市南港區東新街77巷29號1樓,,,,北市社團字第11042756000號,1080217,121.58831,25.04772,379120000J,兒童及少年福利科,1090115
兒少活動小站,財團法人台北市基督教南港浸信會,63000090,115,臺北市南港區南港路一段293號,0905-013531,,,北市社團字第10521368400號,0890401,121.608,25.05446,379120000J,兒童及少年福利科,1090115
兒少活動小站,社團法人台北市文山區明興社區發展協會,63000080,116,臺北市文山區木柵路二段109巷25弄6號,(02)22340391,,,北市社四立字第30156號,0830924,121.56283,24.99013,379120000J,兒童及少年福利科,1090115
兒少活動小站,社團法人台灣社區鴻羽關懷協會,63000070,108,臺北市萬華區萬大路158號,,,,,0910227,121.50037,25.02863,379120000J,兒童及少年福利科,1090115
青少年就業諮詢輔導單位,臺北市就業服務處,63000070,108,臺北市萬華區艋舺大道101號8樓,(02)23085231,,,,,121.50148,25.03334,379120000J,兒童及少年福利科,1020523
青少年就業諮詢輔導單位,臺北市職能發展學院,63000110,111,臺北市士林區士東路301號,(02)28721940,,,,,121.537773,25.11374,379120000J,兒童及少年福利科,1020523
家庭寄養,財團法人台灣兒童暨家庭扶助基金會台北市分事務所,63000050,100,臺北市中正區新生南路一段160巷17號1樓,(02)23516948,(02)23967101,,,,121.5306828,25.0347029,379120000J,兒童及少年福利科,1070222
家庭寄養,財團法人基督徒救世會社會福利事業基金會,65000030,235,新北市中和區板南路661號2樓,(02)27517006,(02)27295952,service@csstpe.org.tw,北市社四字第9843號,,121.48381,25.00786,379120000J,兒童及少年福利科,1070222
