序號,機構名稱,行政區域代碼,郵遞區號,地址
1,國立台灣大學醫學院附設醫院,63000050,100,台北市中正區常德街1號
2,李豐病理中心,63000060,103,台北市大同區華陰街59號6樓
3,醫療財團法人病理發展基金會台北病理中心,63000060,103,台北市大同區重慶北路三段146號
4,臺北市立聯合醫院,63000060,103,台北市大同區鄭州路145號
5,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000040,104,台北市中山區中山北路二段92號
6,衛康病理中心,63000040,104,台北市中山區南京東路二段218號8樓
7,三軍總醫院松山分院附設民眾診療服務處,63000010,105,台北市松山區健康路131號
8,國泰醫療財團法人國泰綜合醫院,63000030,106,台北市大安區仁愛路四段280號
9,國立臺灣大學醫學院附設醫院癌醫中心分院,63000030,106,台北市大安區基隆路三段155巷57號1樓
10,台灣地區婦幼衛生中心醫療財團法人婦幼保健診所,63000030,106,台北市大安區復興南路一段285號9樓
11,臺北醫學大學附設醫院,63000020,110,台北市信義區吳興街252號
12,新光醫療財團法人新光吳火獅紀念醫院,63000110,111,台北市士林區文昌路95號
13,臺北榮民總醫院,63000120,112,台北市北投區石牌路二段201號
14,醫療財團法人辜公亮基金會和信治癌中心醫院,63000120,112,台北市北投區立德路125號
15,未來醫檢臨床病理科專科診所,63000100,114,台北市內湖區陽光街351號6樓
16,三軍總醫院附設民眾診療服務處,63000100,114,台北市內湖區成功路二段325號
17,臺北市立萬芳醫院-委託臺北醫學大學辦理,63000082,116,台北市文山區興隆路三段111號
