機構名稱,行政區代碼,理事長,屆期,郵遞區號,地址,電話,傳真,電子郵件,立案字號,成立日期,經度,緯度,機關代碼,提供單位,上傳日期
臺北市松山區中央社區發展協會,63000010,周叔棣,1,105,臺北市松山區精忠里民生東路四段97巷1弄9號1樓,27125853,,,北市社區字第0532號,,121.55176,25.05834,379120000J,人民團體科,1140423
臺北市松山區中正社區發展協會,63000010,方禎璋,7,105,臺北市松山區中正里南京東路三段278號6樓,27211768,(02)27782633,,北市社七字第16551號,0851004,121.5456142,25.0515896,379120000J,人民團體科,1021108
臺北市松山區中華社區發展協會,63000010,游吉興,5,105,臺北市松山區中華里敦化北路155巷91號,27195969,(02)27193139,,北市社七字第09642751700號,0970731,121.5517354,25.0541345,379120000J,人民團體科,1051204
臺北市松山區民生社區發展協會,63000010,謝顯能,9,105,臺北市松山區富泰里新東街1巷15號1樓,87873616,(02)27627083,,北市社七字第55757號,0820507,121.5650763,25.0573387,379120000J,人民團體科,1020628
臺北市松山區安平社區發展協會,63000010,謝高福,9,105,臺北市松山區安平里南京東路五段291巷13-1號,27636898,(02)27664842,,北市社七字第9025117600號,0900624,121.5662170,25.0521580,379120000J,人民團體科,1021011
臺北市松山區東昌社區發展協會,63000010,陳志明,6,105,臺北市松山區東昌里民生東路四段112巷7弄24號,27154357,(02)27154357,,北市社七字第09238551900號,0920711,121.5552676,25.0565696,379120000J,人民團體科,1041109
臺北市松山區東榮社區發展協會,63000010,韓大楨,6,105,臺北市松山區三民里民生東路五段138巷3號4樓之3,27680307,(02)27629205,,北市社七字第8826409900號,0880911,121.5616565,25.0584496,379120000J,人民團體科,1040204
臺北市松山區松榮社區發展協會,63000010,鄭玉梅,5,105,臺北市松山區東榮里新中街46號2樓,27676931,(02)27676931,,北市社七字第09634978200號,0960413,121.5603431,25.0609214,379120000J,人民團體科,1041208
臺北市松山區建源社區發展協會,63000010,陳秀華,6,105,臺北市松山區復建里八德路三段158巷7弄47號,25791689,(02)25771439,,北市社七字第09233845600號,0920420,121.5562213,25.0475179,379120000J,人民團體科,1041229
臺北市松山區莊敬社區發展協會,63000010,劉美鳳,4,105,臺北市松山區莊敬里撫遠街369巷12號,27606793,(02)87873939,,北市社七字第09132062300號,0910305,121.5594034,25.0577985,379120000J,人民團體科,1020523
臺北市松山區富錦社區發展協會,63000010,王仁甫,5,105,臺北市松山區富錦里富錦街515號,27563438,(02)27638234,,北市社七字第09235312100號,0920501,121.5666171,25.0640887,379120000J,人民團體科,1041013
臺北市松山區復建社區發展協會,63000010,左曉明,12,105,臺北市松山區復建里光復南路6巷26弄3號,25775853,,,北市社七字第09231096100號,0920509,121.5574628,25.0476673,379120000J,人民團體科,1040821
臺北市松山區復美社區發展協會,63000010,林靜芬,12,105,臺北市松山區復勢里八德路三段199巷8號,25785507,,,北市社七字第49079號,0830609,121.5561789,25.0490133,379120000J,人民團體科,1050215
臺北市松山區復盛社區發展協會,63000010,王賴素梅,3,105,臺北市松山區復盛里光復南路57巷1-1號,25286727,(02)25282329,,北市社七字第10448298400號,1041027,121.5581411,25.0458733,379120000J,人民團體科,1050111
臺北市松山區敦化社區發展協會,63000010,柳凱耘,7,105,臺北市松山區敦化里八德路三段12巷5弄16號7樓,25703377,(02)25787013,,北市社七字第15247號,0820321,121.5510213,25.0474862,379120000J,人民團體科,1051204
臺北市松山區慈祐社區發展協會,63000010,陳秋和,9,105,臺北市松山區慈祐里八德路四段829巷26號2樓,27686479,,chen9131@yahoo.com.tw,北市社七字第53907號,0830510,121.5762854,25.0506173,379120000J,人民團體科,1020523
臺北市松山區新東社區發展協會,63000010,呂美惠,7,105,臺北市松山區新東里延壽街3號,27664552,(02)27651069,,北市社七字第9026309300號,0900731,121.5797959,25.0519604,379120000J,人民團體科,1021108
臺北市松山區新聚社區發展協會,63000010,劉豐文,7,105,臺北市松山區新聚里南京東路五段250巷5-7號1樓,27613118,(02)27648929,,北市社七字第9021229300號,0891216,121.5689918,25.0574286,379120000J,人民團體科,1050111
臺北市信義區三犁社區發展協會,63000020,周素蛉,7,110,臺北市信義區三犁里信義路五段150巷10號2樓之1,27226709,(02)27290852,,北市社七字第8724077400號,0870620,121.5697720,25.0273743,379120000J,人民團體科,1031205
臺北市信義區三惠社區發展協會,63000020,吳倉明,10,110,臺北市信義區三張里吳興街281巷12號,27222828,(02)27293729,,北市社七字第54176號,0830717,121.5643581,25.0264200,379120000J,人民團體科,1040417
臺北市信義區大道社區發展協會,63000020,葉毅祥,2,110,臺北市信義區大道里忠孝東路五段790巷23弄12號2樓,27267933,,flower32412001@yahoo.com.tw,北市社七字第10545632700號,1050925,121.5828660,25.0428076,379120000J,人民團體科,1051204
臺北市信義區中行社區發展協會,63000020,林美君,1,110,臺北市信義區中行里福德街268巷32號,0987-445009,,,北市社七字第1083103119號,1080524,,,379120000J,人民團體科,1080712
臺北市信義區五分埔社區發展協會,63000020,陳永昌,11,110,臺北市信義區永吉里永吉路517巷1弄10號,27641381,(02)27602906,,北市社七字第62427號,0830918,121.5796616,25.0458458,379120000J,人民團體科,1060303
臺北市信義區五全社區發展協會,63000020,吳秀好,5,110,臺北市信義區五全里永吉路278巷1弄13號,27620007,(02)27532798,,北市社七字第09540795200號,0950915,121.5745770,25.0450600,379120000J,人民團體科,1040417
臺北市信義區六合泰和社區發展協會,63000020,陳盈如,1,110,臺北市信義區六合里吳興街600巷86弄1號,0910-317614,(02)27582744,,北市社七字第1093021295號,1090122,,,379120000J,人民團體科,1090303
臺北市信義區永安社區發展協會,63000020,林陳春子,9,110,臺北市信義區廣居里忠孝東路五段236巷10弄10號3樓,27581449,(02)87896505,,北市社七字第8924587200號,0890617,121.5713950,25.0401440,379120000J,人民團體科,1050215
臺北市信義區永春社區發展協會,63000020,許蕙蘭,2,110,臺北市信義區永春里松山路243-4號,,(02)27650054,,北市社七字第1083184663號,1081021,,,379120000J,人民團體科,1090303
臺北市信義區安康社區發展協會,63000020,黃中美,2,110,臺北市信義區安康里虎林街232巷63號,27265675,,,北市社七字第10641535800號,1060717,121.5760750,25.0357560,379120000J,人民團體科,1070830
臺北市信義區吳興社區發展協會,63000020,何瑞坤,3,110,臺北市信義區景勤里吳興街156巷25弄1號1樓,0936-231058,(02)27330989,,北市社七字第10041104100號,1000703,121.5610680,25.0286300,379120000J,人民團體科,1050411
臺北市信義區忠駝社區發展協會,63000020,馬念慈,2,110,臺北市信義區西村里基隆路一段380巷4號1樓,,,,北市社區字第0510號,,,,379120000J,人民團體科,1150122
臺北市信義區松友社區發展協會,63000020,張海秋,4,110,臺北市信義區松友里信義路六段76巷2弄22號,02-23466669,,,北市社區字第0466號,1061030,,,379120000J,人民團體科,1090410
臺北市信義區松信社區發展協會,63000020,王雷凱,1,110,臺北市信義區景勤里吳興街156巷67號,27325189,,,,,,,379120000J,人民團體科,1120418
臺北市信義區松菸社區發展協會,63000020,簡宗宏,3,110,臺北市信義區新仁里忠孝東路四段553巷32弄1號5樓,27648030,,,北市社區字第0446號,1041201,121.5635930,25.0434050,379120000J,人民團體科,1050111
臺北市信義區松德社區發展協會,63000020,瞿金鰲,1,110,臺北市信義區國業里虎林街222巷15號,87875091,,,,,,,379120000J,人民團體科,1120418
臺北市信義區挹翠社區發展協會,63000020,洪再德,5,110,臺北市信義區六合里紫雲街23號1樓,27228636,(02)27228638,fmking49@gmail.com,北市社七字第09737125400號,0970525,121.5743980,25.0185990,379120000J,人民團體科,1030808
臺北市信義區泰和社區發展協會,63000020,陳淑貞,4,110,臺北市信義區泰和里松仁路308巷63號1樓,87862076,(02)87862075,,北市社七字第10130045700號,1001202,121.5700721,25.0213147,379120000J,人民團體科,1060119
臺北市信義區景勤社區發展協會,63000020,劉坤哲,3,110,臺北市信義區景勤里吳興街156巷19號,27386138,(02)27367166,,北市社七字第09331552600號,0930615,121.5612550,25.0287559,379120000J,人民團體科,1020523
臺北市信義區景聯社區發展協會,63000020,洪福周,7,110,臺北市信義區景聯里吳興街62號,27370088,(02)27385626,,北市社七字第09542370000號,0951010,121.5603944,25.0308098,379120000J,人民團體科,1060303
臺北市信義區雅祥社區發展協會,63000020,黃水永,3,110,臺北市信義區雅祥里永吉路127巷21號,27659746,,,北市社區字第0439號,1040704,121.5704682,25.0476627,379120000J,人民團體科,1040904
臺北市信義區塯公社區發展協會,63000020,張東榮,6,110,臺北市信義區中行里忠孝東路五段790巷59弄19號4樓,0937-087584,(02)27281549,,北市社七字第56638號,0850716,121.5842731,25.0408058,379120000J,人民團體科,1050325
臺北市信義區微笑長春社區發展協會,63000020,潘厚勳,1,110,臺北市信義區長春里虎林街120巷156號2樓,,,,北市社七字第10649334500號,1061209,,,379120000J,人民團體科,1090410
