序號,據點名稱,行政區,行政區代碼,據點地址,電話
1,"財團法人新北市基督教新希望教會
(百齡長青)",士林區,63000110,臺北市士林區前港里承德路4段190號4樓,0970-865525
2,台北市士林區天和社區發展協會,士林區,63000110,"臺北市士林區天山里中山北路7段154巷6
號4樓",0936-889263
3,財團法人台北市天母基督教會,士林區,63000110,臺北市士林區天母里天玉街63號,02-28714742
4,"財團法人天主教遣使會-聖文生之
友社區關懷據點",士林區,63000110,臺北市士林區天山里中山北路7段134號,02-28763236
5,臺北市三樂樂齡關懷協會,士林區,63000110,臺北市士林區社園里社中街226號1樓,0972-990917
6,臺北市士林區葫蘆里辦公處,士林區,63000110,臺北市士林區葫蘆里葫蘆街137號,0958-972685
7,"財團法人台北市中華基督教浸信會
慈光堂",士林區,63000110,臺北市士林區翠山里中社路1段43巷1號,0912-007084
8,社團法人中華悅齡長照關懷協會,士林區,63000110,"臺北市士林區福志里雨農路92號之1（1樓
社區教室B）
臺北市士林區中山北路5段685號3樓之1",02-28327510
9,臺北市士林區德行里辦公處,士林區,63000110,臺北市士林區德行里德行西路30號,02-88662865
10,臺北市士林區葫東里辦公處,士林區,63000110,臺北市士林區葫東里中正路589號1樓,0933-716265
11,臺北市士林區忠義社區發展協會,士林區,63000110,"臺北市士林區忠誠里德行東路104巷9弄8
號旁里民活動中心",02-28310943
12,臺北市士林區富光里辦公處,士林區,63000110,臺北市士林區富光里葫蘆街62號,02-28160879
13,臺北市士林區福順里辦公處,士林區,63000110,"臺北市士林區福順里延平北路5段136巷24
號（福順里里民活動場所）",02-28160989
14,"財團法人臺北市松年長春社會福利
基金會(士林)",士林區,63000110,"臺北市士林區天山里中山北路7段122號3
樓",02-28723425
15,社團法人台北市士林全人關懷協會,士林區,63000110,"臺北市士林區福德里中正路335巷9號&11
號",0953-469293
16,台灣健康社區自主發展協會,士林區,63000110,"臺北市士林區三玉里德行東路203巷2號1
樓",02-28369493
17,台北市劍橋有愛全人關懷協會,士林區,63000110,"臺北市士林區百齡里福港街244巷3號1樓
臺北市士林區百齡里福港街244巷4號2樓",0918-090527
18,社團法人中華仁親社區關懷協會,士林區,63000110,臺北市士林區義信里基河路128號2樓,0956-885626
19,財團法人福智慈善基金會(天母),士林區,63000110,"臺北市士林區蘭興里中山北路6段243號1
樓",02-28382503#0
20,臺北市士林區芝山岩社區發展協會,士林區,63000110,"臺北市士林區名山里雨聲街68號（芝山岩
區民活動中心）",0911-328596
21,"財團法人台北市華夏婦女文教基金
會",士林區,63000110,臺北市士林區岩山里至誠路1段62巷28號,02-28318025
22,"臺北市士林區幸福名山社區發展協
會",士林區,63000110,"臺北市士林區名山里雨聲街68號（芝山岩
區民活動中心）",0932-353435
23,財團法人台灣聖公會(牧愛堂),士林區,63000110,臺北市士林區後港里中正路511號,02-28816317
24,"財團法人臺北市現代悅齡社會福利
基金會",士林區,63000110,臺北市士林區福佳里華聲街17號5樓,02-27565010
25,"台北海洋學校財團法人台北海洋科
技大學",士林區,63000110,臺北市士林區富洲里延平北路9段212號,0955-907688
26,臺北市士林海光社區發展協會,士林區,63000110,臺北市士林區富光里葫蘆街86號1樓,0953-022989
27,臺北市士林區東山里辦公處,士林區,63000110,臺北市士林區東山里士東路320巷2號1樓,0986-666969
28,臺北市天母全人關懷協會,士林區,63000110,"臺北市士林區天玉里中山北路7段81巷7號
B2樓",02-28746222
29,財團法人陽明山基督教天母禮拜堂,士林區,63000110,"臺北市士林區天母里中山北路7段216巷1
號",02-28711622#25
30,"天主教耕莘醫療財團法人永和耕莘
醫院(大龍老人住宅)",大同區,63000060,"臺北市大同區至聖里民族西路105號4樓及
4樓之1",02-66178186
31,臺北市大同區大有里辦公處,大同區,63000060,臺北市大同區大有里民樂街115號1樓,02-25577229
32,社團法人中華國際照顧發展協會,大同區,63000060,臺北市大同區南芳里迪化街1段296號,"02-25505567
0910-381106"
33,社團法人中華萌愛關懷協會,大同區,63000060,臺北市大同區蓬萊里承德路3段60號B1,02-25931138
34,臺北市大同區玉泉里辦公處,大同區,63000060,臺北市大同區玉泉里西寧北路11號,0979-305833
