統一編號,公司名稱,公司地址,核准日期,Longitude,Latitude
62247210,峰收頂奢品牌股份有限公司,臺北市中正區懷寧街76號1樓,115/04/01,121.513988,25.04314
62247252,運傳能源科技有限公司,臺北市中正區開封街1段48號11樓之1,115/04/01,121.512056,25.045915
62247289,艾克聲創意有限公司,臺北市中正區南陽街1號5樓,115/04/01,121.516229,25.045715
62247318,超級餐飲有限公司,臺北市中正區南陽街56號1樓,115/04/01,121.515674,25.043911
62247582,大秀娛樂事業股份有限公司,臺北市中正區八德路1段23號3樓,115/04/01,121.531081,25.044326
62247491,昇廣商域有限公司,臺北市大同區延平北路2段202號18樓,115/04/01,121.511296,25.059035
62247605,复春有限公司,臺北市大同區寧夏路81號,115/04/01,121.515113,25.058748
62247339,可及智感科技股份有限公司,臺北市中山區南京東路2段111號6樓,115/04/01,121.533382,25.052232
62247400,世理有限公司,臺北市中山區南京東路1段15號3樓,115/04/01,121.523833,25.052371
62247513,好棒生活有限公司,臺北市中山區建國北路3段143號2樓,115/04/01,121.534969,25.067197
62247648,晴渲有限公司,臺北市中山區民生東路3段57號11樓之1,115/04/01,121.541135,25.058014
62216103,東實資本有限公司,臺北市松山區民生東路3段156號9樓,115/04/01,121.547604,25.057396
62247324,賀睿投資有限公司,臺北市松山區光復南路58巷15號1樓,115/04/01,121.556156,25.04561
62247345,昀界設計國際事業有限公司,臺北市松山區南京東路4段164號11樓之2,115/04/01,121.556691,25.051375
62247529,甄玥投資有限公司,臺北市松山區八德路3段219號13樓,115/04/01,121.556805,25.048214
62215771,沃蒔之間有限公司,臺北市大安區信義路4段380號2樓,115/04/01,121.555888,25.032924
62215929,紫騰虛極有限公司,臺北市大安區忠孝東路4段162號12樓之3,115/04/01,121.550289,25.041284
62216005,真研健康科技股份有限公司,臺北市大安區敦化南路1段313號5樓之1,115/04/01,121.549239,25.034741
62247181,曜典股份有限公司,臺北市大安區復興南路1段243號6樓,115/04/01,121.543885,25.037208
62247366,立暉實業有限公司,臺北市大安區仁愛路3段26號5樓,115/04/01,121.535746,25.037648
62247387,曜衡國際有限公司,臺北市大安區光復南路102號四樓,115/04/01,121.557481,25.043464
62247422,回階遊戲有限公司,臺北市大安區忠孝東路4段300號5樓,115/04/01,121.55628,25.041155
62247274,岱運行銷有限公司,臺北市萬華區中華路1段106號8樓,115/04/01,121.508392,25.043975
62247561,優啟股份有限公司,臺北市萬華區忠孝西路2段24號2樓,115/04/01,121.508204,25.048251
62247302,紘全機電工程股份有限公司,臺北市信義區基隆路1段141號9樓之10,115/04/01,121.565843,25.042983
62247485,致鼎電訊有限公司,臺北市信義區松德路161號13樓之2,115/04/01,121.574837,25.036394
62247226,鮮旺國際有限公司,臺北市士林區士東路83之2號,115/04/01,121.528558,25.112303
62247416,十二聲學科技有限公司,臺北市士林區忠誠路1段171巷6號1樓,115/04/01,121.530677,25.10717
62247268,速倍速科技有限公司,臺北市內湖區內湖路3段59巷20號1樓,115/04/01,121.591852,25.085491
62247458,睦創國際有限公司,臺北市內湖區新湖三路189號5樓,115/04/01,121.580096,25.065014
62247653,海德克科技股份有限公司,臺北市南港區成功路1段62號6樓,115/04/01,121.59262,25.056417
62247437,曜衡工程科技管理顧問有限公司,臺北市文山區木新路2段111巷6弄17號,115/04/01,121.569584,24.983649
62247470,深度生活有限公司,臺北市中正區南陽街24號2樓,115/04/02,121.516026,25.044362
62247598,鹽與甜有限公司,臺北市中正區許昌街42號8樓,115/04/02,121.51546,25.045451
62247703,騰雲家居有限公司,臺北市中正區金山北路1號6樓之3,115/04/02,121.530348,25.043935
62247915,庭研生技有限公司,臺北市中正區忠孝東路1段76號11樓之3,115/04/02,121.523921,25.044467
62247936,合眾媒體有限公司,臺北市中正區中華路1段25之3號3樓,115/04/02,121.50982,25.046067
62247984,智思顧問有限公司,臺北市中正區忠孝東路1段152號12樓之5,115/04/02,121.52592,25.04398
62247696,維特力綠能產業有限公司,臺北市大同區南京西路163號2樓之13,115/04/02,121.513129,25.054082
62247555,均佑醫材顧問有限公司,臺北市中山區長安東路2段80號10樓,115/04/02,121.534107,25.048335
62247669,嘉睿能源股份有限公司,臺北市中山區南京東路2段111號6樓,115/04/02,121.533382,25.052232
62247730,宇顓九恆有限公司,臺北市中山區松江路76號7樓之1,115/04/02,121.532769,25.049645
62247767,山水商號有限公司,臺北市中山區松江路152號8樓,115/04/02,121.53285,25.054189
62247865,旭山景觀有限公司,臺北市中山區長安東路2段171號8樓之2,115/04/02,121.541684,25.048401
62248013,威仕特國際旅行社有限公司,臺北市中山區南京東路3段118號8樓之4,115/04/02,121.540307,25.051739
62247680,食旅文化股份有限公司,臺北市松山區光復南路5號1樓、7號1樓,115/04/02,121.557965,25.047801
62247295,方舟舟工作柿有限公司,臺北市大安區信義路4段296號15樓,115/04/02,121.554592,25.032948
62247507,德義有限公司,臺北市大安區敦化南路2段180號9樓,115/04/02,121.548312,25.023705
62247534,心創教育有限公司,臺北市大安區復興南路1段352號2樓,115/04/02,121.543392,25.03562
62247540,富食康餐飲顧問股份有限公司,臺北市大安區仁愛路4段228號1樓,115/04/02,121.552086,25.037509
62247627,聿修社有限公司,臺北市大安區信義路4段380號2樓,115/04/02,121.555888,25.032924
62247719,星光模方股份有限公司,臺北市大安區建國南路2段167號7樓,115/04/02,121.538084,25.02831
62247725,序流數位有限公司,臺北市大安區敦化南路1段376號6樓之3,115/04/02,121.548441,25.033598
62247859,資旅科技股份有限公司,臺北市大安區羅斯福路2段93號18樓之5,115/04/02,121.52412,25.025144
62247909,萬象生活有限公司,臺北市大安區忠孝東路四段221號10樓,115/04/02,121.552577,25.041661
62247921,銳福健身有限公司,臺北市大安區安和路2段60號1樓,115/04/02,121.552242,25.030677
62247979,未定事務有限公司,臺北市大安區忠孝東路四段319號6樓之1,115/04/02,121.556059,25.041591
62247632,亞特理顧問股份有限公司,臺北市萬華區開封街2段39號1樓,115/04/02,121.506431,25.047141
62216053,拍圖一閃有限公司,臺北市信義區基隆路1段163號14樓之1,115/04/02,121.565226,25.041751
62247247,星光樹文化有限公司,臺北市信義區信義路5段109號6樓之1,115/04/02,121.573123,25.03329
62247577,卓銘有限公司,臺北市信義區基隆路2段51號8樓之7,115/04/02,121.558531,25.030982
62247611,天元娛樂有限公司,臺北市信義區松山路421號11樓之4,115/04/02,121.578005,25.040496
62247675,序恆影像製作有限公司,臺北市信義區忠孝東路5段1之8號12樓,115/04/02,121.565175,25.041293
62247746,特塞澤台灣有限公司,臺北市信義區基隆路1段163號14樓之1,115/04/02,121.565226,25.041751
62247823,聚享國際股份有限公司,臺北市信義區忠孝東路5段1之8號5樓,115/04/02,121.565175,25.041293
62247871,思兼創意有限公司,臺北市信義區莊敬路341巷4弄10號,115/04/02,121.564702,25.028093
62247957,朝彩金堡有限公司,臺北市士林區文林路144巷12號5樓,115/04/02,121.526951,25.088557
62247372,惟壹企業有限公司,臺北市內湖區金龍路185之1號1樓,115/04/02,121.588324,25.086995
62247801,望台實業有限公司,臺北市內湖區新明路343號8樓,115/04/02,121.583617,25.056086
62247773,卡巴文化有限公司,臺北市南港區玉成街78號1樓,115/04/02,121.582575,25.046375
62247886,台灣躍展有限公司,臺北市南港區南港路3段130巷3弄15號3樓,115/04/02,121.58739,25.053708
62248061,源序投資股份有限公司,臺北市中正區信義路2段101號8樓,115/04/07,121.527681,25.03422
62248225,流量數位行銷有限公司,臺北市中正區仁愛路2段25號5樓,115/04/07,121.527305,25.038461
62248301,淞泰能源有限公司,臺北市中正區許昌街42之1號10樓,115/04/07,121.515624,25.045162
62247794,噴泉廣場有限公司,臺北市大同區貴德街79號1樓,115/04/07,121.508447,25.056359
62247963,盼望有限公司,臺北市大同區重慶北路2段48號9樓之3,115/04/07,121.513904,25.055454
62248105,莯潗國際有限公司,臺北市大同區南京西路62號7樓,115/04/07,121.519042,25.052752
62248251,三彡川室內裝修設計有限公司,臺北市大同區長安西路78巷4弄1號1樓,115/04/07,121.519126,25.049886
62248317,宏昱永續股份有限公司,臺北市大同區重慶北路2段173之2號,115/04/07,121.513795,25.059394
62248029,奧斯網路有限公司,臺北市中山區南京東路2段150號7樓,115/04/07,121.534199,25.051833
62248077,踏實數位股份有限公司,臺北市中山區民權東路3段70之2號2樓,115/04/07,121.542993,25.062111
62248153,晨光寓所餐飲有限公司,臺北市中山區德惠街178號,115/04/07,121.531914,25.066486
62248169,碰碰工作室有限公司,臺北市中山區民權西路20號2樓,115/04/07,121.521801,25.062601
62248196,佳富管理顧問股份有限公司,臺北市中山區復興南路1段2號11樓,115/04/07,121.543683,25.04718
62248219,睿宇科技有限公司,臺北市中山區建國北路3段90號1樓,115/04/07,121.534685,25.06649
62248246,真心企業股份有限公司,臺北市中山區復興北路70號9樓之1,115/04/07,121.543794,25.050756
62248273,恆曜貿易有限公司,臺北市中山區長安東路1段30號1樓,115/04/07,121.526134,25.048663
62215765,默連國際有限公司,臺北市松山區民權東路3段144號4樓之7,115/04/07,121.547244,25.061857
62247892,史壯國際有限公司,臺北市松山區南京東路5段188號3樓之7,115/04/07,121.563747,25.051213
62248132,昂鋐科創股份有限公司,臺北市松山區八德路4段83號地下1樓,115/04/07,121.560326,25.04857
62248148,美慧珍投資股份有限公司,臺北市松山區八德路4段224號1樓,115/04/07,121.564882,25.048784
62248203,台灣祺豐有限公司,臺北市松山區光復北路11巷97號4樓之3,115/04/07,121.56234,25.050436
62247942,翰笙有限公司,臺北市大安區忠孝東路3段305號6樓之1,115/04/07,121.543542,25.041886
62247990,源哲有限公司,臺北市大安區復興南路1段167號2樓,115/04/07,121.543982,25.041128
62248007,九力創意科技股份有限公司,臺北市大安區信義路4段30巷16號,115/04/07,121.544549,25.032627
62248034,事木木作工程有限公司,臺北市大安區信義路3段186號9樓,115/04/07,121.542649,25.033197
62248230,韌性實驗科技有限公司,臺北市大安區復興南路2段237號13樓,115/04/07,121.54371,25.025846
62248288,笑果行銷有限公司,臺北市大安區忠孝東路4段169號6樓之1,115/04/07,121.550421,25.041705
62247817,井然管理顧問有限公司,臺北市信義區基隆路1段176號13樓,115/04/07,121.565209,25.042814
62248180,衍一有限公司,臺北市信義區忠孝東路5段482號15樓之4,115/04/07,121.577997,25.040597
62248175,興成國際貿易有限公司,臺北市內湖區民權東路6段180巷6號5樓,115/04/07,121.592648,25.068196
62248082,太芙努特科技股份有限公司,臺北市南港區南港路3段130巷3弄15號3樓,115/04/07,121.58739,25.053708
62248055,廣宇室內裝修有限公司,臺北市文山區恆光街10號,115/04/07,121.566573,24.983533
62248267,銓洁渼清潔有限公司,臺北市文山區景興路159號2樓,115/04/07,121.544694,24.993573
62222148,鉅宸雲端科技股份有限公司,臺北市中正區重慶南路1段83號6樓,115/04/08,121.513338,25.043755
62222175,昕創科技股份有限公司,臺北市中正區重慶南路1段57號10樓之17,115/04/08,121.51335,25.044671
62222317,江銘工程有限公司,臺北市中正區晉江街129號3樓,115/04/08,121.524979,25.022704
62248338,洁莉有限公司,臺北市中正區衡陽路36號8樓之3,115/04/08,121.512497,25.042197
62248359,函特文教有限公司,臺北市中正區金山北路1號5樓之6,115/04/08,121.530348,25.043935
62248365,泛聲互動有限公司,臺北市中正區濟南路2段6號7樓,115/04/08,121.526791,25.041332
62248457,萬物有隙有限公司,臺北市中正區紹興北街35號4樓之3,115/04/08,121.525529,25.045399
62253471,睿拓顧問有限公司,臺北市中正區衡陽路10號12樓,115/04/08,121.513623,25.042228
62222196,霆潤有限公司,臺北市大同區重慶北路2段72號3樓,115/04/08,121.513696,25.056298
62222323,博新設計有限公司,臺北市大同區承德路1段35號6樓,115/04/08,121.517315,25.051093
62222180,領航船務代理有限公司,臺北市中山區南京東路2段6號9樓,115/04/08,121.528378,25.051881
62222203,芳承有限公司,臺北市中山區復興北路164號4樓,115/04/08,121.54386,25.053471
62222246,台灣紅廚家具用品有限公司,臺北市中山區復興北路178號11樓,115/04/08,121.543875,25.054241
62248111,築藝資產管理股份有限公司,臺北市中山區民權東路3段35號11樓,115/04/08,121.542196,25.062549
62248127,溫度智能有限公司,臺北市中山區長安東路2段162號7樓,115/04/08,121.539353,25.04824
62248409,盈創新材股份有限公司,臺北市中山區民生東路2段143號8樓,115/04/08,121.534548,25.05815
62248479,澄蘊生醫有限公司,臺北市中山區南京東路2段137號14樓,115/04/08,121.53511,25.052216
62248512,層于設計有限公司,臺北市中山區建國北路3段90號1樓,115/04/08,121.534685,25.06649
62248533,智奕管理顧問股份有限公司,臺北市中山區長安東路2段181號6樓,115/04/08,121.542569,25.048385
62248554,永悅家務所有限公司,臺北市中山區復興北路48號10樓之1,115/04/08,121.54376,25.049537
62253394,瑞登科技股份有限公司,臺北市中山區中山北路2段52號8樓之1,115/04/08,121.522552,25.056266
62222288,合利順財務股份有限公司,臺北市松山區八德路2段374號4樓之5,115/04/08,121.546041,25.047957
62248463,迦南美地開發顧問有限公司,臺北市松山區復興北路201號10樓,115/04/08,121.544334,25.055686
62253459,銘玥科技有限公司,臺北市松山區南京東路5段188號6樓之5,115/04/08,121.563747,25.051213
62253535,泓珩策略顧問股份有限公司,臺北市松山區民權東路3段142號13樓,115/04/08,121.546856,25.061723
62222225,瑞淇生醫股份有限公司,臺北市大安區信義路4段296號6樓之4,115/04/08,121.554592,25.032948
62248294,熒風股份有限公司,臺北市大安區大安路1段191號6樓之1,115/04/08,121.546099,25.035768
62248323,飛吧國際有限公司,臺北市大安區復興南路2段237號13樓,115/04/08,121.54371,25.025846
62248386,四更天有限公司,臺北市大安區復興南路1段352號2樓,115/04/08,121.543392,25.03562
62248392,智境科技有限公司,臺北市大安區復興南路1段352號2樓之2,115/04/08,121.543392,25.03562
62248528,原建工程股份有限公司,臺北市大安區信義路4段341號9樓之2,115/04/08,121.556702,25.0333
62248549,美威文教有限公司,臺北市大安區羅斯福路3段177號10樓之3,115/04/08,121.527878,25.021249
62248560,安衡救護車事業有限公司,臺北市大安區師大路129號地下,115/04/08,121.528255,25.021705
62248576,夏天好視顧問有限公司,臺北市大安區羅斯福路2段93號18樓之5,115/04/08,121.52412,25.025144
62248604,和毓資訊有限公司,臺北市大安區信義路4段296號15樓,115/04/08,121.554592,25.032948
62253465,尚境行銷有限公司,臺北市大安區羅斯福路三段29號6樓,115/04/08,121.525237,25.023665
62253486,賣多多實業有限公司,臺北市大安區忠孝東路4段97號3樓之9,115/04/08,121.547955,25.041754
62222230,艾斯陪伴有限公司,臺北市萬華區長沙街2段91號6樓之7,115/04/08,121.504733,25.040552
62248371,鼎揚設計整合有限公司,臺北市萬華區國興路48號4樓之3,115/04/08,121.507291,25.025404
62248581,點創思維有限公司,臺北市萬華區長沙街2段161號6樓,115/04/08,121.502358,25.040613
62222169,熊兔有限公司,臺北市信義區忠孝東路5段412號17樓,115/04/08,121.575166,25.040711
62222219,聖維企業有限公司,臺北市信義區永吉路443巷2號,115/04/08,121.578311,25.045624
62222251,木子一土有限公司,臺北市信義區松德路12號6樓,115/04/08,121.577377,25.039732
62248421,松仁資本股份有限公司,臺北市信義區松智路1號11樓,115/04/08,121.566081,25.038775
62253417,俄斐金有限公司,臺北市信義區松山路421號11樓之4,115/04/08,121.578005,25.040496
62253541,超特有限公司,臺北市信義區永吉路168號8樓,115/04/08,121.571022,25.045469
62248597,心呈室內裝修設計有限公司,臺北市北投區義理街13號,115/04/08,121.515077,25.116322
62222273,光始匹克俱樂部股份有限公司,臺北市內湖區康寧路1段296號1樓,115/04/08,121.5979,25.078562
62248436,東艾工程顧問有限公司,臺北市內湖區新明路341號7樓,115/04/08,121.583502,25.056349
62248490,順發餐飲有限公司,臺北市文山區興隆路2段323號1樓,115/04/08,121.553939,25.001197
62253514,菁耀資本股份有限公司,臺北市中正區許昌街42號8樓,115/04/09,121.51546,25.045451
62253628,嘉興整合工程有限公司,臺北市中正區許昌街42號8樓,115/04/09,121.51546,25.045451
62253676,順源帷幕有限公司,臺北市中正區館前路8號7樓,115/04/09,121.514895,25.045814
62253697,富比世傳媒有限公司,臺北市中正區羅斯福路1段25號6樓,115/04/09,121.518454,25.032831
62222301,金福利國際有限公司,臺北市中山區長春路67號6樓之1,115/04/09,121.526493,25.055022
62253438,孟樺資訊科技股份有限公司,臺北市中山區長安東路2段31號6樓之3,115/04/09,121.531218,25.048587
62253599,米禾股份有限公司,臺北市中山區民生東路1段51號4樓之1,115/04/09,121.526242,25.058197
62253606,肉執事四號店股份有限公司,臺北市中山區南京東路2段6號11樓,115/04/09,121.528378,25.051881
62253654,理陽投資管理顧問有限公司,臺北市中山區南京東路3段189號10樓,115/04/09,121.542231,25.052087
62253710,卓越資本科技有限公司,臺北市中山區松江路315號11樓,115/04/09,121.533413,25.061945
62253795,伴飛科技顧問股份有限公司,臺北市中山區南京東路2段101號11樓,115/04/09,121.532636,25.05224
62253824,建元數位有限公司,臺北市中山區長安東路2段142號7樓之1,115/04/09,121.537395,25.048279
62253866,順展科技有限公司,臺北市中山區農安街77巷9弄35號1樓,115/04/09,121.529465,25.066258
62253887,多比寶台灣股份有限公司,臺北市中山區建國北路2段3巷15號5樓,115/04/09,121.537665,25.052578
