統一編號,公司名稱,公司地址,核准變更日期,Longitude,Latitude
602,曾好文化股份有限公司,臺北市大安區復興南路1段352號2樓之3,115/04/01,121.543392,25.03562
11256,艾妮爾有限公司,臺北市松山區南京東路5段188號6樓之5,115/04/01,121.563747,25.051213
40891,錢潮股份有限公司,臺北市中山區明水路672巷32號1樓,115/04/01,121.551638,25.083513
78447,馨富管理顧問有限公司,臺北市中山區松江路315號11樓,115/04/01,121.533413,25.061945
108532,鼎豐亞太控股股份有限公司,臺北市大安區忠孝東路4段148號8樓之1,115/04/01,121.54991,25.041298
134216,豪勤貿易有限公司,臺北市萬華區廣州街81巷5之2號1樓,115/04/01,121.504119,25.037044
4232072,久福顧問股份有限公司,臺北市大安區敦化南路1段336號8樓之1,115/04/01,121.548447,25.034969
4279694,國雍營造工程股份有限公司,臺北市內湖區新湖一路8號6樓,115/04/01,121.574434,25.058437
4291917,慶嘉股份有限公司,臺北市大同區大龍街166號2樓,115/04/01,121.515798,25.068197
4714958,嘉欣鋼鐵股份有限公司,臺北市大安區安和路1段112巷17號1樓,115/04/01,121.550774,25.033991
9458767,遠東精密化學股份有限公司,臺北市內湖區瑞光路258巷55號5樓之1,115/04/01,121.574451,25.074584
11919506,台灣安斯泰來製藥股份有限公司,臺北市中山區民生東路3段10號5樓,115/04/01,121.538428,25.057611
12355174,偉祥室內裝修股份有限公司,臺北市士林區雨農路32巷6弄4號1樓,115/04/01,121.533109,25.099076
12552127,得仕企業有限公司,臺北市內湖區港墘路82巷13號1樓,115/04/01,121.57707,25.081109
12652759,菱三友國際貿易股份有限公司,臺北市中山區林森北路577號11樓之2,115/04/01,121.525848,25.065508
12659654,都市生活廣告有限公司,臺北市內湖區瑞光路168號9樓,115/04/01,121.57865,25.07391
12953312,宇笛生物科技股份有限公司,臺北市中正區羅斯福路2段11號4樓,115/04/01,121.521567,25.028608
13088078,舜智文化創意股份有限公司,臺北市大安區忠孝東路4段169號12樓之1,115/04/01,121.550421,25.041705
14022407,立航旅行社有限公司,臺北市萬華區西園路2段284號1樓,115/04/01,121.494153,25.027477
16440551,大昌瑞台股份有限公司,臺北市內湖區堤頂大道2段407巷20弄3號5樓,115/04/01,121.563368,25.08116
16441860,台灣兼松股份有限公司,臺北市松山區長春路451號10樓,115/04/01,121.547484,25.054592
16445649,甌圖軟體開發股份有限公司,臺北市大同區南京西路288號4樓之7、4樓之8、4樓之9,115/04/01,121.513989,25.053909
16756208,西華投資股份有限公司,臺北市北投區振興街31號1樓,115/04/01,121.522347,25.117986
16930017,誠仲企業有限公司,臺北市松山區八德路4段606號9樓,115/04/01,121.572869,25.049806
