年度,被申訴人,申訴人,協商日,爭議內容
109,依芙有限公司,蔡○○,1091231,購買美容商品消費爭議
109,艾美佳人美甲工作坊,賴○○,1091230,美甲服務消費爭議
109,富邦媒體科技股份有限公司,張○○,1091222,通訊交易消費爭議
109,富胖達股份有限公司,張○○,1091222,美食外送服務消費爭議
109,馬來西亞商馬亞洲航空有限公司,林○○,1091221,機票退票爭議
109,創意國際服務有限公司附設臺北市私立摩登美容短期補習班,歐○○,1091221,課程退費爭議
109,台灣樂天市場股份有限公司（賣家帳號：FINDSEVEN）,楊○○,1091218,通訊交易消費爭議
109,新鴻交通有限公司,陳○○,1091218,國內旅遊消費爭議
109,查理's Repair林口長庚店,李○○,1091218,ipad維修保固消費爭議
109,嘖室股份有限公司,張○○,1091217,通訊交易消費爭議
109,遠智創新股份有限公司,張○○,1091217,通訊交易消費爭議
109,台灣之星電信股份有限公司,李○○,1091216,通訊服務消費爭議
109,美夢成真生技股份有限公司,李○○,1091215,美容課程退費爭議
109,憶家俱,簡○○,1091215,家俱買賣消費爭議
109,1.台灣樂天股份有限公司2.集盛股份有限公司,姚○○,1091215,通訊交易消費爭議
109,DMM珠寶,高○○,1091214,購買戒指消費爭議
109,巴朗國際有限公司,劉○○,1091214,購買面膜消費爭議
109,余有容嫣有限公司,劉○○,1091214,購買面膜消費爭議
109,智擎數位科技股份有限公司,莊○○,1091214,線上課程消費爭議
109,台灣惠普資訊科技股份有限公司,戴○○,1091209,維修爭議
109,聖羽未來有限公司,蔡○○,1091209,購買課程消費爭議
109,香港商比錫茲有限公司,顏○○,1091209,美食外送服務爭議
109,泰商泰國航空國際有限公司,王○○,1091209,機票退費爭議
109,國立臺灣大學生物資源暨農學院附設動物醫院,張○○,1091208,損害賠償爭議
109,台灣索尼互動娛樂股份有限公司,廖○○,1091207,線上遊戲停權爭議
109,新加坡商競舞電競有限公司台灣分公司,吳○○,1091207,線上遊戲退費爭議
109,渼珞有限公司,邱○○,1091207,婚友退費爭議
109,蕾絲娃娃法式手工婚紗高雄店,魏○○,1091207,婚紗攝影退費爭議
109,強斯有限公司,高○○,1091203,健身中心退費爭議
109,博思數位串流有限公司,蘇○○,1091203,機上盒保固收費爭議
109,L.W.BROWS半永久紋繡,李○○,1091203,紋眉服務消費爭議
109,奧森國際語言有限公司,楊○○,1091130,課程展延爭議
109,美商科高國際有限公司台灣分公司,王○○,1091123,手機維修爭議
109,英屬維京群島商全星秀娛樂有限公司,黃○○,1091123,藝文表演票券消費爭議
109,臺北市私立鵬展文理短期補習班,羅○○,1091120,補習服務契約爭議
109,隆中網絡股份有限公司,郭○○,1091119,線上遊戲爭議
109,巨匠雲科技教育附設臺北市私立巨匠雲補習班士林分班,林○○,1091119,補習服務轉讓爭議
109,Google LLC,曾○○,1091118,退費爭議
109,宇文 3C,林○○,1091117,網路購物退費消費爭議
