醫事機構名稱,顯示用地址,系統辨識用地址,電話,分機,手機
臺北長庚醫院,臺北市松山區敦化北路199號,臺北市松山區敦化北路199號,,,0975360239
臺安醫院,臺北市松山區八德路二段424號,臺北市松山區八德路二段424號,(02)27718151,2667,
三總松山分院,臺北市松山區健康路131號,臺北市松山區健康路131號,(02)27633425,,
博仁綜合醫院,臺北市松山區光復北路66號,臺北市松山區光復北路66號,(02)25786677,2258,
民安診所,臺北市松山區民生東路五段76號,臺北市松山區民生東路五段76號,(02)27660656,,
吳慶南內科診所,臺北市松山區民生東路五段138號,臺北市松山區民生東路五段138號,(02)27659566,,
聯醫松山門診部,臺北市松山區八德路4段694號,臺北市松山區八德路4段694號,(02)27653147,,
臺北醫學大學附設醫院,臺北市信義區吳興街252號,臺北市信義區吳興街252號,(02)77287920,209、210,
張育驍診所,臺北市信義區吳興街467巷2弄6號,臺北市信義區吳興街467巷2弄6號,(02)27296611,,
承功診所,臺北市信義區忠孝東路五段372巷27弄64號,臺北市信義區忠孝東路五段372巷27弄64號,(02)23456772,,
聯醫信義門診部,臺北市信義區大道路116號,臺北市信義區大道路116號,(02)87804152,2124、2126、2133,
聯醫仁愛院區,臺北市大安區仁愛路四段10號,臺北市大安區仁愛路四段10號,(02)27093600,5206,
國泰綜合醫院,臺北市大安區仁愛路四段280號,臺北市大安區仁愛路四段280號,(02)27082121,8725、8321,
中心綜合醫院,臺北市大安區忠孝東路四段77號,臺北市大安區忠孝東路四段77號,(02)27818666,16,
宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,臺北市大安區仁愛路四段71巷1號,(02)27713161,555,
中山醫院,臺北市大安區仁愛路四段112巷11號,臺北市大安區仁愛路四段112巷11號,(02)27081166,7377,
尹書田診所,臺北市大安區建國南路二段276號,臺北市大安區建國南路二段276號,(02)23688285,,
健華診所,臺北市大安區和平東路二段299號,臺北市大安區和平東路二段299號,(02)27072990,,
夏爾診所,臺北市大安區信義路四段265巷54號,臺北市大安區信義路四段265巷54號,(02)23255508,13,
家齡診所,臺北市大安區敦化南路1段205號1樓-B1,臺北市大安區敦化南路1段205號1樓-B1,(02)27211258,,
聯醫大安門診部,臺北市大安區辛亥路3段15號,臺北市大安區辛亥路3段15號,(02)27390997,,
聯醫林森院區,臺北市中山區林森北路530號,臺北市中山區林森北路530號,(02)25916681,1290,
臺北馬偕醫院,臺北市中山區中山北路二段92號,臺北市中山區中山北路二段92號,(02)25118085,,
民生承安診所,臺北市中山區民生東路三段90號,臺北市中山區民生東路三段90號,(02)25032633,215,
大直診所,臺北市中山區北安路595巷2弄2號,臺北市中山區北安路595巷2弄2號,(02)25332339,,
啟新診所,臺北市中山區建國北路三段42號5樓,臺北市中山區建國北路三段42號5樓,(02)25070723,131、138,
沐晴診所,臺北市中山區龍江路401號1樓,臺北市中山區龍江路401號1樓,(02)25189009,,
榮星診所,臺北市中山區龍江路272號,臺北市中山區龍江路272號,(02)25168112,,
思雲診所,臺北市中山區中山北路二段137巷10號,臺北市中山區中山北路二段137巷10號,(02)25428825,,
永育樂群診所,臺北市中山區樂群二路210-2號,臺北市中山區樂群二路210-2號,(02)85012268,,
聯醫中山門診部,臺北市中山區松江路367號1樓,臺北市中山區松江路367號1樓,(02)25013363,,
臺大醫院,臺北市中正區中山南路7號,臺北市中正區中山南路7號,(02)23562681,,
聯醫和平院區,臺北市中正區中華路二段33號,臺北市中正區中華路二段33號,(02)23889595,2732,
聯醫婦幼院區,臺北市中正區福州街12號,臺北市中正區福州街12號,(02)23916470,2556,
怡和診所,臺北市中正區汀洲路二段212號,臺北市中正區汀洲路二段212號,(02)23625100,,
美兆診所,臺北市中正區忠孝西路一段66號44樓,臺北市中正區忠孝西路一段66號44樓,(02)77397233,,
聯醫中正門診部,臺北市中正區牯嶺街24號,臺北市中正區牯嶺街24號,(02)23210168,,
聯醫中興院區,臺北市大同區鄭州路145號,臺北市大同區鄭州路145號,(02)25523234,6245,
悅昇診所,臺北市大同區錦西街50-1號,臺北市大同區錦西街50-1號,(02)25502664,,
聯醫大同門診部,臺北市大同區昌吉街52號1樓,臺北市大同區昌吉街52號1樓,(02)25948971,,
西園醫院,臺北市萬華區西園路二段270號,臺北市萬華區西園路二段270號,(02)23076925,,
臺大北護分院,臺北市萬華區內江街87號,臺北市萬華區內江街87號,(02)23121712,,
仁濟醫院,臺北市萬華區廣州街243號,臺北市萬華區廣州街243號,(02)23021133,2721,
瑞生診所,臺北市萬華區西園路二段250號,臺北市萬華區西園路二段250號,(02)23012788,,
天行健診所,臺北市萬華區寶興街127號,臺北市萬華區寶興街127號,(02)23320688,,
東京生活診所,臺北市萬華區萬大路491號1、2樓,臺北市萬華區萬大路491號1、2樓,(02)23090990,,
聯醫萬華門診部,臺北市萬華區東園街152號,臺北市萬華區東園街152號,(02)23395384,,
萬芳醫院,臺北市文山區興隆路三段111號,臺北市文山區興隆路三段111號,(02)66283380,2929,
景美醫院,臺北市文山區羅斯福路六段280號,臺北市文山區羅斯福路六段280號,(02)29331010,128,
山林診所,臺北市文山區羅斯福路6段407號2樓,臺北市文山區羅斯福路6段407號2樓,(02)29332010,128,
吳錫賢診所,臺北市文山區木新路3段208號,臺北市文山區木新路3段208號,(02)29381577,,
聯醫政大門診部,臺北市文山區指南路2段117號,臺北市文山區指南路2段117號,(02)82377441,128,
聯醫忠孝院區,臺北市南港區同德路87號,臺北市南港區同德路87號,(02)27861288,1656,
永育福德診所,臺北市南港區福德街320號,臺北市南港區福德街320號,(02)27850700,,
聯醫南港門診部,臺北市南港區南港路1段360號,臺北市南港區南港路1段360號,(02)27868756,,
三軍總醫院,臺北市內湖區成功路二段325號,臺北市內湖區成功路二段325號,(02)87923311,88195,
中國醫臺北分院,臺北市內湖區內湖路二段360號,臺北市內湖區內湖路二段360號,(02)27919696,1890,
康寧醫院,臺北市內湖區成功路五段420巷26號,臺北市內湖區成功路五段420巷26號,(02)26345500,16000,
康樂診所,臺北市內湖區康樂街82號,臺北市內湖區康樂街82號,(02)26308800,,
