序號,縣市別,行政區,機構代碼,診所名稱
1,63000,萬華區,3501196062,麗思醫美診所
2,63000,萬華區,3501195903,黃健勇皮膚科診所
3,63000,萬華區,3501195878,京采美醫診所
4,63000,萬華區,3501194102,生生整形外科診所
5,63000,萬華區,3501195878,京采美醫診所
6,63000,萬華區,3501195627,蔣富強皮膚專科診所
7,63000,萬華區,3501196017,君綺時尚診所
8,63000,南港區,3501122106,麗馨診所
9,63000,南港區,3501122188,荃威診所
10,63000,南港區,3501122160,稚顏美學診所
11,63000,南港區,3501122222,南港美麗爾診所
12,63000,信義區,3501175385,栢麗恆全人診所
13,63000,信義區,3501175303,安珀琢玉醫美診所
14,63000,信義區,3501175723,悠美診所
15,63000,信義區,350102D993,緻妍國際醫學美容診所
16,63000,信義區,3501174726,飛悅皮膚科診所
17,63000,信義區,3501174511,君綺信義診所
18,63000,信義區,3501175527,忠孝英爵診所
19,63000,信義區,3501175509,耐斯信義診所
20,63000,信義區,3501174262,瑞妮絲醫美診所
21,63000,信義區,3501175394,依心唯美整形外科診所
22,63000,信義區,3501174682,市府八千代診所
23,63000,信義區,3501175563,心品診所
24,63000,信義區,3501175536,上帝視角診所
25,63000,信義區,3501174486,髮拉儷皮膚科診所
26,63000,信義區,3501175143,髮拉儷美學植髮診所
27,63000,信義區,3501173863,101時尚診所
28,63000,信義區,3501175714,儷寶得信義皮膚科診所
29,63000,信義區,3501175778,靚顏維格診所
30,63000,信義區,3501175205,米妮診所
31,63000,信義區,3501175116,美麗境界診所
32,63000,信義區,3501175170,東之美診所
33,63000,信義區,3501175189,采醫緻麗整形外科診所
34,63000,信義區,3501175554,美麗馨診所
35,63000,信義區,3501175625,信義霍普金斯診所
36,63000,松山區,3501011340,傅眼科診所
37,63000,松山區,3501012794,京華皮膚科診所
38,63000,松山區,3501015302,瑞麗嘉健康美學慶中診所
39,63000,松山區,3501012838,閎新耳鼻喉科皮膚科聯合診所
40,63000,松山區,3501015446,立健美診所
41,63000,松山區,3501013602,李士虹皮膚科診所
42,63000,松山區,3501015437,安德森整形外科
43,63000,松山區,3501014805,達邱特診所
44,63000,松山區,3501013193,美麗優品時尚診所
45,63000,松山區,3501015268,依定美時尚診所
46,63000,松山區,3501012712,趙彥宇邱慧嫻皮膚科聯合診所
47,63000,松山區,3501014565,新心診所
48,63000,松山區,3501015428,佳利安診所
