統編,公司名稱,公司地址,ADDR_X,ADDR_Y
00026167,英捷智能股份有限公司,114臺北市內湖區新湖三路268號5樓,308619,2773194
00026764,築想投資股份有限公司,114臺北市內湖區新湖一路218號1樓,308629,2772723
00032652,千妥投資股份有限公司,114臺北市內湖區行愛路140巷27號5樓,308442,2772941
00036284,築新投資股份有限公司,114臺北市內湖區新湖一路218號1樓,308629,2772723
00037066,治園資本股份有限公司,114臺北市內湖區行善路48巷15號7樓,308063,2772298
00044279,月映畫影股份有限公司,114臺北市內湖區行善路188號4樓,308484,2772417
00073626,佳盈有限公司,114臺北市內湖區行善路48巷18號4樓之1,308046,2772200
00081077,集景堂攝影棚有限公司,114臺北市內湖區堤頂大道1段221號1樓,307875,2772451
00099626,登月智慧股份有限公司,114臺北市內湖區行善路188號4樓,308484,2772417
00147520,雲翔國際股份有限公司,114臺北市內湖區行善路58號4樓之3,308108,2772203
00199147,和旺友比股份有限公司,114臺北市內湖區行善路398號1樓,308978,2772891
00208440,善治國際股份有限公司,114臺北市內湖區新湖一路398號7樓之2,308911,2772959
00221318,新富林實業股份有限公司,114臺北市內湖區新湖一路97號3樓,308142,2772380
00227684,智百特股份有限公司,114臺北市內湖區新湖三路167號6樓,308391,2773029
01189353,雅光有限公司,114臺北市內湖區堤頂大道1段215號、215號2樓、3樓、4樓、5樓、6樓、7樓及217號、217號3樓、4樓、5樓、6樓,307879,2772426
03086001,中國電器股份有限公司,114臺北市內湖區湖元里行善路124號2樓,308240,2772346
03148409,永業進出口股份有限公司,114臺北市內湖區行愛路100號2樓,308576,2772895
03228304,和成欣業股份有限公司,114臺北市內湖區行善路398號1樓,308978,2772891
03251000,和泰興業股份有限公司,114臺北市內湖區新湖一路36巷18號1~7樓,307962,2772416
03617401,韻豐進出口股份有限公司,114臺北市內湖區行愛路100號3樓,308576,2772895
04279694,國雍營造工程股份有限公司,114臺北市內湖區新湖一路8號6樓,307957,2772373
04332797,台灣優氏企業股份有限公司,114臺北市內湖區新湖一路360號1樓,308819,2772850
04336843,美諾企業股份有限公司,114臺北市內湖區新湖二路111號7樓,308225,2772667
04363469,志伸股份有限公司,114臺北市內湖區新湖三路168號6樓,308364,2773066
04418746,大帝企業有限公司,114臺北市內湖區新湖三路189號2樓,308525,2773104
04491653,勇誼股份有限公司,114臺北市內湖區行愛路140巷28號6樓,308412,2772963
04491669,勇春股份有限公司,114臺北市內湖區行愛路140巷28號6樓,308412,2772963
04779353,欣湖天然氣股份有限公司,114臺北市內湖區新湖二路180號5樓,308548,2772918
04908201,基業生物科技股份有限公司,114臺北市內湖區行忠路60號7樓之1,308484,2773229
04980218,華泰文化事業股份有限公司,114臺北市內湖區新湖二路201號,308481,2772831
05021601,欣融汽車有限公司,114臺北市內湖區行忠路66巷19號5樓,308585,2773189
07192539,協立機械股份有限公司,114臺北市內湖區新湖二路211號,308514,2772850
07430700,大原實業股份有限公司,114臺北市內湖區行善路458號,309043.154,2773038.271
07462809,潤石建設股份有限公司,114臺北市內湖區新湖三路237號6樓,308638,2773164
07541852,德發實業股份有限公司,114臺北市內湖區行愛路77巷67號2樓,308835,2772958
07659486,瑞銘貿易股份有限公司,114臺北市內湖區行忠路28巷3號,308318,2773059
07700035,櫻圃園藝有限公司,114臺北市內湖區新湖三路28號3樓,307931,2772863
07724000,詠笙科技股份有限公司,114臺北市內湖區新湖二路221號3樓,308545,2772871
09418787,保融國際文化事業股份有限公司,114臺北市內湖區行愛路78巷28號2樓之1,308544,2772790
09468934,必九有限公司,114臺北市內湖區新湖一路143號,308198,2772409
11079904,大豐貿易股份有限公司,114臺北市內湖區新湖二路146巷33號4樓,308384,2772952
11132909,中國電子股份有限公司,114臺北市內湖區行愛路78巷25號7樓,308541,2772751
11363112,其利國貿股份有限公司,114臺北市內湖區行愛路176號5樓,308434,2773119
11471421,雷柯電子股份有限公司,114臺北市內湖區行愛路78巷25號7樓,308541,2772751
11941900,廣泰隆實業有限公司,114臺北市內湖區新湖二路236號1樓,308727,2773034
11951619,標朔股份有限公司,114臺北市內湖區行愛路78巷25號7樓,308541,2772751
11985603,聯成實業股份有限公司,114臺北市內湖區行愛路77巷26號2樓,308156,2773961
12012403,富台貿易股份有限公司,114臺北市內湖區新湖二路146巷33號,308384,2772952
12101952,台聯魚業股份有限公司,114臺北市內湖區新湖二路146巷33號4樓,308384,2772952
12115702,華經資訊企業股份有限公司,114臺北市內湖區行愛路78巷25號6樓,308541,2772751
12131111,惠普企業股份有限公司,114臺北市內湖區新湖三路167號4樓,308391,2773029
12154916,吉焮貿易有限公司,114臺北市內湖區行善路48巷18號6樓之2,308046,2772200
12157723,銀興科技股份有限公司,114臺北市內湖區行善路48巷18號2樓之1,308046,2772200
12179563,寶徠建設股份有限公司,114臺北市內湖區新湖一路303號4樓,308629,2772723
12191412,世義貿易股份有限公司,114臺北市內湖區新湖三路136號1樓,308337,2773043
12200881,瑞昇金屬工業股份有限公司,114臺北市內湖區新湖一路133號,308194,2772373
12215548,精技電腦股份有限公司,114臺北市內湖區新湖二路236號3樓,308727,2773034
12261768,台灣新光保全股份有限公司,114臺北市內湖區行愛路128號,308521,2772974
12347864,永傑實業有限公司,114臺北市內湖區新湖三路132號6樓,308303,2773023
12358067,中菲電腦股份有限公司,114臺北市內湖區行愛路151號8樓,308534,2773039
12370668,綠湖股份有限公司,114臺北市內湖區民善街83、85、87、89號7樓,308097,2772555
12371385,惠普股份有限公司,114臺北市內湖區新湖一路8號5樓,307957,2772373
12375024,統嘉工程股份有限公司,114臺北市內湖區新湖三路167號4樓,308391,2773029
12401698,增你強股份有限公司,114臺北市內湖區新湖二路250巷8號,308773,2773087
12402015,新各界企業有限公司,114臺北市內湖區行愛路172號,308444,2773103
12413884,正雍有限公司,114臺北市內湖區行愛路77巷69號7樓,308845,2772967
12413907,益人股份有限公司,114臺北市內湖區行愛路77巷61號7樓,308807,2772936
12472927,大豐資訊股份有限公司,114臺北市內湖區新湖二路146巷33號3樓,308384,2772952
12484276,翔協室內裝修股份有限公司,114臺北市內湖區新湖三路191號2樓,308554,2773121
12501275,通鴻開發貿易有限公司,114臺北市內湖區行愛路77巷57號4樓,308786,2772922
12508875,振利有限公司,114臺北市內湖區行愛路77巷61號7樓,308807,2772936
12515221,祥勝股份有限公司,114臺北市內湖區行愛路77巷63號7樓,308816,2772942
12609923,億客科技股份有限公司,114臺北市內湖區行善路56號3樓之3,308103,2772200
12654320,力達興企業有限公司,114臺北市內湖區行愛路53號6樓,308695,2772783
12664093,新誼整合科技股份有限公司,114臺北市內湖區新湖二路128號3樓,308400,2772824
12667649,誼德股份有限公司,114臺北市內湖區行愛路140巷28號6樓,308412,2772963
12667710,樂德智慧科技股份有限公司,114臺北市內湖區堤頂大道1段327號3樓,307812,2772790
12669870,威昱貿易股份有限公司,114臺北市內湖區堤頂大道1段33號1樓,307911,2772240
12675508,博克科技股份有限公司,114臺北市內湖區新湖二路162號4樓之1,308481,2772876
12682135,騏優企業股份有限公司,114臺北市內湖區新湖二路128號2樓,308400,2772824
12683768,鴻利全球股份有限公司,114臺北市內湖區新湖三路23號5樓,307931,2772788
12686343,優沙事業股份有限公司,114臺北市內湖區堤頂大道1段215號3樓,307879,2772426
12690037,勖昇科技股份有限公司,114臺北市內湖區新湖一路133號,308194,2772373
12692443,中電國際照明股份有限公司,114臺北市內湖區新湖三路191號3樓,308554,2773121
12698517,金泰欣股份有限公司,114臺北市內湖區行愛路140巷28號6樓,308412,2772963
12743230,崴海衛國際股份有限公司,114臺北市內湖區新湖一路151號3樓,308249,2772392
12745949,欣潔坊股份有限公司,114臺北市內湖區行愛路78巷28號6樓之3,308544,2772790
12756109,品智生活科技股份有限公司,114臺北市內湖區行忠路42號5樓,308291,2773138
12760595,台灣宏利股份有限公司,114臺北市內湖區新湖三路126號3樓,308285,2773014
12832710,冠淳科技股份有限公司,114臺北市內湖區新湖三路189號7樓,308525,2773104
12862208,欣茂達科技股份有限公司,114臺北市內湖區行善路58號4樓之2,308108,2772203
12863712,彩普科技股份有限公司,114臺北市內湖區行愛路141巷32號,308620,2773083
12870447,瑞砡國際企業有限公司,114臺北市內湖區新湖二路164號5樓,308487,2772879
12876110,兆徠科技股份有限公司,114臺北市內湖區行愛路77巷69號2樓,308845,2772967
12894237,華生飲水生技股份有限公司,114臺北市內湖區行忠路66巷2號1樓,308527,2773239
12929833,競殿投資股份有限公司,114臺北市內湖區新湖二路181號2樓,308435,2772794
12946045,采記股份有限公司,114臺北市內湖區新湖三路23號5樓,307931,2772788
12973020,研想科技股份有限公司,114臺北市內湖區行愛路140巷25號7樓,308454,2772948
12973725,國裕生活股份有限公司,114臺北市內湖區舊宗路1段319號,308140,2773047
12976407,集宇企業股份有限公司,114臺北市內湖區新湖二路191巷17號,308502,2772779
12978469,普達國際企業有限公司,114臺北市內湖區行愛路51號4樓,308700,2772778
