序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,亮晴皮膚專科診所,100,臺北市中正區汀州路2段185號,
3,古亭光澤診所,100,臺北市中正區羅斯福路2段116號、116號2樓、116號2樓之1,02-23686181
4,祈約美醫皮膚科診所,100,臺北市中正區濟南路2段17號4樓,033-221-778
5,米蘭時尚診所,100,臺北市中正區忠孝東路1段43號、45號、45號2樓之1、45號2樓之2、45號2樓之3、45號2樓之5、47號、47之1號、45號10樓之1、45號10樓之2,023-222-298
6,星采皮膚專科診所,100,臺北市中正區羅斯福路一段32號2樓,02-23671789
7,羅綺皮膚科診所,100,臺北市中正區濟南路一段7號4樓,02-23952602
8,郵政醫院（委託中英醫療社團法人經營）,100,臺北市中正區福州街14號,02-23956755
9,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
10,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
11,志勛皮膚科診所,103,臺北市大同區重慶北路二段2、4號(實際營業地址:1、2及3樓),025-522-717
12,南西維格皮膚科診所,103,臺北市大同區南京西路22號3樓之1、3樓之2,025-555-575
13,林仲皮膚科診所,103,臺北市大同區延平北路2段20號,02-25525138
14,台北聖仁皮膚科診所,103,臺北市大同區南京西路71號2樓,025-558-688
15,周皮膚科診所,103,臺北市大同區延平北路一段二十六號,025-583-143
16,蔡皮膚科診所,103,臺北市大同區重慶北路二段１１５號,0225-575-287
17,大直光澤診所,104,臺北市中山區敬業二路88號(1樓),02-77093675
18,美上美皮膚科診所,104,臺北市中山區南京東路1段96、98號1樓,02-25221098
19,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,0225-433-535
20,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,104,臺北市中山區中山北路2段92號,02-25433535
21,賦真妍皮膚專科診所,104,臺北市中山區八德路2段315號(1樓及2樓)、317號(1樓及2樓)、319號(1樓及2樓),02-27771589
22,雅苑明萃皮膚科診所,104,臺北市中山區民權東路3段72號(1樓、2樓),025-077-500
23,越診所,104,臺北市中山區南京東路2段37號(1樓、2樓)、39號(1樓、2樓)、41巷2號(1樓、2樓)、6號(1樓、2樓)、8號(1樓、2樓)、8之1號(1樓、2樓),02-25412525
24,澤林毛髮診所,104,臺北市中山區長安東路二段78號6樓,02-25081059
25,杰膚美診所,104,臺北市中山區復興北路50號2樓,02-87726625
26,美無極美學診所,104,臺北市中山區樂群二路103號、105號,085-020-875
27,群英楊麗珍黃景昱皮膚科診所,104,臺北市中山區南京東路一段36號3樓,02-25678895
28,京硯皮膚科診所,104,臺北市中山區長春路210號1樓、212號(1樓)、212之1號(1樓)、212之2號(1樓),2503-1076
29,英爵醫美診所,104,臺北市中山區敬業三路153號及155號,085-027-286
30,民生承安診所,104,臺北市中山區民生東路3段90號1樓、2樓,02-25032633
31,王俊民皮膚科診所,104,臺北市中山區松江路一二七之一號三樓,025-091-982
32,蔡仁雨皮膚科診所,104,臺北市中山區南京東路三段１１８號３樓,025-165-661
33,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,025-337-777
34,美佳皮膚科診所,105,臺北市松山區八德路三段１６４號２樓,02 25795774
35,閎新耳鼻喉科皮膚科聯合診所,105,臺北市松山區八德路三段20之2號,025-779-898
36,王貞乃皮膚科診所,105,臺北市松山區民生東路四段80巷6弄7號,2547-5127
37,趙彥宇邱慧嫻皮膚科聯合診所,105,臺北市松山區慶城街8之1號3樓及8號3樓,025-454-035
38,京華皮膚科診所,105,臺北市松山區八德路三段238號,2570-1068
39,南京安澐診所,105,臺北市松山區健康路303號(1樓),02-27667800
40,書妍診所,105,臺北市松山區南京東路5段221號(2樓)、223號2樓,2742-2899
41,尚安診所,105,臺北市松山區復興北路331號4樓,025-185-210
42,立悅皮膚科診所,105,臺北市松山區南京東路五段46號4樓,(02)2528-2160
43,泛亞皮膚科整形外科診所,105,臺北市松山區復興北路35號4樓,027-529-999
44,李士虹皮膚科診所,105,臺北市松山區民權東路3段136號3樓之1,025-454-546
45,雷湘安皮膚科診所,105,臺北市松山區三民路43巷1號,0227-660-953
46,長庚醫療財團法人台北長庚紀念醫院,105,臺北市松山區敦化北路199號(暫未開放)、197號(暫未開放)、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓。,0227-135-211
47,基督復臨安息日會醫療財團法人臺安醫院,105,"臺北市松山區八德路二段424,426號",0227-718-151
48,三軍總醫院松山分院附設民眾診療服務處,105,臺北市松山區健康路１３１號,0227-462-151
49,英爵聯合診所,105,臺北市松山區南京東路3段331號2樓,0227-131-808
50,博仁綜合醫院,105,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,0225-786-677
51,國立臺灣大學醫學院附設醫院癌醫中心分院,106,臺北市大安區基隆路 3段155巷57號,02-23220322
52,中山醫療社團法人中山醫院,106,臺北市大安區仁愛路四段112巷11號、12號、13弄6、8號1樓,02-27081166
53,國泰醫療財團法人國泰綜合醫院,106,臺北市大安區仁愛路四段266巷6號，280號,0227-082-121
54,秀傳醫院,106,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,027-717-172
55,黃禎憲皮膚科診所,106,臺北市大安區師大路７1號2樓及７7號,0223-681-919
56,啟誠聯合診所,106,臺北市大安區和平東路二段120號1樓、2樓、3樓、4樓,0223-784-380
57,黃崇禮皮膚科診所,106,臺北市大安區信義路三段192-1號3樓,027-053-055
58,綺顏診所,106,臺北市大安區仁愛路四段一0九號二樓B室,027-773-636
59,游鴻儒皮膚科診所,106,臺北市大安區仁愛路四段一五一巷三六號二樓,087-719-911
60,華漾皮膚專科診所,106,臺北市大安區金華街二四九號,033-222-211
61,鍾啟榮皮膚科診所,106,臺北市大安區敦化南路一段二OO號三樓之一,027-716-767
62,曾皮膚科診所,106,臺北市大安區信義路二段三十八號一樓,033-222-386
63,極緻皮膚專科診所,106,臺北市大安區忠孝東路四段49巷2號7樓,027-500-066
64,尚行美皮膚專科診所,106,臺北市大安區光復南路288號2樓之5、4樓之3,02-27512066
65,輕鬆美膚皮膚科診所,106,臺北市大安區羅斯福路3段301號3樓,023-682-223
66,捷靚皮膚專科診所,106,臺北市大安區信義路4段45號3樓之3,027-076-606
67,雅丰美膚診所,106,臺北市大安區忠孝東路4段221號5樓,02-87735306
68,王修含皮膚科診所,106,臺北市大安區忠孝東路四段333號4樓,027-812-100
69,信義英爵醫美診所,106,臺北市大安區信義路四段206號、208號2樓、210號2樓,02-27030181
70,延吉美皮膚專科診所,106,臺北市大安區忠孝東路四段250號3樓之1、3樓之2,02-87718906
71,願麗醫美診所,106,臺北市大安區仁愛路4段33號2樓之1,027-311-732
72,台生診所,106,臺北市大安區忠孝東路4段341號8樓之2,2711-2217
73,台北生髮診所,106,臺北市大安區忠孝東路4段77巷15號2樓、大安路1段75巷21號2樓,02-27787000
74,聖緹雅醫美皮膚科診所,106,臺北市大安區仁愛路四段107號13樓,027-755-680
75,琢禾美學診所,106,臺北市大安區新生南路2段2號7樓,023-218-188
76,木木日安皮膚專科診所,106,臺北市大安區復興南路1段81號1樓、79巷2號2樓之3及79巷4弄2號地下1層之37,027-787-178
77,大安皮膚專科診所,106,臺北市大安區新生南路2段8之1號2樓,02-23581115
78,安瑟美皮膚科診所,106,臺北市大安區安和路1段113號2樓,(02)7709-9396
79,聖緹雅美學診所,106,臺北市大安區仁愛路4段107號6樓,2751-0188
80,木木日安醫學美容診所,106,臺北市大安區敦化南路1段138之1號(1樓、2樓),027-787-178
81,澤之肌皮膚專科診所,106,臺北市大安區信義路4段109之1號1樓、2樓,02-2701-1827
82,凝境美學診所,106,臺北市大安區復興南路1段263號2樓、265號1樓、2樓,02-2784-9789
83,己研皮膚專科診所,106,臺北市大安區羅斯福路2段113號(1、2樓),02-23656005
84,安合癒境美學健康診所,106,臺北市大安區信義路4段251號10樓、255號10樓,02-27087666
85,尹書田醫療財團法人書田泌尿科眼科診所,106,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,023-690-211
86,西園醫療社團法人西園醫院,108,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,02-23329888
87,蔣富強皮膚專科診所,108,臺北市萬華區萬大路264號、264號2樓,023-053-232
88,黃健勇皮膚科診所,108,臺北市萬華區成都路97號(實際營業地址:1、2樓),02-23115488
89,財團法人台灣省私立台北仁濟院附設仁濟醫院,108,臺北市萬華區廣州街２００，２４３號,0223-021-131
90,忠孝英爵診所,110,臺北市信義區忠孝東路4段563號2樓,2731-2310
91,髮拉儷皮膚科診所,110,臺北市信義區忠孝東路五段139號4樓,02-27565558.0956117070
92,臺北醫學大學附設醫院,110,臺北市信義區吳興街２５2號、250號,0227-372-181
93,髮拉儷美學植髮診所,110,臺北市信義區忠孝東路五段139號3樓,027-565-559
94,儷寶得信義皮膚科診所,110,臺北市信義區忠孝東路5段15巷15號1樓,0287-872-112
95,愛利膚皮膚科診所,110,臺北市信義區莊敬路366號,027-584-568
96,美麗信義皮膚科診所,110,臺北市信義區忠孝東路5段145號1樓,027-672-272
97,儷寶得國際皮膚科診所,110,臺北市信義區忠孝東路5段238號1樓、238之1號(1樓)、238之2號(1樓),8787-2112
98,飛悅皮膚科診所,110,臺北市信義區忠孝東路5段508號1樓、508號地下一樓、508號13樓之1,0937-067-467
99,黃正麟皮膚科診所,110,臺北市信義區忠孝東路五段４７０號２樓,0223-450-957
100,陳國泰皮膚科診所,110,臺北市信義區松山路２２４號１樓,0227-667-725
101,得恩皮膚專科診所,111,臺北市士林區中山北路5段711號(1樓),02-24260985
102,雙林皮膚科診所,111,臺北市士林區社子街28號,028-111-116
103,楊是韻皮膚科診所,111,臺北市士林區中山北路六段298號１樓,028-359-777
104,榮庚皮膚科診所,111,臺北市士林區中正路210之1號1樓,0228-342-633
105,羅氏皮膚科診所,111,臺北市士林區中山北路七段１４巷２號２樓,0228-743-222
106,蘇惠珍皮膚專科診所,111,臺北市士林區忠義街８３號,0228-383-090
107,杏美皮膚科診所,111,臺北市士林區天母西路４０之１號２樓,0228-715-431
108,新光醫療財團法人新光吳火獅紀念醫院,111,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,0228-332-211
109,天母皮膚科診所,111,臺北市士林區德行東路90巷33弄10號1樓,028-326-601
110,仁友皮膚科診所,111,臺北市士林區美德街22之1號1樓,02-28816131
111,一七美生活診所,111,臺北市士林區中山北路6段17號(1樓、2樓),02-28386767
112,淨美皮膚科診所,111,臺北市士林區文林路317號(實際使用:1、2樓),028-816-099
113,林志聰皮膚科診所,111,臺北市士林區文昌路26號,028-327-989
114,洪志淳皮膚科診所,112,臺北市北投區中央南路一段185號1樓,028-940-110
115,芯悅皮膚科診所,112,臺北市北投區石牌路1段57號(1、2樓),02-28276618
116,李承鴻皮膚科診所,112,臺北市北投區西安街1段187號1樓、189號1樓、2樓、2樓之1,02-28229885
117,臺北榮民總醫院,112,臺北市北投區石牌路二段201號、322號,0228-712-121
118,紀皮膚科診所,112,臺北市北投區石牌路2段55號2樓.57號.57號2樓,2821448528-224-840
119,劉明真皮膚科診所,112,臺北市北投區石牌路二段116號2樓,028-224-735
120,心樂是診所,112,臺北市北投區致遠一路2段105號1樓,02-28210261
121,振興醫療財團法人振興醫院,112,臺北市北投區振興街４５號,0228-264-400
122,揚名皮膚科診所,112,臺北市北投區中央北路二段六六號,02-28910315
123,邱耳鼻喉科診所,112,臺北市北投區石牌路一段二十三號一、二樓,0228-279-222
124,美麗新卓玉麗皮膚科診所,112,臺北市北投區東華街一段52號1樓，58號1樓,028-262-838
125,黃郁琳皮膚科診所,112,臺北市北投區中央北路1段42號,02-28911578
126,內湖容光皮膚專科診所,114,臺北市內湖區康寧路3段8號(1、2樓),026-305-538
127,晴渼皮膚專科診所,114,臺北市內湖區內湖路1段667巷3號1樓及5號1樓,
128,國泰醫療財團法人內湖國泰診所,114,臺北市內湖區瑞光路337號(1、2、3、4樓),02-87972121
129,成功皮膚科診所,114,臺北市內湖區成功路3段162之1號1樓、164號1樓、164之1號1樓、166之1號1樓,027-940-064
130,東湖皮膚專科診所,114,臺北市內湖區東湖路153號,026-305-270
131,湖光皮膚專科診所,114,臺北市內湖區成功路4段59之1號3樓,087-917-202
132,麗心診所,114,臺北市內湖區成功路四段2號3樓、6號3樓,02-27944939
133,汎美皮膚科診所,114,臺北市內湖區東湖路4號1樓,027-920-075
134,達美皮膚專科診所,114,臺北市內湖區成功路四段２２０號１樓至2樓,0227-920-218
135,三軍總醫院附設民眾診療服務處,114,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,
136,辰星皮膚專科診所,114,臺北市內湖區內湖路1段633號1樓及635號1樓,02-27995090
137,優勢皮膚科診所,115,臺北市南港區玉成街140巷11弄2號,026-546-681
138,琢璞診所,115,臺北市南港區重陽路275號1樓,077-557-071
139,隆美皮膚科診所,115,臺北市南港區忠孝東路七段6２1號,0227-880-391
140,夏安皮膚專科診所,116,臺北市文山區興隆路3段26號(1樓、2樓),02-86638099
141,佳鴻診所,116,臺北市文山區羅斯福路6段256號1樓,02-29333096
142,治玉皮膚美學診所,116,臺北市文山區興隆路3段76號3樓,0978-142-711
143,邱成湦皮膚專科診所,116,臺北市文山區興隆路4段163號(1樓及夾層)、163之1號(1樓及夾層),029-382-288
144,黃皮膚科診所,116,臺北市文山區興隆路三段７９巷５號１及２樓,0229-349-151
145,漂亮101皮膚科診所,116,臺北市文山區景美街20號2樓,029-329-549
