編號,醫院名稱,縣市別代碼,指定效期,地址
1,長庚醫療財團法人基隆長庚紀念醫院,10017,至113年12月31日,基隆市安樂區麥金路222號
2,衛生福利部基隆醫院,10017,至114年06月30日,基隆市信義區信二路268號
3,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000,至115年12月31日,台北市中山區中山北路二段92號
4,臺北市立聯合醫院－陽明院區,63000,至116年6月30日,台北市士林區雨聲街105號
5,臺北市立聯合醫院－忠孝院區,63000,至116年6月30日,台北市南港區同德路87號
6,臺北市立聯合醫院－仁愛院區,63000,至116年6月30日,台北市大安區仁愛路四段10號
7,臺北市立聯合醫院－和平婦幼院區 (和平),63000,至116年6月30日,台北市中正區福州街12號
8,基督復臨安息日會醫療財團法人臺安醫院（註：該院未提供移工健檢服務）,63000,至113年12月31日,台北市松山區八德路二段424號
9,三軍總醫院松山分院附設民眾診療服務處,63000,至115年12月31日,台北市松山區健康路131號
10,臺北市立聯合醫院－中興院區,63000,至116年6月30日,台北市大同區鄭州路145號
11,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,65000,至114年6月30日,台北市中山區中山北路二段92號
12,衛生福利部臺北醫院,65000,至114年12月31日,新北巿新莊區思源路127號
13,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,65000,至116年6月30日,新北市板橋區南雅南路二段21號
14,天主教耕莘醫療財團法人耕莘醫院（新店總院）,65000,至116年6月30日,新北市新店區中正路362號
15,衛生福利部雙和醫院,65000,至114年6月30日,新北市中和區中正路291號
16,衛生福利部樂生療養院,65000,至115年12月31日,有問題
17,長庚醫療財團法人林口長庚紀念醫院,68000,至115年12月31日,桃園市龜山區復興街5號
18,衛生福利部桃園醫院,68000,至115年12月31日,桃園市桃園區中山路1492號
19,國軍桃園總醫院附設民眾診療服務處,68000,至116年6月30日,桃園市龍潭區中興路168號
20,敏盛綜合醫院（三民院區）,68000,至115年12月31日,桃園市桃園區三民路三段106號
21,臺北榮民總醫院桃園分院,68000,至114年6月30日,桃園市桃園區成功路三段100號
22,聯新國際醫院,68000,至115年12月31日,桃園市平鎮區廣泰路77號
23,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,68000,至114年6月30日,桃園市桃園區建新街123號
24,天成醫療社團法人天晟醫院,68000,至115年12月31日,桃園市中壢區延平路155號
25,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,10018,至115年12月31日,新竹市北區經國路一段442巷25號
26,衛生福利部苗栗醫院,10005,至113年12月31日,苗栗縣苗栗市為公路747號
27,為恭醫療財團法人為恭紀念醫院,10005,至116年6月30日,苗栗縣頭份市信義路128號
28,臺中榮民總醫院,10019,至116年6月30日,台中市西屯區台灣大道四段1650號
29,中國醫藥大學附設醫院,10019,至116年6月30日,台中市北區育德路2號
30,衛生福利部臺中醫院,10019,至115年12月31日,台中市西區三民路一段199號
31,佛教慈濟醫療財團法人台中慈濟醫院,10019,?至115年12月31日,台中市潭子區豐興路一段88號
32,衛生福利部豐原醫院,10019,至115年12月31日,台中市豐原區安康路100號
33,光田醫療社團法人光田綜合醫院（沙鹿總院）,10019,至116年6月30日,台中市沙鹿區沙田路117號
34,童綜合醫療社團法人童綜合醫院（梧棲院區）,10019,至115年12月31日,台中市梧棲區台灣大道八段699號
35,李綜合醫療社團法人大甲李綜合醫院,10019,至114年12月31日,台中市大甲區八德街2號
36,仁愛醫療財團法人大里仁愛醫院,10019,至116年6月30日,台中市大里區東榮路483號
37,彰化基督教醫療財團法人彰化基督教醫院（彰化總院）,10007,至115年12月31日,彰化縣彰化市南校街135號
38,秀傳醫療社團法人秀傳紀念醫院（彰化市）,10007,至116年6月30日,彰化縣彰化市中山路一段542號
39,衛生福利部彰化醫院,10007,至115年12月31日,彰化縣埔心鄉中正路二段80號
40,秀傳醫療財團法人彰濱秀傳紀念醫院,10007,至113年12月31日,彰化縣鹿港鎮鹿工路6號
41,埔基醫療財團法人埔里基督教醫院,10008,至116年12月31日,南投縣埔里鎮鐵山路1號
42,國立臺灣大學醫學院附設醫院雲林分院（斗六院區）,10009,至113年12月31日,雲林縣斗六市雲林路二段579號
43,戴德森醫療財團法人嘉義基督教醫院,10020,至115年12月31日,嘉義市東區忠孝路539號
44,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,10020,至115年12月31日,嘉義市東區大雅路二段565號
45,佛教慈濟醫療財團法人大林慈濟醫院,10010,至116年6月30日,嘉義縣大林鎮民生路2號
46,長庚醫療財團法人嘉義長庚紀念醫院,10010,至113年12月31日,嘉義縣朴子市嘉朴路西段8號
47,國立成功大學醫學院附設醫院,10021,至114年6月30日,台南市北區勝利路138號
48,衛生福利部臺南醫院,10021,至113年12月31日,台南市中西區中山路125號
49,台南市立醫院,10021,至116年6月30日,台南市東區崇德路670號
50,台灣基督長老教會新樓醫療財團法人台南新樓醫院,10021,至116年6月30日,台南市東區東門路一段57號
51,郭綜合醫院,10021,至116年6月30日,台南市中西區民生路二段22號
52,奇美醫療財團法人奇美醫院（永康院區）,10021,至116年6月30日,台南市永康區中華路901號
53,高雄榮民總醫院,64000,至114年12月31日,高雄市左營區大中一路386號
54,財團法人私立高雄醫學大學附設中和紀念醫院,64000,至116年6月30日,高雄市三民區自由一路100號
55,國軍左營總醫院附設民眾診療服務處,64000,至114年6月30日,高雄市左營區軍校路553號
56,阮綜合醫療社團法人阮綜合醫院,64000,至116年6月30日,高雄市苓雅區成功一路162號
57,高雄市立小港醫院,64000,至116年6月30日,高雄市小港區山明路482號宏光街289號
58,長庚醫療財團法人高雄長庚紀念醫院,64000,至115年12月31日,高雄市鳥松區大埤路123號
59,義大醫療財團法人義大醫院,64000,至115年12月31日,高雄市燕巢區角宿里義大路1號
60,衛生福利部屏東醫院,10013,至115年12月31日,屏東縣屏東市自由路270號
61,安泰醫療社團法人安泰醫院,10013,至116年12月31日,屏東縣東港鎮中正路一段210號
62,財團法人天主教靈醫會羅東聖母醫院,10002,至116年6月30日,宜蘭縣羅東鎮中正南路160號
63,財團法人羅許基金會羅東博愛醫院,10002,至116年6月30日,宜蘭縣羅東鎮南昌街83號
64,國立陽明交通大學附設醫院,10002,至114年6月30日,宜蘭市校舍路169號
65,臺灣基督教門諾會醫療財團法人門諾醫院（花蓮本院）,10015,至115年12月31日,花蓮縣花蓮市民權路44號
66,臺北榮民總醫院玉里分院,10015,至115年12月31日,花蓮縣玉里鎮新興街91號
