序號,行政區域代碼,醫事機構名稱,醫事機構電話,醫事機構地址
1,63000050,國立臺灣大學醫學院附設醫院,02-23123456,臺北市中正區中山南路７、８號；常德街１號
2,63000050,國立臺灣大學醫學院附設醫院兒童醫院,02-23123456,臺北市中正區中山南路８號
3,63000100,三軍總醫院附設民眾診療服務處,02-87923311,臺北市內湖區成功路２段３２５號
4,63000120,臺北榮民總醫院,02-28712121,臺北市北投區石牌路２段２０１號
5,63000010,長庚醫療財團法人台北長庚紀念醫院,02-27135211,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路
6,63000030,國泰醫療財團法人國泰綜合醫院,02-27082121,臺北市大安區仁愛路４段２８０號，２６６巷６號
7,63000040,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,02-25433535,臺北市中山區中山北路２段９２號
8,63000110,新光醫療財團法人新光吳火獅紀念醫院,02-28332211,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號
9,63000080,臺北市立萬芳醫院－委託臺北醫學大學辦理,02-29307930,臺北市文山區興隆路３段１１１號
10,63000060,臺北市立聯合醫院,02-25553000,臺北市大同區鄭州路１４５號（代表）
11,63000010,三軍總醫院松山分院附設民眾診療服務處,02-27642151,臺北市松山區健康路１３１號
12,63000120,三軍總醫院北投分院附設民眾診療服務處,02-28959808,臺北市北投區新民路６０號、中和街２５０號１至４樓
13,63000010,基督復臨安息日會醫療財團法人臺安醫院,02-27718151,臺北市松山區八德路２段４２４、４２６號
14,63000120,振興醫療財團法人振興醫院,02-28264400,臺北市北投區振興街４５號
15,63000120,醫療財團法人辜公亮基金會和信治癌中心醫院,02-66030576,臺北市北投區立德路１２５號
16,63000020,臺北醫學大學附設醫院,02-27372181,臺北市信義區吳興街２５２號、２５０號
17,63000070,國立臺灣大學醫學院附設醫院北護分院,02-23717101,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號
18,63000120,臺北市立關渡醫院-委託臺北榮民總醫院經營,02-28587000,臺北市北投區知行路２２５巷１２號
19,63000030,中山醫療社團法人中山醫院,02-27081166,臺北市大安區仁愛路４段１１２巷１１號、１２號
20,63000070,西園醫療社團法人西園醫院,02-23076968,臺北市萬華區西園路２段２６６～２７４號、１８５、１８７號
21,63000030,中心診所醫療財團法人中心綜合醫院,02-27510221,臺北市大安區忠孝東路４段７７號
22,63000030,宏恩醫療財團法人宏恩綜合醫院,02-27713161,臺北市大安區仁愛路４段７１巷１號及４段６１號、９１巷１６號
23,63000100,康寧醫療財團法人康寧醫院,02-26345500,臺北市內湖區成功路５段４２０巷２６號
24,63000100,中國醫藥大學附設醫院臺北分院,02-27919696,臺北市內湖區內湖路２段３６０號
25,63000070,財團法人台灣省私立台北仁濟院附設仁濟醫院,02-23021133,臺北市萬華區廣州街２００、２４３號
26,63000070,同仁院醫療財團法人萬華醫院,02-23059292,臺北市萬華區中華路２段６０６巷６號
27,63000010,博仁綜合醫院,02-25786677,臺北市松山區光復北路６６、６８號
28,63000080,景美醫院,02-29331010,臺北市文山區羅斯福路６段２８０號及文山區育英街１８巷２號１樓
29,63000030,臺北市立聯合醫院附設大安門診部,02-27390997,臺北市大安區辛亥路３段１５號
30,63000060,臺北市立聯合醫院附設大同門診部,02-25948971,臺北市大同區昌吉街５２號１至２樓
31,63000100,臺北市立聯合醫院附設內湖門診部,02-27908387,臺北市內湖區民權東路６段９９號之１
32,63000090,臺北市立聯合醫院附設南港門診部,02-27868756,臺北市南港區南港路１段３６０號１樓
33,63000120,臺北市立聯合醫院附設北投門診部,02-28912670,臺北市北投區新市街３０號５樓
34,63000020,臺北市立聯合醫院附設信義門診部,02-87804152,臺北市信義區大道路１１６號１樓、２樓
35,63000080,臺北市立聯合醫院附設政大門診部,02-82377441,臺北市文山區指南路２段１１７號
36,63000050,國軍台北門診中心附設民眾診療服務處,02-23918235,臺北市中正區紹興南街７號
37,63000020,臺北市政府醫務室,02-27205389,臺北市信義區市府路１號（１樓東區）
38,63000020,聯合報系員工診療所,02-27601618,臺北市信義區忠孝東路４段５５９巷１號６樓
39,63000010,康明哲小兒科內科診所,02-27675941,臺北市松山區三民路１３６巷１５號
