機構名稱,地址,行政區代碼,電話,傳真
臺北市私立自立社區學園,臺北市士林區德行西路93巷7號地下一樓之1,63000110,(02)28358805,(02)28375355
臺北市大同發展中心(兼辦早療服務),臺北市大同區昌吉街52號6-7樓,63000060,(02)25986886,(02)25986856
臺北市博愛發展中心,臺北市中山區敬業三路160號,63000040,(02)85096395,(02)85096962
臺北市私立陽光重建中心,臺北市中山區南京東路三段91號3樓,63000040,(02)25078006,(02)25061073
臺北市私立心路兒童發展中心(兼辦早療服務),臺北市中山區復興北路232號,63000040,(02)25080635,(02)25080639
臺北市城中發展中心,臺北市中正區汀州路二段172號,63000050,(02)23643036,(02)23643040
臺北市南海發展中心,臺北市中正區延平南路207號1-2樓,63000050,(02)23113946,(02)23110348
臺北市私立婦幼家園(兼辦早療服務),臺北市內湖區民權東路六段180巷42弄6號,63000100,(02)87925072,(02)87924583
臺北市萬芳啟能中心,臺北市文山區萬美街一段51號1樓,63000080,(02)22395646,(02)22392468
臺北市萬芳發展中心(兼辦早療服務),臺北市文山區萬美街一段55號2樓,63000080,(02)22396217,(02)22396170
臺北市永明發展中心(兼辦早療服務),臺北市北投區石牌路二段115號4-6樓,63000120,(02)28283051,(02)28283054
臺北市私立至德聽語中心(提供早療服務),臺北市中正區中華路一段77號3樓,63000050,(02)28201825,(02)28201826
臺北市私立育成裕民發展中心,臺北市北投區裕民一路41巷2弄18號,63000120,(02)28218468,(02)28210544
臺北市慈祐發展中心,臺北市松山區八德路四段688號3-4樓,63000010,(02)27421213,(02)27420906
臺北市恆愛發展中心,臺北市信義區松隆路36號6樓,63000020,(02)27634210,(02)27634219
臺北市私立第一兒童發展中心(兼辦早療服務),臺北市信義區信義路五段150巷316號1樓,63000020,(02)27294304,(02)27580220
臺北市私立育仁兒童發展中心(兼辦早療服務),臺北市萬華區萬大路387巷15號,63000070,(02)23078393,(02)23078917
臺北市私立育仁啟能中心,臺北市萬華區柳州街41號4樓,63000070,(02)23821090,(02)23143303
臺北市稻香發展中心,臺北市北投區稻香路81號2樓,63000120,0917109770,(02)28986437
臺北市東湖發展中心,臺北市內湖區東湖路1號4-5樓,63000100,(02)26315530,
財團法人天使心家族社會福利基金會申請附設台北市私立愛奇兒家庭發展中心,臺北市文山區忠順街二段129號2-3樓,63000080,(02)27181165,
臺北市廣愛家園,臺北市信義區大道路116之2號1樓及大道路116號6樓之1,63000020,(02)27834236,(02)27834925
