SEQNO,Year,name,type,business item,contact,address,telephone
1,115,財團法人心路社會福利基金會,綜合障別,職業重建服務,"劉雪蓉
陳仕閎",臺北市文山區萬和街8號1樓,2239-5319轉210、212
2,115,財團法人伊甸社會福利基金會,綜合障別,職業重建服務,"王珮君
邱智鈴",臺北市南港區忠孝東路6段85號3樓,2788-2656
3,115,財團法人第一社會福利基金會,綜合障別,職業重建服務,"郭黛琳
鄭發仁",臺北市信義區信義路5段150巷316號7樓,2722-1736
4,115,社團法人台北市視障生活品質福利促進會,綜合障別,職業重建服務,"劉正凱
洪建銘",臺北市萬華區萬大路424巷112之7號1樓,2558-7370
5,115,台北市康復之友協會,綜合障別,職業重建服務,"李冠儀
蔡青妤",臺北市松山區八德路4段604號2樓之6,2765-2947轉242、243
6,115,財團法人中華民國唐氏症基金會,綜合障別,職業重建服務,"鄭雅婷
蔡明利",臺北市大同區昌吉街110巷8號1樓,2595-1918
7,115,中華民國腦性麻痺協會,綜合障別,職業重建服務,"蕭鎮祥
劉于綺",臺北市中山區民生東路1段42號5樓之5,2898-5509
8,115,財團法人育成社會福利基金會,綜合障別,職業重建服務,"王彤庠
謝嫻",臺北市大安區建國南路1段175巷31號1樓,8773-8327轉18、20
9,115,財團法人喜憨兒社會福利基金會,綜合障別,職業重建服務,"蕭子溱
林揚",臺北市中山區長安東路2段169之12號13樓之1,2720-2371轉16、23
10,115,社團法人台北市視障者家長協會,綜合障別,職業重建服務,"鄭智全
陳昱蕙",臺北市松山區敦化北路155巷76號1樓,2514-9903
11,115,社團法人臺灣職能治療學會,綜合障別,職業輔導評量服務,林小姐,臺北市中正區忠孝東路2段122號11樓之2,(02)2391-1006
12,115,臺北醫學大學,綜合障別,職務再設計,吳小姐,臺北市信義區吳興街250號(創新創業教育中心),2736-1661分機27747
13,115,財團法人伊甸社會福利基金會附設台北市私立恩望身心障礙者人力資源服務中心,綜合障別,立案之就業服務機構,邱千祝,臺北市南港區忠孝東路6段85號3樓,27882656
14,115,財團法人心路社會福利基金會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,劉雪蓉,臺北市文山區萬和街8號,22395319
15,115,財團法人育成社會福利基金會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,王彤庠,臺北市大安區建國南路1段175巷31號1樓,87738327
16,115,財團法人第一社會福利基金會附設第一身心障礙者就業服務中心,綜合障別,立案之就業服務機構,鄭先生,臺北市信義路5段150巷316號7樓,2722-1736
17,115,社團法人台北市康復之友協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,楊元彰,臺北市松山區八德路4段604號2樓之6,27652810
18,115,財團法人中華民國唐氏症基金會附設麟光身心障礙者就業服務中心,綜合障別,立案之就業服務機構,曹小姐,臺北市大同區昌吉街110巷8號1樓,25951918
19,115,社團法人台北市視障者家長協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,江先生,臺北市松山區敦化北路155巷76號1樓,27177722
20,115,中華民國無障礙科技發展協會附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,潘先生,臺北市士林區文林路714巷4號1樓,77293322
21,115,新生命資訊服務股份有限公司附設身心障礙者就業服務中心,綜合障別,立案之就業服務機構,王小姐,臺北市中山區八德路2段174巷28號2樓,77137917
22,115,ENJOY臺北餐廳,綜合障別,餐飲業,陳小姐,臺北市信義區市府路1號1樓,2720-5208
