序號,機構名稱,行政區代碼,地址,電話,服務內容
1,旭康診所（早療社區公衛醫療群）,63000120,臺北市北投區石牌路1段40號,28280067,物理、職能、語言治療
2,正風復健科診所（早療社區公衛醫療群）,63000010,臺北市松山區光復北路135號1樓,27602666,職能、語言治療
3,松原復健科診所（早療社區公衛醫療群）,63000010,臺北市松山區光復北路206號1樓,87123552,職能治療
4,六安復健科診所（早療社區公衛醫療群）,63000020,臺北市信義區吳興街467巷2弄14號,27296677,物理、職能治療
5,適健復健科診所（早療社區公衛醫療群）,63000030,臺北市大安區忠孝東路4段166號8樓,87717039,職能、語言治療
6,杏誠復健診所（早療社區公衛醫療群）,63000030,臺北市大安區信義路4段173號2樓,27061732,物理、職能、語言治療
7,永誠復健科診所（早療社區公衛醫療群）,63000030,臺北市大安區復興南路2段236號2樓,27071608,物理、職能、語言治療
8,宇寧身心診所（早療社區公衛醫療群）,63000030,臺北市大安區復興南路2段6號3樓,27080706,心理治療
9,紫陽復健科診所（早療社區公衛醫療群）,63000100,臺北市內湖區文德路208巷8 號1樓,27988128,職能治療
10,祐生復健科診所（早療社區公衛醫療群）,63000100,臺北市內湖區康寧路3段39號3至5樓,26341998,職能治療
11,祐民聯合診所（早療社區公衛醫療群）,63000120,臺北市北投區中央南路1段207號 ,28951301,職能治療
12,石牌實和復健科診所（早療社區公衛醫療群）,63000120,臺北市北投區文林北路262號1樓,28273255,物理、職能、語言治療
13,合康復健科診所（早療社區公衛醫療群）,63000080,臺北市文山區興隆路4段217號1-2樓,29368421,物理、職能治療
14,文山復健科診所（早療社區公衛醫療群）,63000080,臺北市文山區興隆路3段207之4號1樓,22397887,物理、職能治療
15,永康診所（早療社區公衛醫療群）,63000070,臺北市萬華區桂林路47號,23123455,職能治療
16,瑞生診所（早療社區公衛醫療群）,63000070,臺北市萬華區西園路2段250號,23012788,職能治療
17,適安診所（早療社區公衛醫療群）,63000020,臺北市信義區信義路3段134巷2-1號1樓,27553700,物理、職能、語言治療
18,正和復健科診所（早療社區公衛醫療群）,63000060,臺北市大同區延平北路2段80、82號,25527628,職能治療
19,宜康復健科診所（早療社區公衛醫療群）,63000060,臺北市大同區民族西路124號,25851555,職能治療
20,萬隆力康復健科診所（早療社區公衛醫療群）,63000080,臺北市文山區羅斯福路5段127號2樓、129號2樓,89319799,物理、職能、語言治療
21,萌語語言治療所（早療社區公衛醫療群）,63000030,臺北市大安區信義路4段58號8樓-6,27000700,語言治療
22,內湖語言治療診所（早療社區公衛醫療群）,63000100,臺北市內湖區民權東路6段266號9樓,,語言治療
23,康健診所（早療社區公衛醫療群）,63000010,臺北市松山區延吉街11號2樓,25779682,物理、職能、語言治療
24,興安（承安）診所（早療社區公衛醫療群）,63000040,臺北市中山區民生東路3段90號,25032633,職能、語言治療
25,順康復健科診所（早療社區公衛醫療群）,63000020,臺北市信義區莊敬路364號1-2樓,23450011,職能治療
26,原力復健科診所（早療社區公衛醫療群）,63000020,臺北市信義區基隆路2段145號B1-2樓,27327091,物理、職能、語言、心理治療
27,夢飛翔物理治療所（早療社區公衛醫療群）,63000050,臺北市中正區羅斯福路1段94號2樓,23222223,物理治療
28,天母品恆復健科診所（早療社區公衛醫療群）,63000110,臺北市士林區忠誠路1段137號,,物理、職能、語言治療
29,永安診所（早療社區公衛醫療群）,63000110,臺北市士林區中山北路6段405巷63號,28735068,職能、語言治療
