類別,項次,醫療機構名稱,行政區,住址,電話,分機,112年醫院督考等第
評估中心,1,臺北市立聯合醫院中興院區兒童發展評估療育中心,63000060,臺北市大同區鄭州路 145 號,(02)25553000,2855,特優
,2,臺北榮民總醫院,63000120,臺北市北投區石牌路 2 段 201 號,(02)28712121,2940,特優
,3,國立臺灣大學醫學院附設醫院,63000050,臺北市中正區中山南路 8 號,(02)23123456,70401,特優
,4,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000040,臺北市中山區中山北路 2 段 92號,(02)25433535,3051,特優
,5,臺北醫學大學附設醫院,63000020,臺北市信義區吳興街 252 號,(02)27372181,1241,優等
評估醫院,6,臺北市立聯合醫院和平婦幼院區（和平院區）,63000050,臺北市中正區中華路 2 段 33 號,(02)23889595,8001,合格
,7,臺北市立聯合醫院松德院區,63000020,臺北市信義區松德路 309 號,(02)27263141,1135,合格
,8,臺北市立聯合醫院仁愛院區,63000030,臺北市大安區仁愛路 4 段 10 號,(02)27093600,5530,優等
,9,臺北市立聯合醫院陽明院區,63000110,臺北市士林區雨聲街 105 號,(02)28353456,6873,優等
,10,基督復臨安息日會醫療財團法人臺安醫院,63000010,臺北市松山區八德路 2 段 424 號,(02)27718151,2595,合格
,11,國泰醫療財團法人國泰綜合醫院,63000030,臺北市大安區仁愛路 4 段 280 號,(02)27082121,3579,優等
,12,新光醫療財團法人新光吳火獅紀念醫院,63000110,臺北市士林區文昌路 95 號,(02)28332211,2531,優等
,13,三軍總醫院附設民眾診療服務處,內湖區,臺北市內湖區成功路 2 段 325 號,(02)87923311,34615,合格
,14,振興醫療財團法人振興醫院,63000120,臺北市北投區振興街 45 號,(02)28264400,3807,合格
,15,臺北市立關渡醫院,63000120,臺北市北投區知行路 225 巷 12號,(02)28587140,,優等
,16,臺北市立萬芳醫院,63000080,臺北市文山區興隆路 3 段 111 號,(02)29307930,1802,優等
,17,中國醫藥大學附設醫院臺北分院,63000100,臺北市內湖區內湖路 2 段 360 號,(02)27919696,2004,合格
,18,長庚醫療財團法人臺北長庚紀念醫院(整修中),63000010,臺北市松山區敦化北路 199 號,(03)3281200,8148,整修中(免評)
療育醫院,19,臺北市立聯合醫院忠孝院區,63000090,臺北市南港區同德路 87 號,(02)27861288,8084,特優
,20,宏恩醫療財團法人宏恩綜合醫院,63000030,臺北市大安區仁愛路 4 段 61 號,(02)27713161,732,合格
