編號,評鑑等級,機構名稱,機構地址,電話,傳真,經營業務範圍,所屬仲介公會,負責人/經理人姓名,負責人/經理人英文姓名,公司統一編號,營業項目,專業人員人數,聘僱許可雙語人員人數,從業人員人數
1,績優免評,實踐家有限公司,臺北市大安區忠孝東路３段１３６號１０樓,02-27788166,02-27784811,國內暨國外,臺北市就業服務商業同業公會,楊睦雄,"YANG, MU-HSIUNG",86508462,I701011,9,2,25
2,A,東南亞人力資源管理顧問有限公司,臺北市松山區南京東路５段６３號６樓,02-27631234,02-87878794,國內暨國外,臺北市就業服務商業同業公會,陳慧鈴,"CHEN, HUI-LING",86866609,I701011,5,3,16
3,B,龍城顧問股份有限公司台北分公司,臺北市大安區龍圖里信義路３段１９２之１號６樓之１,02-27082524,02-27097345,,,李茂春,"LEE, MAO-CHUN",50909576,I701011,1,0,2
4,績優免評,海外人力資源管理顧問有限公司,臺北市中山區松江路１５２號８樓之５,02-25114942,02-25114532,國外,臺北市就業服務商業同業公會,賴函伶,"LAI, HAN-LIN",86285069,I701011,5,2,16
5,績優免評,宏保股份有限公司,臺北市大安區和平東路１段６號１２樓,02-23691232,02-23628854,國內暨國外,中華民國人力仲介協會,梁元貴,"LIANG, YUAN-KUI",86512748,I701011,5,4,25
6,B,漢業人力資源管理顧問股份有限公司,臺北市大安區和平東路一段１０號８樓,02-23688555,02-23660050,國內暨國外,臺北市就業服務商業同業公會,謝俊穎,HSIEH CHUN YING,86886963,I701011,2,1,8
7,A,聖力國際股份有限公司,臺北市大同區民族西路２６９號７樓,02-25855406,02-25978333,國內暨國外,臺北市就業服務商業同業公會,朱光燦,"CHU,KUANG-TSAN",84100236,I701011,5,2,10
8,績優免評,聯九國際開發股份有限公司,臺北市中山區松江路１３９號２樓之３,02-25182369,02-25182359,國內暨國外,臺北市就業服務商業同業公會,黃敏滄,"HUANG,MING-TSANG",86706759,I701011,4,0,10
9,A,守信外勞仲介有限公司,臺北市中山區撫順街２３號３樓,02-25992377,02-25993861,國外,臺北市就業服務商業同業公會,陳信鋼,"CHEN,   SHIN-KANG",86722028,I701011,16,5,75
10,績優免評,閔能人力資源管理顧問有限公司,臺北市中山區龍江路３４２巷７號１樓,02-25040101,02-25042323,國內暨國外,臺北市就業服務商業同業公會,許顯端,"HSU, SHIEN-DUAN",12205915,I701011,3,0,10
11,績優免評,中華人力資源管理顧問有限公司,臺北市中山區南京東路２段１１號９樓,02-25215589,02-25216866,國內暨國外,臺北市就業服務商業同業公會,黃杲傑,HUANG KAO CHIEH,86004069,I701011,3,3,17
12,績優免評,好幫手人力資源管理顧問有限公司,臺北市松山區敦化北路１５３之７號,02-7729-4336,02-2721-9993,國內暨國外,臺北市就業服務商業同業公會,楊麗雲,"YANG, LI-YUN",84103873,I701011,5,2,16
13,A,永通國際開發股份有限公司,臺北市內湖區瑞光路５１３巷２２弄５號８樓之２,02-26561667,02-26578028,國內暨國外,臺北市就業服務商業同業公會,吳垣,"WU, YUAN",84105669,I701011,4,0,10
14,績優免評,裕華人才仲介股份有限公司,臺北市中正區濟南路２段１３號２樓,02-23966766,02-23917225,國內暨國外,臺北市就業服務商業同業公會,李洪麗姬,"LEE HUNG,LI-CHI",86891184,I701011,4,4,16
15,績優免評,雙勤國際人力仲介事業有限公司,臺北市中正區忠孝西路１段７號７樓之４,02-23148679,02-23715960,國內暨國外,臺北市就業服務商業同業公會,陳福水,"CHEN, FU-SHUI",84112015,I701011,1,0,2
16,A,創歆實業有限公司,臺北市大同區長安西路６６號９樓之１,02-25501979,02-25508725,國內暨國外,臺北市就業服務商業同業公會,王名馳,WANG MING CHIH,22437415,I701011,2,0,7
17,B,華泰企業管理顧問有限公司,臺北市大同區南京西路３５２號６樓,02-27774155,02-87736029,國內暨國外,臺北市就業服務商業同業公會,宋淑貞,"SUNG, SHU-CHENG",23726130,I701011,2,1,9
