序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,鄭文宗耳鼻喉科診所,100,臺北市中正區信義路二段２６７號,0223-917-458
3,古亭中心耳鼻喉科診所,100,臺北市中正區中華路二段１６１號,0223-064-652
4,雙合耳鼻喉科聯合診所,100,臺北市中正區汀州路一段96號,0223-055-690
5,丞泰耳鼻喉科診所,100,臺北市中正區南昌路一段７８號,023-973-668
6,蕭耳鼻喉科診所,100,臺北市中正區汀州路二段二六一號,2  3653284
7,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
8,奕康耳鼻喉科診所,100,臺北市中正區連雲街72號2樓,023-212-788
9,李世輝耳鼻喉科診所,100,臺北市中正區南昌路一段79號,23979639/0982168019
10,米蘭時尚診所,100,臺北市中正區忠孝東路1段43號、45號、45號2樓之1、45號2樓之2、45號2樓之3、45號2樓之5、47號、47之1號、45號10樓之1、45號10樓之2,023-222-298
11,慕顏時尚美學診所,100,臺北市中正區衡陽路7號14樓,023-826-480
12,李明儒耳鼻喉科診所,100,臺北市中正區中華路二段341號,023-038-181
13,美好健康診所,100,臺北市中正區連雲街83號(實際營業地址:1樓、2樓、3樓),2393-3316
14,池振坤耳鼻喉科診所,100,臺北市中正區南昌路一段88號2樓之1,023-972-684
15,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
16,大龍峒耳鼻喉科診所,103,臺北市大同區民族西路223之5號,02-25951475
17,朱世輝耳鼻喉科診所,103,臺北市大同區民權西路１０６號2樓,0225-535-016
18,周承良耳鼻喉科診所,103,臺北市大同區延平北路一段二十二號,0225-590-862
19,延平耳鼻喉科診所,103,臺北市大同區重慶北路二段二三五之四號一樓,025-536-612
20,祥恩耳鼻喉科診所,103,臺北市大同區民生西路195號,02-25535185
21,寧夏診所,103,臺北市大同區民生西路236號,025-586-060
22,大同耳鼻喉科診所,103,臺北市大同區重慶北路三段250之3、250之4號,2597-5833
23,寧康聯合診所,104,臺北市中山區龍江路209巷6之1號,025-013-862
24,莊宇龍診所,104,臺北市中山區北安路637號,02-25319998
25,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,0225-433-535
26,正恩耳鼻喉科診所,104,臺北市中山區錦州街321號,0225-052-293
27,陳正熹耳鼻喉科診所,104,臺北市中山區雙城街１０巷１８號１樓,0225-857-518
28,芯慈耳鼻喉科診所,104,臺北市中山區長春路364號,0225-048-803
29,蔡國賢耳鼻喉科診所,104,臺北市中山區長安東路二段108之2號(1樓),025-178-178
30,英政耳鼻喉科診所,104,臺北市中山區長安東路二段１６９之9號,027-512-758
31,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,025-337-777
32,周賢章耳鼻喉科診所,104,臺北市中山區天祥路２６號,0225-213-101
33,林錦祥耳鼻喉科診所,104,臺北市中山區五常街９１號１樓,02 25053069
34,楊光榮嗓音耳鼻喉科診所,104,臺北市中山區民權東路二段56號(實際開業地址：1樓及2樓),0225-631-398
35,AR進階鼻美學時尚診所,104,臺北市中山區南京東路二段20號7樓之1至之5,025-817-700
