編號,許可證,許可證字號,公司名稱,公司電話,分機,公司地址,負責人
1,環藥販賣,63-008,台灣藍與綠有限公司,(02)25873465,,臺北市內湖區文德路66巷107號1樓,彭馨儀
2,環藥販賣,63-009,勤裕企業股份有限公司,(02)87911819,,臺北市內湖區行愛路159號4樓,程鐘瑜
3,環藥販賣,63-015,花仙子企業股份有限公司,(02)25922860,,臺北市大同區承德路3段230號13樓,蔡心心
4,環藥販賣,63-019,台灣拜耳股份有限公司,(02)87221264,,臺北市信義區信義路5段7號53樓,Torsten Fritz Bielig
5,環藥販賣,63-021,台灣住友化學股份有限公司,(02)25068180,,臺北市中山區南京東路2段206號13樓之4,板橋一憲
6,環藥販賣,63-023,厚光企業有限公司,(02)27074492,,臺北市信義區基隆路2段56號5樓之3,楊美惠
7,環藥販賣,63-024,台灣道禮股份有限公司,(02)87701101,,臺北市松山區敦化北路167號14樓,黃大益
8,環藥販賣,63-028,大勝化學工業股份有限公司,(02)25033131,,臺北市萬華區柳州街80號10樓,張宇旭
9,環藥販賣,63-029,旭格有限公司,(02)26580101,,臺北市內湖區瑞光路258巷2號3樓,王亮月
10,環藥販賣,63-033,昆言企業股份有限公司,(02)28765825,,臺北市士林區天母東路50巷35號2樓,黃吉金
11,環藥販賣,63-037,艾喜益有限公司,(02)28724147,,臺北市文山區木柵路3段85巷23弄24號1樓,高育瑋
12,環藥販賣,63-042,志成股份有限公司,(02)23671718,,臺北市中正區羅斯福路3段230號1樓,李玉鼎
13,環藥販賣,63-045,台灣莊臣股份有限公司,(02)27602211,,臺北市松山區富錦街421號2樓,范喬爾
14,環藥販賣,63-046,必群股份有限公司,(02)27663111,,臺北市松山區南京東路5段202號13樓之1,李秋霞
15,環藥販賣,63-050,康潔股份有限公司,(02)27181000,,臺北市中山區中山北路1段27號8樓之1,李華特
16,環藥販賣,63-053,台灣日化股份有限公司,(02)23962923,,臺北市中正區忠孝東路2段88號9樓,稅本敦也
17,環藥販賣,63-056,有泉行有限公司,(02)27352233,,臺北市大安區安和路2段112號5樓,蘇少陵
18,環藥販賣,63-057,嘉怡股份有限公司,(02)27027274,,臺北市大安區信義路4段6號14樓之11,張泰迪
19,環藥販賣,63-063,南中化工有限公司,(02)25917180,,臺北市大同區哈密街59巷53弄9號 ,許志銘
20,環藥販賣,63-068,瑞金貿易有限公司,(02)27215511,,臺北市大安區仁愛路3段5巷1弄14號,邱文珍
21,環藥販賣,63-070,正農化學股份有限公司,(02)27731661,,臺北市松山區復興北路1號11樓之4 ,洪以恒
22,環藥販賣,63-071,東鋒股份有限公司,(02)27731661,,臺北市松山區復興北路1號11樓之4 ,"	李恂恂、洪以恒"
23,環藥販賣,63-073,台美工業股份有限公司,(02)27139858,,臺北市松山區民生東路3段131號11樓,李福爾
24,環藥販賣,63-079,台灣巴斯夫股份有限公司,(02)25068131,,臺北市中山區松江路87號16樓 ,黎博曼Jens Liebermann
25,環藥販賣,63-082,萬成航空科技股份有限公司,(02)27730655,,臺北市中山區中山北路2段129號5樓之3,曹美香
26,環藥販賣,63-085,達通國際興業有限公司,(02)25025290,,臺北市內湖區內湖路1段91巷35弄64號3樓,蔡蕙雯
27,環藥販賣,63-087,青山貿易有限公司,(02)25239899,,臺北市中山區中山北路1段85號9樓 ,王瑞卿
28,環藥販賣,63-088,?泰實業有限公司,(02)25558277,,臺北市大同區延平北路1段69巷10號 ,韓樹大
29,環藥販賣,63-090,喬美貿易股份有限公司,(02)27125273,,臺北市中山區民權東路3段106巷38號 ,李正成
30,環藥販賣,63-094,智誠有限公司,(02)25561589,,臺北市大同區重慶北路1段30號11樓,蔡旺盛
31,環藥販賣,63-100,興同有限公司,(02)27713277,,臺北市大安區忠孝東路3段263號2樓,范玉婷
32,環藥販賣,63-102,興凱生化股份有限公司,(02)25703565,,臺北市松山區八德路3段210號5樓,施明毅
