編號,行政區,醫療機構,孕前健康檢查生理男性門診,孕前健康檢查生理女性門診,孕前健康檢查生理女性加選抗穆勒氏管荷爾蒙檢查AMH,初期孕婦唐氏症篩檢,中期孕婦唐氏症篩檢,非侵入性胎兒染色體檢測NIPT,子癲前症篩檢
1,6300100,三軍總醫院松山分院附設民眾診療服務處,1,1,1,1,1,,1
2,6300100,美人魚時尚婦產科診所,1,1,1,,1,1,
3,6300100,高國隆婦產科診所,1,1,1,1,1,,
4,6300100,博仁綜合醫院,1,1,1,1,1,,1
5,6300100,長庚醫療財團法人台北長庚紀念醫院,1,1,1,1,1,1,1
6,6300100,基督復臨安息日會醫療財團法人臺安醫院,,,,1,,1,1
7,6300200,臺北醫學大學附設醫院,1,1,1,1,1,,1
8,6300200,王知行婦產科診所,1,1,1,1,1,1,1
9,6300200,聯合報系員工診療所,1,1,1,,,,
10,6300200,松仁婦產科診所,,,,,,1,1
11,6300200,王家瑋婦產科診所,1,1,1,,,1,
12,6300300,臺北市立聯合醫院仁愛院區,1,1,1,1,1,1,1
13,6300300,周大中婦產科診所,1,1,1,,1,1,1
14,6300300,劉賢平婦產科診所,1,1,1,1,1,1,1
15,6300300,吳坤光婦產科診所,1,1,1,1,1,1,
16,6300300,莊國豐婦產科診所,1,1,1,1,1,1,1
17,6300300,康婕婦產科診所,1,1,1,1,1,1,1
18,6300300,李婦產科診所,1,1,1,,1,,1
19,6300300,許世賓婦產科診所,1,1,1,1,1,1,1
20,6300300,忠孝世賓婦產科診所,1,1,1,1,1,1,1
21,6300300,林正宗婦產科診所,1,1,1,1,1,1,1
22,6300300,國泰醫療財團法人國泰綜合醫院,1,1,1,1,1,1,1
23,6300300,中山醫療社團法人中山醫院,1,1,1,1,,1,1
24,6300300,滿意婦產科診所,,,,1,1,,1
25,6300300,林慧雯婦產科診所,1,1,1,1,1,1,1
26,6300300,禾馨新生婦幼診所,,,,1,,1,1
27,6300300,謝婦產科診所,1,1,,,1,,
28,6300300,聯準診所,1,1,1,1,,1,1
29,6300300,華育婦產科診所,,,,,,1,
30,6300400,台兒中山集英診所,,,,1,1,,1
31,6300400,木生婦幼診所,1,1,1,1,,1,1
32,6300400,黃大倫婦產科診所,1,1,1,,,,
33,6300400,"台灣基督長老教會馬偕醫療財團法人
馬偕紀念醫院",1,1,1,1,1,1,1
34,6300400,協和婦女醫院,1,1,1,1,1,1,1
35,6300400,四季和安婦幼診所,1,1,1,1,1,1,1
36,6300400,李義男婦產科診所,1,1,1,1,1,1,1
37,6300400,繼承婦產科診所,,1,1,1,1,1,1
38,6300400,生基婦產科診所,1,1,1,,,1,1
39,6300500,臺北市立聯合醫院婦幼院區,1,1,1,1,1,1,1
40,6300500,臺北市立聯合醫院和平院區,1,1,1,1,1,1,1
41,6300500,禾馨婦產科診所,,,,1,,1,1
42,6300500,國立臺灣大學醫學院附設醫院,1,1,1,1,1,1,1
43,6300600,臺北市立聯合醫院中興院區,1,1,1,1,1,1,1
44,6300700,聖約翰婦產科診所,1,1,1,1,1,1,
45,6300700,國立臺灣大學醫學院附設醫院北護分院,,1,1,1,1,,1
46,6300700,城中瑪麗安婦產科診所,1,1,1,,,,
47,6300800,愛文診所,1,1,1,1,1,1,1
48,6300800,長欣婦產科診所,1,1,1,1,,1,1
49,6300800,臺北市立萬芳醫院-委託臺北醫學大學辦理,1,1,1,1,1,1,1
50,6300800,芳馨診所,1,1,1,1,1,1,1
51,6300900,臺北市立聯合醫院忠孝院區,1,1,1,1,1,1,1
52,6300900,劉聖亞診所,1,1,1,1,1,,
53,6301000,顏鳳麟婦產科診所,1,1,1,1,,1,1
54,6301000,三軍總醫院附設民眾診療服務處,1,1,1,1,1,,1
55,6301000,康寧醫療財團法人康寧醫院,1,1,1,1,,,1
56,6301000,國泰醫療財團法人內湖國泰診所,1,1,,1,1,,
57,6301000,中國醫藥大學附設醫院臺北分院,1,1,1,,1,,
58,6301000,禾馨民權婦幼診所,,,,1,,1,1
59,6301000,禾馨內湖婦幼診所,,,,1,,1,1
60,6301100,臺北市立聯合醫院陽明院區,1,1,1,1,1,1,1
61,6301100,鄭福山婦產科診所,1,1,1,1,1,,1
62,6301100,新光醫療財團法人新光吳火獅紀念醫院,1,1,1,1,,1,1
63,6301100,永恆美診所,1,1,1,1,,1,1
64,6301100,佩佩婦幼診所,1,1,1,1,1,1,1
65,6301200,臺北市立關渡醫院－委託臺北榮民總醫院經營,1,1,,,,,
66,6301200,振興醫療財團法人振興醫院,1,1,1,,1,,1
67,6301200,臺北榮民總醫院,1,1,1,1,1,1,1
,,,55家,57家,54家,53家,46家,44家,54家
