行政區,醫事機構代碼,院所名稱,地址,聯絡電話,子宮頸癌篩檢,口腔癌篩檢,大腸癌篩檢,乳癌篩檢,肺癌篩檢,貼心小提醒
63000010,501010019,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,(02)27642151,Y,Y,Y,,Y,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,1101010021,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路２段４２４、４２６號,(02)27718151,Y,Y,Y,Y,Y,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,1501010010,博仁綜合醫院,臺北市松山區光復北路６６、６８號,(02)25786677,Y,Y,Y,Y,Y,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,2101010013,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路４段６９４號１樓,(02)27653147,Y,Y,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010012,榮恩耳鼻喉科小兒科聯合診所,臺北市松山區南京東路５段２５８號,(02)27688749,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010058,林聰賢婦產科診所,臺北市松山區八德路４段３４５號２樓,(02)27625290,Y,,,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010094,劉內兒科診所,臺北市松山區民生東路５段１４８號,(02)27603922,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010683,高國隆婦產科診所,臺北市松山區八德路４段２５７號２樓,(02)27630047,Y,,,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010692,陳大昕耳鼻喉科診所,臺北市松山區八德路４段１００號,(02)27676349,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010736,林忠志診所,臺北市松山區南京東路５段２９１巷２０弄３－３號,(02)27689577,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010763,陳炳堅內科診所,臺北市松山區延壽街３２７號,(02)27637199,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501010932,吳慶南內科診所,臺北市松山區民生東路５段１３８巷１號,(02)27659566,,Y,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501011037,江建中診所,臺北市松山區八德路４段２８５號１樓,(02)27647883,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501011313,安德聯合診所,臺北市松山區八德路3段34號4樓、12樓,(02)25705886,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501011493,車參薇小兒科診所,臺北市松山區八德路３段１９５號１樓,(02)25770101,,Y,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501012838,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路３段２０－２號,(02)25779898,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501013059,親親家庭診所,臺北市松山區南京東路５段３４７號,(02)25283232,,Y,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501013068,黎博彥診所,臺北市松山區民生東路５段２３０號,(02)27682802,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501013157,大家好診所,臺北市松山區民生東路４段８０巷１１弄２號１樓,(02)27138819,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,"	3501013540",永承診所,臺北市松山區敦化北路155巷9號地下1層,(02)27182618,,,,Y,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501014243,何兆芬健康診所,臺北市松山區南京東路４段４７號２樓,(02)25451611,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501014323,美人魚時尚婦產科診所,臺北市松山區南京東路３段３３１號９樓,(02)27191212,Y,,,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501015740,民安診所,臺北市松山區民生東路5段76號1樓,(02)27660656,Y,Y,,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501014476,鈞賀診所,臺北市松山區富錦街４６２號,(02)27600101,Y,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501014823,澄東耳鼻喉科診所,臺北市松山區三民路３７號,(02)27420552,,Y,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501015026,佑家診所,臺北市松山區八德路３段２３３號,(02)25785658,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,3501015240,宥全診所,臺北市松山區民生東路５段２１６號１樓,(02)27678225,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
63000010,"	3501015188",朱家庭醫學科診所,臺北市松山區八德路3段12巷57弄39之1號1樓,(02)25795004,,,Y,,,前往檢查時，建議先電洽醫療院所確認看診時段，並請攜帶健保卡。
