序號,醫事服務機構名稱,行政區域代碼,縣市別代碼,醫事機構地址
1,財團法人臺灣基督長老教會馬偕紀念社會事業基金會醫院,63000040,63000,臺北市中山區中山北路2段92號
2,臺北市立聯合醫院,63000060,63000,臺北市大同區鄭州路145號（代表）
3,國立臺灣大學醫學院附設醫院,63000050,63000,臺北市中正區中山南路7、8號；常德街1號
4,基督復臨安息日會醫療財團法人臺安醫院,63000010,63000,臺北市松山區八德路2段424、426號
5,新光醫療財團法人新光吳火獅紀念醫院,63000110,63000,臺北市士林區文昌路95號及士商路51號1至7樓53、55號
6,中山醫療社團法人中山醫院,63000030,63000,臺北市大安區仁愛路4段112巷11號
7,振興醫療財團法人振興醫院,63000120,63000,臺北市北投區振興街45號
8,木生婦產科診所,63000040,63000,臺北市中山區長安東路2段90號1-4樓88號4樓
9,三軍總醫院附設民眾診療服務處,63000100,63000,臺北市內湖區成功路2段325號
10,臺北榮民總醫院,63000120,63000,臺北市北投區石牌路2段201號
11,長欣婦產科診所,63000080,63000,臺北市文山區興隆路4段60號1樓
12,宏恩醫療財團法人宏恩綜合醫院,63000030,63000,臺北市大安區仁愛路4段71巷1號
13,許世賓婦產科診所,63000030,63000,臺北市大安區和平東路1段169號2樓及4樓及171號2樓
14,忠孝世賓婦產科診所,63000030,63000,臺北市大安區忠孝東路4段176號4樓
15,同心婦產科診所,63000030,63000,臺北市大安區東豐街26號
16,民生承安診所,63000040,63000,臺北市中山區民生東路3段90號1、2樓
17,協和婦女醫院,63000040,63000,臺北市中山區松江路85巷5號93巷6號
18,陳德駿婦產科診所,63000100,63000,臺北市內湖區文德路8號2樓
19,康寧醫療財團法人康寧醫院,63000100,63000,臺北市內湖區成功路5段420巷26號
20,鍾兆智婦產科診所,63000100,63000,臺北市內湖區東湖路65號1樓、2樓、地下室
21,顏鳳麟婦產科診所,63000100,63000,臺北市內湖區成功路4段28號2樓
22,蔡賡禧婦產科診所,63000120,63000,臺北市北投區石牌路1段72號
23,博仁綜合醫院,63000010,63000,臺北市松山區光復北路66．68號
24,高國隆婦產科診所,63000010,63000,臺北市松山區八德路4段257號2樓
25,信義邱婦產科診所,63000020,63000,臺北市信義區虎林街198號
26,天慈婦產科診所,63000090,63000,臺北市南港區同德路37號1樓
27,劉聖亞診所,63000090,63000,臺北市南港區興華路82號1樓
28,西園醫院,63000071,63000,臺北市萬華區西園路2段185、187、189、266號
29,國立臺灣大學醫學院附設醫院北護分院,63000071,63000,臺北市萬華區康定路37號
30,謝婦產科診所,63000090,63000,臺北市南港區忠孝東路6段326號
