序號,機構名稱,郵遞區號,地址,電話
1,幸吉堂中醫診所,100,臺北市中正區汀州一段１６９號,0223-095-191
2,李家雄中醫診所,100,臺北市中正區金山南路一段１２１號３Ｆ,0223-927-123
3,同安中醫診所,100,臺北市中正區同安街４１號,0223-687-998
4,仁愛中醫診所,100,臺北市中正區延平南路１８７號,0223-888-966
5,吳龍源中醫診所,100,臺北市中正區羅斯福路一段１３１號三樓,0223-414-618
6,寧波中醫診所,100,臺北市中正區寧波西街80之1號,0223-517-721
7,珍仁堂中醫診所,100,臺北市中正區忠孝東路2段98號1樓,0223-915-512
8,儒德中醫診所,100,臺北市中正區南昌路一段50號,023-913-177
9,和平中醫診所,100,臺北市中正區和平西路二段123號,023-704-855
10,李明潤中醫診所,100,臺北市中正區羅斯福路一段二十八號二樓之一,023-225-567
11,順天中醫診所,100,臺北市中正區衡陽路85號2樓,2382-1545
12,勝昌現代中醫診所,100,臺北市中正區和平西路二段５６之１號,023-378-769
13,恆美中醫診所,100,臺北市中正區襄陽路九號八樓,023-111-099
14,洪麗妃中醫診所,100,臺北市中正區南昌路1段123號3樓,023-569-939
15,張順晶中醫診所,100,臺北市中正區羅斯福路二段44號5樓,023-948-278
16,嘉柏中醫診所,100,臺北市中正區公園路32號2樓,023-141-402
17,劉桂蘭中醫診所,100,臺北市中正區忠孝東路一段35號2樓,033-224-323
18,顧安千金中醫診所,100,臺北市中正區紹興北街8號2樓之1,023-214-530
19,劉紀昌中醫診所,100,臺北市中正區羅斯福路1段24號4樓,023-914-569
20,寶生堂中醫診所,100,臺北市中正區和平西路1段56號2樓,023-673-899
21,長德中醫診所,100,臺北市中正區金華街55號,023-961-235
22,峻毅中醫診所,100,臺北市中正區和平西路一段30號,023-678-886
23,永康中醫診所,100,臺北市中正區連雲街75號1樓,023-936-008
24,佳譽堂中醫診所,100,臺北市中正區寧波西街71號,023-931-718
25,華御中醫診所,100,臺北市中正區濟南路2段51號,023-215-250
26,日明耀中醫診所,100,臺北市中正區重慶南路一段66之1號2樓之1,02-23612228
27,華陽中醫診所,100,臺北市中正區新生南路一段16之4號,023-951-066
28,益壽中醫診所,100,臺北市中正區南昌路1段71號(1、2樓),02-23435546
29,溫?中醫診所,100,臺北市中正區忠孝東路二段134巷16號2樓,2358-4858
30,李思儀中醫診所,100,臺北市中正區金山南路1段73巷6號,023-956-870
31,宏達中醫診所,100,臺北市中正區汀州路三段211號2樓,023-651-209
32,榮星中醫診所,100,臺北市中正區羅斯福路二段140號2樓之1,02-23682114
33,六節中醫診所,100,臺北市中正區汀州路二段198號,2362-9900
34,喜豐堂中醫診所,100,臺北市中正區博愛路88號(使用第一層),023-712-323
35,時代中醫診所,100,臺北市中正區羅斯福路三段272號10樓,023-690-082
36,天心中醫診所,100,臺北市中正區武昌街1段33號(1樓、2樓、3樓)、35號2樓、35號4樓,02-23615050
37,東門中醫診所,100,臺北市中正區連雲街81號2樓,02-23432000
38,汀洲中醫診所,100,臺北市中正區汀州路二段213號,023-680-335
