序號,機構名稱,郵遞區號,地址,電話
1,長齡牙醫診所,100,臺北市中正區師大路163號,02-23685920
2,琠雅牙醫診所,100,臺北市中正區汀州路二段215號,023-621-909
3,廖春美牙醫診所,100,臺北市中正區寧波西街78號2樓,023-937-315
4,南門牙醫診所,100,臺北市中正區羅斯福路2段1號2樓之1,023-972-629
5,展望牙醫診所,100,臺北市中正區濟南路1段7號2樓,023-936-599
6,典樺牙醫診所,100,臺北市中正區金山南路1段108號2樓、2樓之1,023-911-138
7,清川牙醫診所,100,臺北市中正區汀州路1段118號,023-328-653
8,橙品牙醫診所,100,臺北市中正區仁愛路2段110號2樓,023-570-689
9,富麗牙醫診所,100,臺北市中正區和平西路1段69號,023-940-123
10,德華牙醫診所,100,臺北市中正區重慶南路1段 110號,023-704-511
11,謝明吉口腔顎面外科牙醫診所,100,臺北市中正區忠孝西路1段6號2、3樓,02-238886363
12,雙子星牙醫診所,100,臺北市中正區館前路26號2樓,023-822-345
13,?琮牙醫診所,100,臺北市中正區襄陽路41號、43號,023-113-623
14,品瑞牙醫診所,100,臺北市中正區南昌路二段13號,023-933-311
15,信義東暘牙醫診所,100,臺北市中正區金山南路一段155號2樓,023-970-909
16,新芽牙醫診所,100,臺北市中正區仁愛路二段92巷7號2樓,023-410-181
17,雅偲牙醫診所,100,臺北市中正區館前路2號6樓,023-703-777
18,愛迪牙醫診所,100,臺北市中正區羅斯福路二段18號2樓,02-33221008
19,東門牙醫診所,100,臺北市中正區臨沂街79之10號,02-23416060
20,蘇黎世牙醫診所,100,臺北市中正區羅斯福路二段116號5樓之1,2362-1001
21,典雅牙醫診所,100,臺北市中正區信義路二段123號、123號2樓,023-966-123
22,齊杏齒顎矯正專科牙醫診所,100,臺北市中正區忠孝東路二段58號(實際營業地址:1樓),033-221-581
23,華泰牙醫診所,100,臺北市中正區許昌街30號3樓,0223-826-600
24,公園景福牙醫診所,100,臺北市中正區公園路32號6樓之1,02-23885488
25,齊美牙醫診所,100,臺北市中正區羅斯福路二段136號7樓,2369-3336
26,美國傳奇牙醫診所,100,臺北市中正區羅斯福路四段24巷6之1號,2368-3336
27,怡樺牙醫診所,100,臺北市中正區羅斯福路三段244巷2弄22號,2365-9395
28,維昕牙醫診所,100,臺北市中正區牯嶺街93號(實際營業:1、2樓),02-2368-5277
29,林志聲牙醫診所,100,臺北市中正區臨沂街13巷16號,02-23952277
30,美日牙醫診所,100,臺北市中正區羅斯福路3段312號5、6樓,023-685-879
31,永恆牙醫診所,100,臺北市中正區辛亥路一段17巷6號3樓,023-653-000
32,博齡牙醫診所,100,臺北市中正區羅斯福路四段50號3樓之4,023-651-718
33,怡賀牙醫診所,100,臺北市中正區新生南路一段56號6樓,02-23567733
34,華慶牙醫診所,100,臺北市中正區中華路二段339號,023-048-190
35,慶輝牙醫診所,100,臺北市中正區寧波西街96號,023-012-100
36,嘉貝牙醫診所,100,臺北市中正區信義路二段257號,2351-7708
37,東北大牙醫診所,100,臺北市中正區羅斯福路三段276號(實際營業地址：1、2樓),02-23650506
38,家禾牙醫診所,100,臺北市中正區延平南路195巷5號,02-2388-8906
39,優政牙醫診所,100,臺北市中正區南昌路一段119號,02-23966985、0919716006
40,晨新牙醫診所,100,臺北市中正區重慶南路1段77之1號(1樓),
41,星采牙醫診所,100,臺北市中正區館前路2號3樓,
42,星創牙醫診所,100,臺北市中正區羅斯福路3段136、138號4樓,023-685-658
43,合睿牙醫診所,100,臺北市中正區羅斯福路4段68號7樓之11,023-634-687
44,仁崇牙醫診所,100,臺北市中正區新生南路1段122之3號2樓,
45,沐康美學牙醫診所,100,臺北市中正區師大路159號1樓、159號地下1樓,02-27004232
46,百分百牙醫診所,100,臺北市中正區館前路18號5樓,02-23115100
47,涵悅牙醫診所,100,臺北市中正區羅斯福路3段152號(1、2樓)、156號(1、2樓),02-23679922
48,華山蒔美牙醫診所,100,臺北市中正區金山南路1段58號3樓、4樓,
49,金山蒔美牙醫診所,100,臺北市中正區金山南路1段58號1樓、2樓,
50,喜樂新生牙醫診所,100,臺北市中正區新生南路1段50之1號2樓、50之2號2樓,
51,蒔穗美學牙醫診所,100,臺北市中正區羅斯福路2段56號3樓,02-23569795
52,北歐?復補綴牙科專科牙醫診所,100,臺北市中正區新生南路1段56號2樓之1,02-25233363
53,仁愛牙醫診所,100,臺北市中正區信義路2段179號2樓之1(一層、二層),023-778-487
54,雅德思牙醫診所,100,臺北市中正區重慶南路1段66號(1樓、夾層)、66號地下1樓,02-2314-0806
55,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
56,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
57,國立臺灣大學醫學院附設醫院兒童醫院,100,臺北市中正區中山南路8號,023-123-456
58,國軍台北門診中心附設民眾診療服務處,100,臺北市中正區紹興南街7號,023-912-630
59,思源牙醫診所,100,臺北市中正區南昌路二段200號4樓,023-644-980
60,中明牙科診所,100,臺北市中正區汀州路一段２３５號,0223-016-366
61,聯嘉牙醫診所,100,臺北市中正區南昌路二段２０６號２樓之１,0223-678-052
62,慶聲牙醫診所,100,臺北市中正區寧波東街9巷3號1樓,0223-930-043
63,俊廣牙醫診所,100,臺北市中正區南陽街３號３Ｆ,0223-142-887
64,華山周牙醫診所,100,臺北市中正區忠孝東路二段６號2樓,02-23411346
65,新光牙醫診所,100,臺北市中正區寧波西街６５號,0223-516-562
66,清河牙醫診所,100,臺北市中正區信義路二段６３號二樓,0223-941-936
67,逢生牙醫診所,100,臺北市中正區南昌路一段三十七號二樓,02 23948543
68,三民牙醫診所,100,臺北市中正區汀州路二段３０號,0223-687-108
69,名華牙醫診所,100,臺北市中正區汀州路一段２３６號,0223076017、0956254998
70,同泰牙醫診所,100,臺北市中正區汀州路二段１４７號２樓,0223-678-212
71,康平牙醫診所,100,臺北市中正區信義路二段67號,0223-914-452
72,尚義牙醫診所,100,臺北市中正區懷寧街６２號２Ｆ２０２室,0223-711-832
73,新欣牙醫診所,100,臺北市中正區濟南路二段65號2樓,02-23417513
74,幸安牙醫診所,100,臺北市中正區杭州南路一段１４３巷３２－２號１樓,0223-969-631
75,鐘牙醫診所,100,臺北市中正區重慶南路三段４０號,0223-033-035
76,聯合牙醫診所,100,臺北市中正區南昌街一段７４巷１３號,0223-414-286
77,名家牙醫診所,100,臺北市中正區忠孝東路二段１３４巷２２號,0223-411-474
78,志明牙醫診所,100,臺北市中正區寧波西街８０號,0223-968-925
79,強弘牙科診所,100,臺北市中正區汀州路二段８６號,0223-677-975
80,杏安牙醫診所,100,臺北市中正區金門街９之６號,0223-687-807
81,金山牙醫診所,100,臺北市中正區愛國東路６２號,0223-214-735
82,名一牙醫診所,100,臺北市中正區漢口街一段８０巷６弄５號,0223-880-229
83,蕭煥嘉牙醫診所,100,臺北市中正區新生南路一段１２８號,0223-911-421
84,連生牙醫診所,100,臺北市中正區信義路二段１６１巷4號,02 23934651
85,鼎佳牙醫診所,100,臺北市中正區濟南路二段５８號２樓之1,0223-411-642
86,明皓牙醫診所,100,臺北市中正區南昌路一段１２８號,0223-218-521
87,米奇牙醫診所,100,臺北市中正區羅斯福路三段244巷10弄8號1樓,0223-652-774
88,博瀚牙醫診所,100,臺北市中正區銅山街２４號２樓,0223-217-599
89,仁安牙醫診所,100,臺北市中正區濟南路二段３之５號,0223-973-393
90,英哲牙醫診所,100,臺北市中正區杭州南路二段５４號,0223-518-552
91,紐約牙醫診所,100,臺北市中正區羅斯福路一段２８號２樓,0223-951-658
92,大宇牙醫診所,100,臺北市中正區羅斯福路一段４６號２Ｆ,0223-217-474
93,大全牙醫診所,100,臺北市中正區忠孝西路一段５０號１８樓３７室,0223-885-858
94,黃牙醫診所,100,臺北市中正區博愛路６８號２Ｆ,0223-117-298
95,大埔牙醫診所,100,臺北市中正區中華路二段９９號,0223-882-169
96,九大牙醫診所,100,臺北市中正區忠孝東路二段９６號１Ｆ,0223-935-167
97,天惠牙醫診所,100,臺北市中正區羅斯福路一段１０２號２Ｆ,0223-930-707
98,長弓牙醫診所,100,臺北市中正區仁愛路二段２６號2樓,0223-942-574
99,博世牙醫診所,100,臺北市中正區濟南路一段7之6號、7之7號,023-938-411
100,玉霖牙醫診所,100,臺北市中正區新生南路一段６０號２樓,0223-218-325
101,博安牙醫診所,100,臺北市中正區仁愛路二段７１號２Ｈ室,0223-911-762
102,瑞石牙醫診所,100,臺北市中正區信義路一段13之4號,02 23955177
103,偉華牙醫診所,100,臺北市中正區汀州路二段203號,0223-671-581
104,誠忠牙醫診所,100,臺北市中正區金門街１２－８號,0223-670-119
105,美東牙醫診所,100,臺北市中正區仁愛路二段４３號２樓,023-577-672
106,華恩牙醫診所,100,臺北市中正區和平西路一段一五四號,0223-058-283
107,口天牙醫診所,100,臺北市中正區丹陽街２２號,023-222-554
108,安安牙醫診所,100,臺北市中正區杭州南路一段15之1號12樓,2356-3427，2391-6300
109,慈聖牙醫診所,100,臺北市中正區羅斯福路一段五十五號一樓,023-418-118
110,優登牙醫診所,100,臺北市中正區和平西路一段八十八號,0933716779  23692087
111,皓齒牙醫診所,100,臺北市中正區羅斯福路一段一三一號四樓,023-510-300
112,君品牙醫診所,100,臺北市中正區延平南路230巷1號,023-714-092
113,和逸牙醫診所,100,臺北市中正區同安街58號1樓,023-695-299
114,劉永生牙醫診所,100,臺北市中正區濟南路二段19號2樓,02-2397-2019
115,西北聯合牙醫診所,100,臺北市中正區汀州路3段249號2樓,0223-657-482
116,金恩牙醫診所,100,臺北市中正區羅斯福路二段16號3樓,023-910-209
117,拉圖牙醫診所,100,臺北市中正區忠孝東路一段146號1、2樓,02-33226186、02-33226187
118,璞鼎牙醫診所,100,臺北市中正區林森北路9巷12號2樓,02-23218658
119,誠伸牙醫診所,100,臺北市中正區信義路二段213號二樓,023-969-979
120,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
121,英士牙醫診所,103,臺北市大同區太原路１５４－１１號,0225-580-512
122,文山堂牙醫診所,103,臺北市大同區南京西路１８５巷５－２號,0225-582-000
123,吳震鵬牙醫診所,103,臺北市大同區大龍街１８３號,0225-960-793
124,杜瑞煙牙醫診所,103,臺北市大同區重慶北路二段１８３－１號三樓,0225-539-010
125,宏偉牙醫診所,103,臺北市大同區延平北路二段２４３號２樓,0225-579-580
126,西寧安泰牙醫診所,103,臺北市大同區西寧北路１５號1樓,0225-527-121
127,杏仁牙醫診所,103,臺北市大同區酒泉街１９３號２樓,0225-956-554
128,建成牙醫診所,103,臺北市大同區西寧北路５１－１號２樓,0225-593-999
129,維明牙醫診所,103,臺北市大同區延平北路三段３４號,0225-914-437
130,劍橋牙醫診所,103,臺北市大同區民權西路144 巷13號1樓、B1,0225-572-858
131,美堅牙醫診所,103,臺北市大同區延平北路三段１１５號２樓,0225-922-688
132,哲安牙醫診所,103,臺北市大同區南京西路１６７巷３－３號２Ｆ,0225-598-032
133,順然牙醫診所,103,臺北市大同區延平北路三段８１號,0225-960-012
134,宏嘉牙醫診所,103,臺北市大同區赤峰街１１號１樓,0225-580-267
135,長興牙醫診所,103,臺北市大同區延平北路二段124號2樓之1,02-25520213
136,章牙醫診所,103,臺北市大同區延平北路二段144巷13之1號,0225-536-730
137,仁偉牙醫診所,103,臺北市大同區民權西路144巷1號（1樓）、3號（1樓）,0225-538-658
138,曾鳳飛牙醫診所,103,臺北市大同區長安西路１１７號二樓,0225-558-527
139,良朋牙醫診所,103,臺北市大同區天水路32號2樓,0225-561-649
140,旭揚牙醫診所,103,臺北市大同區承德路一段４１巷１２號,0225-594-028
141,朝陽牙醫診所,103,臺北市大同區延平北路二段１０９號２樓,0225-563-168
142,全品牙醫診所,103,臺北市大同區寧夏路１１０－３號,0225-575-513
143,三德牙醫診所,103,臺北市大同區承德路三段１００號一樓,02 25963497
144,英瑞牙醫診所,103,臺北市大同區重慶北路二段１１５號2樓,02 25575287
145,欣華牙醫診所,103,臺北市大同區民生西路123號、承德路2段137號8樓之4,02 25538921
146,欣容牙醫診所,103,臺北市大同區重慶北路二段２３５號,0225-577-918
147,大仁牙醫診所,103,臺北市大同區雙連街五十四號一樓,0225-576-035
148,台一牙醫診所,103,臺北市大同區南京西路６１號７樓,0225-590-918
149,傑品牙醫診所,103,臺北市大同區哈蜜街５９巷３１弄１號,0225-996-717
150,博群牙醫診所,103,臺北市大同區延平北路二段２１９號,0225-509-452
151,永新聯合牙醫診所,103,臺北市大同區民族西路156號1樓及158號1樓,0225-971-935
152,天喜牙醫診所,103,臺北市大同區民族西路一三八號一樓,025-950-752
