序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,中央銀行秘書處醫務室,100,臺北市中正區羅斯福路1段2號(第二大樓2樓),02-23571853
3,劉瑞聰診所,100,臺北市中正區汀州路一段１９４號,0223-038-125
4,戰痘診所,100,臺北市中正區襄陽路17號(1樓),02-23756013
5,親子診所,100,臺北市中正區和平西路二段５０號,0223-058-122
6,惠恩診所,100,臺北市中正區濟南路二段四十八巷三至二號,02 23919572
7,蔡明勳診所,100,臺北市中正區羅斯福路二段４０號１樓,023-560-850
8,怡和診所,100,臺北市中正區汀州路二段二一二號,023-625-100
9,新公園診所,100,臺北市中正區襄陽路3號3樓,02-23312714
10,好健康診所,100,臺北市中正區公園路30號11樓,2389169023-811-890
11,美診所,100,臺北市中正區新生南路1段56號4樓,033-224-633
12,長春藤台北忠孝診所,100,臺北市中正區忠孝西路1段50號27樓、27樓之3,6630-9918
13,美麗新診所,100,臺北市中正區重慶南路1段43號2樓之1、2樓之2,023-898-822
14,悠媞時尚診所,100,臺北市中正區許昌街30號4樓,2312-0029
15,佳妍診所,100,臺北市中正區羅斯福路2段136號2樓,023-654-555
16,藝群台北診所,100,臺北市中正區忠孝西路1段102號4樓,02-23832952
17,日明耀診所,100,臺北市中正區重慶南路一段66之1號2樓之1,023-611-190
18,立光診所,100,臺北市中正區博愛路76號2樓,02-2311-2276
19,波菲特醫美診所,100,臺北市中正區羅斯福路二段116號4樓之1,023-620-005
20,身新醫學診所,100,臺北市中正區連雲街87號5樓,02-2322-2566
21,衡觀診所,100,臺北市中正區衡陽路20號6樓,02-27713992
22,星和診所,100,臺北市中正區館前路2號6樓之1,2388-7778
23,臻健康診所,100,臺北市中正區羅斯福路3段28號12樓之1、(13樓),02-23041366、0908286681
24,站前愛爾麗診所,100,臺北市中正區忠孝西路1段6號8樓,2382-0999
25,永愉診所,100,臺北市中正區忠孝東路1段54號3樓,02-55696000
26,站前聖宜診所,100,臺北市中正區許昌街42號(7樓),2382-5001
27,超全能診所,100,臺北市中正區忠孝東路2段136號1樓,02-23222575
28,好甘心診所,100,臺北市中正區公園路30號9樓之1、9樓之2、11樓之1、11樓之2、11樓之3,2370-0887
29,立達診所,100,臺北市中正區忠孝東路1段54號1樓、54之1號(1樓)、54之2號(1樓)、54號2樓、54號3樓,02-55696188
30,站前美力時尚診所,100,臺北市中正區館前路20號4樓,023-819-666
31,君綺美麗診所,100,臺北市中正區忠孝西路1段6號13樓,023-110-588
32,安妞美學診所,100,臺北市中正區羅斯福路1段133號2樓,023-212-669
33,千美診所,100,臺北市中正區新生南路1段60號3樓,023-930-020
34,薇璽美學診所,100,臺北市中正區忠孝東路1段13號7樓,023-581-887
35,海漾大健康管理診所,100,臺北市中正區水源路77號7樓之1,02-23690610
36,珍顏唯上診所,100,臺北市中正區館前路2號6樓,023-700-347
37,醫健診所,100,臺北市中正區新生南路1段56號8樓,023-413-660
38,葛鎂診所,100,臺北市中正區館前路34號9樓,02-27087000
39,蒂恩美學診所,100,臺北市中正區新生南路1段128號4樓,
40,台醫醫聖診所,100,臺北市中正區寧波西街42號6樓之1,0973-920-499
41,光之醫診所,100,臺北市中正區寧波東街3之2號(1樓)、3之3號(1樓),02-23418989
42,華山原美學診所,100,臺北市中正區金山南路1段58號5樓、6樓,
43,東門依定美時尚診所,100,臺北市中正區信義路2段91號3樓,
44,中正安妞美學診所,100,臺北市中正區桃源街1號2樓,02-23112867
45,好心腸診所,100,臺北市中正區公園路30號5樓之2,
46,沐生醫學診所,100,臺北市中正區南昌路1段132號(1樓),
47,疼痛職人診所,100,臺北市中正區新生南路1段56號6樓,02-3343-5000
48,站前美力時尚美形診所,100,臺北市中正區館前路20號11樓,0800-388-666
49,台北新顏診所,100,臺北市中正區許昌街42號(6樓),02-23820032
50,璞悅美學診所,100,臺北市中正區忠孝東路2段88號1樓,02-23930808
51,真美學時尚診所,100,臺北市中正區忠孝西路1段45號2樓,02-23887971
52,嘉德良醫診所,100,臺北市中正區衡陽路20號5樓,02-23882389
53,韓娜斯時尚美醫診所,100,臺北市中正區博愛路83號2樓、85號2樓,02-23704588
54,美兆診所,100,臺北市中正區中華路1段39號7樓,02-23611500
55,美兆國際診所,100,臺北市中正區中華路1段39號6樓,02-23611501
56,醫療財團法人好心肝基金會好心肝診所,100,臺北市中正區公園路30號2樓之2、8樓之1、8樓之2,023-700-827
57,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
58,廣安診所,103,臺北市大同區大龍街１７７巷３號,0225-926-735
59,夏立雲診所,103,臺北市大同區保安街４３號,0225-539-416
60,趙黎海診所,103,臺北市大同區哈密街六十七號,0225-862-385
61,廣博診所,103,臺北市大同區長安西路二二O巷五號,025-594-775
62,伊甸診所,103,臺北市大同區承德路一段66號8樓,025-509-121
63,南西司鉑診所,103,臺北市大同區南京西路30號10樓之1,077-288-872
64,永茂醫美診所,103,臺北市大同區南京西路22號8樓,025-588-365
65,朵薇診所,103,臺北市大同區南京西路288號3樓之9、3樓之10、3樓之11,0225-527-907
66,秀冠植髮診所,103,臺北市大同區延平北路1段110號2樓,02-23259903
67,千暘診所,103,臺北市大同區民權西路268號2樓、2樓之1、2樓之3,2557-0267
68,美平方健康美學診所,103,臺北市大同區鄭州路119號2樓之1,02-25507119
69,喜顏快時尚診所,103,臺北市大同區南京西路18巷4弄4之1號1樓,0982-530-786
70,弄美學診所,103,臺北市大同區承德路3段41號1樓,025-953-852
71,中山淨妍醫美診所,104,臺北市中山區南京東路2段20號3樓,0277-296-711
72,健柏診所,104,臺北市中山區明水路688號(地下一層)、1樓、2樓,02-85015682
