序號,行政區域代碼,縣市代碼,機關,電話
1,63000020,63000,秘書處,02-27256153
2,63000020,63000,民政局,02-27256212
3,63000030,63000,殯葬管理處,02-87329686#29695
4,63000020,63000,社會局,02-27206575
5,63000050,63000,家庭暴力暨性侵害防治中心,02-23615295#6209
6,63000110,63000,陽明教養院,02-28618308
7,63000020,63000,浩然敬老院,02-28581081#501
8,63000020,63000,勞動局,02-27287053
9,63000070,63000,勞動檢查處,02-23086101#770
10,63000070,63000,就業服務處,02-23085230#860
11,63000070,63000,勞動力重建運用處,02-23381600#5020
12,63000110,63000,職能發展學院,02-28721940#207
13,63000020,63000,地政局,02-27287336
14,63000020,63000,土地開發總隊,02-87806055
15,63000020,63000,兵役局,02-23654361#670
16,63000020,63000,法務局,02-27208889#2950
17,63000020,63000,財政局,02-27256324
18,63000050,63000,稅捐處,02-23940181
19,63000020,63000,主計處,02-27287601
20,63000020,63000,資訊局,02-27258071
21,63000020,63000,產業發展局,02-27205729
22,63000020,63000,商業處,02-27574559
23,63000060,63000,市場處,02-25505220#2600
24,63000030,63000,北水處,02-87335882
25,63000050,63000,北水處工程總隊,02-83695189
26,65000060,65000,翡翠水庫管理局,02-26664960
27,63000020,63000,教育局,02-27256463
28,63000030,63000,圖書館,02-27552823#2740
29,63000080,63000,動物園,02-29382315
30,63000110,63000,天文館,02-28314551#107
31,63000010,63000,體育局,02-25702330#6580
32,63000020,63000,觀光傳播局,02-27287568
33,63000020,63000,文化局,02-27208889#3506
34,63000040,63000,北美館,02-25863696
35,63000020,63000,交通局,02-27291257
36,63000020,63000,停車管理工程處,02-27599636
37,63000020,63000,交通管制工程處,02-27599741#7800
38,63000020,63000,公共運輸處,02-27274168#8810
39,63000050,63000,交通事件裁決所,02-23648138
40,63000040,63000,捷運局,02-25218225
41,63000120,63000,第一區工程處,02-28969633#360
42,63000010,63000,第二區工程處,02-25778832
43,63000090,63000,捷運局機工處,02-27881300#141
44,63000050,63000,警察局,02-23887110
45,63000020,63000,消防局,02-27589343
46,63000020,63000,衛生局,02-27592315
47,63000060,63000,聯合醫院,02-25553000#2500
48,63000020,63000,環境保護局,02-27287192
49,63000080,63000,木柵垃圾焚化廠,02-22300759
50,63000100,63000,內湖垃圾焚化廠,02-27942177
51,63000120,63000,北投垃圾焚化廠,02-28360061
52,63000060,63000,環保稽查大隊,02-25923600#305
53,63000020,63000,工務局,02-27256810
54,63000050,63000,公園處,02-23895326
55,63000020,63000,新工處,02-27203592
56,63000020,63000,水利處,02-27258170
57,63000060,63000,衛工處,02-25967960
58,63000020,63000,大地工程處,02-27591055
59,63000020,63000,都市發展局,02-27258333
60,63000040,63000,都市更新處,02-27815696#5301
61,63000020,63000,建管處,02-27258480
62,63000010,63000,松山區公所,02-87878787#231
63,63000020,63000,信義區公所,02-27239777#210
64,63000030,63000,大安區公所,02-23511711#8700
65,63000040,63000,中山區公所,02-25031369#625
66,63000050,63000,中正區公所,02-23416721#230
67,63000060,63000,大同區公所,02-25929752
68,63000070,63000,萬華區公所,02-23064468#330
69,63000080,63000,文山區公所,02-29365522#309
70,63000090,63000,南港區公所,02-27831343#640
71,63000100,63000,內湖區公所,02-27925828#332
72,63000110,63000,士林區公所,02-28826200#8500
73,63000120,63000,北投區公所,02-28912105#411
