行政區,醫療院所,地址,電話,其他聯絡方式
63000070,好視多眼科診所,臺北市萬華區萬大路257號,(02)23392100,
63000070,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街243號,(02)23021133,(眼科分機220)
63000070,陽光眼科診所,臺北市萬華區貴陽街2段81號,(02)23716961,
63000070,西園醫療社團法人西園醫院(僅接受提前電話預約-轉眼科),臺北市萬華區西園路2段270號,(02)23076968,
63000070,吳淑芬眼科診所,臺北市萬華區環河南路2段195號,(02)23060328,
63000070,光晶妍寶島眼科診所,臺北市萬華區萬大路355號,(02)23013556,
63000070,日光眼科診所,臺北市萬華區和平西路3段85號,(02)23063789,
63000020,德明眼科診所,臺北市信義區松山路212號,(02)27669980,
63000020,吳潮峰眼科診所,臺北市信義區永吉路341號,(02)27619240,
63000020,高眼科診所,臺北市信義區莊敬路216號,(02)27589595,
63000020,合安眼科診所,臺北市信義區基隆路2段189號,(02)2378 8288,
63000020,黎明眼科診所,臺北市信義區忠孝東路5段135號7樓,(02)27625333,
63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252 號,(02)27372181,
63000020,新眼光眼科診所,臺北市信義區忠孝東路5段518號,(02)23460266,
63000020,101諾貝爾眼科診所,臺北市信義區信義路5段18號1樓,(02)27582889,
63000090,湯眼科診所,臺北市南港區研究院路1段169號,(02)27888739,
63000090,南港諾貝爾眼科診所,臺北市南港區忠孝東路5段980號,(02)77097388,
63000090,臺北市立聯合醫院-忠孝院區,臺北市南港區同德路87號,(02)27861288,
63000010,方一強眼科診所,臺北市松山區民生東路4段101號2樓,(02)87126815,
63000010,雙眼明眼科診所,臺北市松山區南京東路3段309號2樓,(02)87705569,
63000010,林志聖眼科診所,臺北市松山區三民路140號,(02)27692376,
63000010,傅眼科診所,臺北市松山區八德路3段156號3樓,(02)25772112,
63000010,日聖眼科診所,臺北市松山區新中街35號1樓,(02)27465068,
63000010,尚群眼科診所,臺北市松山區南京東路5段43號,(02)27493176,
63000010,松山大愛眼科診所,臺北市松山區南京東路5段269號,(02)87875616,
63000010,聖光眼科診所,臺北市松山區南京東路4段183號,(02)27183663,
63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,
63000010,博仁綜合醫院,臺北市松山區光復北路66、68號,(02)25786677,
63000120,陳如芬眼科診所,臺北市北投區石牌路1段50號,(02)28203177,
63000120,孫劍鴻眼科診所,臺北市北投區東華街1段392號,(02)28201913,
63000120,王景平眼科診所,臺北市北投區中央南路1段205號,(02)28946580,
63000120,怡鳴眼科診所,臺北市北投區中央北路1段136號,(02)28954952,
63000120,倍視眼科診所,臺北市北投區西安街1段357號,(02)28282020,
63000120,昱新眼科診所,臺北市北投區光明路104號,(02)28919380,
63000120,劉怜瑛眼科診所,臺北市北投區裕民六路126號,(02)28250126,
63000120,臺北榮民總醫院,臺北市北投區石牌路2段201號,(02)28712121,
63000120,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,(02)28970011,
63000120,振興醫療財團法人振興醫院,臺北市北投區振興街45號,(02)28264400,
63000120,臺北市立關渡醫院－委託臺北榮民總醫院經營,臺北市北投區知行路225巷12號,(02)28587000,
63000110,臺北市立聯合醫院-陽明院區,臺北市士林區雨聲街105號,(02)28353456,
