序號,機構名稱,服務區域,郵遞區號,機構地址,聯絡電話,手機
1,十全外科婦產科診所,萬華、中正、大安、文山,235,新北市中和區景新街413號,(02)29434687,
2,行一診所,大安區、中正區、中山區、松山區、信義區、文山區、大同區,106,臺北市大安區新生南路3段19巷8號3樓之1,(02)27840735,
3,蘇診所,萬華區、中正區、大同區,242,新北市新莊區民安路109號1樓,(02)22069926,
4,臺北市立聯合醫院,全區,103,臺北市大同區鄭州路145號,(02)25553000,轉2252
4,天行健診所,萬華區,108,臺北市萬華區寶興街127號,(02)23320688,
5,粱耳鼻喉科診所,士林區,111,臺北市士林區社正路12-1號,(02)28168456,
6,李細祥內科診所,大安區,106,臺北市大安區四維路198巷30弄5號,(02)77058110,轉110
7,陳珀勳診所,士林區、北投區,112,臺北市北投區明德路85號1樓,(02)28206263,
9,快樂兒童診所,萬華區,108,臺北市萬華區寶興街121號,(02)23328610,
10,王永良診所,北投,112,臺北市北投區自強街94號,(02)28227287,
11,長安東診所,全區,104,臺北市中山區長安東路2段50之2號1樓,(02)25670014,
12,洪耳鼻喉科診所,北投區,112,臺北市北投區中央南路一段43號一樓,(02)28928769,
13,承德居家護理所,全區,103,臺北市大同區承德路一段17號7樓之9,(02)25557985,轉206
14,育睿診所,內湖區,114,臺北市內湖區內湖路1段217巷35號,(02)26560801,
15,全佳居家護理所,北投區、士林區、大同區、中山區、中正區,112,臺北市北投區中和街40號6樓之45室,(02)28962900,
16,李文珍小兒科診所,南港區、內湖區,115,臺北市南港區研究院路二段74號,(02)26511871,
17,國立臺灣大學醫學院附設醫院北護分院,中正區、大同區、萬華區,108,臺北市萬華區內江街87號,(02)23717101,轉5804
18,康健居家護理所,南港區、內湖區,114,臺北市內湖區民權東路六段180巷6號11樓之19,(02)87919104,
19,光明診所,北投區、士林區、內湖區、中山區、大同區、松山區及萬華區,112,臺北市北投區石牌路二段99巷55號1樓,(02)28210197,
20,財團法人獎卿護理展望基金會大台北居家護理所,大安區、中正區,106,臺北市大安區和平東路一段216號10樓,(02)23646040,轉17
21,台灣基督長老教會馬偕醫療財團法人附設馬偕居家護理所,中山區、大同區,104,臺北市中山區中山北路二段96巷9號1-3號,(02)25433535,
22,台北欣安耳鼻喉科診所,北投區,112,臺北市北投區石牌路一段152號1樓,(02)28210501,
23,康育診所,內湖區,114,臺北市內湖區成功路三段189號2F,(02)27909134,
24,適健復健科診所,大安區、中正區、信義區,106,臺北市大安區忠孝東路四段166號8樓,(02)87717039,
25,稻香居家護理所(委託臺北榮民總醫院經營管理),士林區、北投區,112,臺北市北投區稻香路81號6樓,(02)28956015,
26,大直復健科診所,士林區、大同區、中山區、松山區及南港區,104,臺北市中山區北安路630巷25弄16號,,988038932
27,合康居家護理所,全區,108,臺北市萬華區和平西路三段396號1樓,,913560958
28,全人居家護理所,南港區、內湖區,221,新北市汐止區長興街2段60號2樓之一,,978850600
29,凱琳居家護理所,全區,104,臺北市中山區敬業二路69巷57號7樓之1,,975803933
