序號,縣市別代碼,機構名稱,地址,電話
1,63000,臺北市立聯合醫院附設和平婦幼居家護理所,臺北市中正區中華路二段33號,02-23889595
2,63000,永愛居家護理所,臺北市中正區福州街1號10樓之2,02-23711959
3,63000,泰安居家護理所,臺北市中正區泉州街14-1號,02-25375633
4,63000,惠馨居家護理所,臺北市中正區漢口街一段85號8樓之3,0937-006-994
5,63000,臺北市立聯合醫院附設中興居家護理所,臺北市大同區鄭州路145號,02-25523234
6,63000,承德居家護理所,臺北市大同區承德路一段17號7樓之9,02-25557985
7,63000,共護家居家護理所,臺北市大同區西寧北路86巷9號2樓之1,0933-875142
8,63000,吉馨安居家護理所,臺北市大同區甘州街51號4樓,0921-066248
9,63000,迦和居家護理所,臺北市中山區新生北路3段34號8樓之4,0965-250760
10,63000,凱琳居家護理所,臺北市中山區敬業二路69巷57號7樓之1,0975-803933
11,63000,溫邸家居家護理所,臺北市中山區新生北路二段72巷23號1樓,02-27546526
12,63000,臺北市立聯合醫院附設林森中醫居家護理所,臺北市中山區林森北路530號6樓,02-25916681
13,63000,安歆居家護理所,臺北市中山區松江路50號3樓,02-25372586
14,63000,台灣基督長老教會馬偕醫療財團法人附設馬偕居家護理所,臺北市中山區中山北路二段96巷9號1-3樓,02-23433535
15,63000,博仁綜合醫院附設居家護理所,臺北市松山區光復北路66號6樓,02-25782518
16,63000,三軍總醫院松山分院附設民眾診療服務處附設居家護理所,臺北市松山區健康路131號,02-27642151
17,63000,基督復臨安息日會醫療財團法人附設臺安居家護理所,臺北市松山區八德路2段400號5樓,02-27718151#2777
18,63000,苾滿居家護理所,臺北市松山區八德路2段447號7樓之1,02-27717289
19,63000,國泰醫療財團法人附設居家護理所,臺北市大安區仁愛路四段376號11樓,02-27082121#3956
20,63000,臺北市立聯合醫院附設仁愛居家護理所,臺北市大安區仁愛路四段十號,02-27093600
21,63000,財團法人獎卿護理展望基金會大台北居家護理所,臺北市大安區和平東路一段２１６號十樓,02-23646040
22,63000,協樂居家護理所,臺北市大安區復興南路一段368號13樓F1302室,02-7728-8848#301
23,63000,合康居家護理所,臺北市萬華區和平西路三段396號1樓105室,02-23080680
24,63000,國立臺灣大學醫學院附設醫院北護分院附設居家護理所,臺北市萬華區康定路37號,02-23717101
25,63000,同仁院醫療財團法人附設居家護理所,臺北市萬華區中華路2段606巷6號6樓,02-23059292#303
26,63000,財團法人臺灣省私立臺北仁濟院附設仁濟醫院附設居家護理所,臺北市萬華區廣州街243號,02-23021133
27,63000,愛吾愛居家護理所,臺北市萬華區大理街171-1號2樓208室,02-23087286
28,63000,信慈居家護理所,臺北市信義區忠孝東路5段410號7樓,02-87803099
29,63000,財團法人私立台北醫學大學附設醫院附設居家護理所,臺北市信義區莊敬路330號5樓,02-39383944
30,63000,新光醫療財團法人附設新光居家護理所,臺北市士林區文昌路95號,02-28332211#2600
31,63000,臺北市立聯合醫院附設陽明居家護理所,臺北市士林區雨聲街105號6樓,02-28353456#6306
32,63000,全佳居家護理所,臺北市北投區中和街40號6樓之45,02-28962900
33,63000,育幸福居家護理所,臺北市北投區大同街301號,02-28958590
34,63000,振興醫療財團法人附設振興居家護理所,臺北市北投區振興街45號,02-28264400#6030
35,63000,稻香居家護理所(委託臺北榮民總醫院經營管理),臺北市北投區稻香路81號6樓,02-28958575
36,63000,臺北市立關渡醫院-委託臺北榮民總醫院經營附設居家護理,臺北市北投區知行路225巷12號,02-28587163
37,63000,臺北榮民總醫院附設居家護理所,臺北市北投區石牌路二段322號致德樓R2,02-28712121
38,63000,好運居家護理所,臺北市內湖區民權東路6段266號6樓,0907-358588
39,63000,康健居家護理所,臺北市內湖區民權東路6段180巷6號6樓之18,0921-248200
40,63000,康寧醫療財團法人附設康寧居家護理所,臺北市內湖區成功路五段420巷26號2樓,02-26345500
41,63000,三軍總醫院附設民眾診療服務處附設居家護理所,臺北市內湖區成功路二段325號,02-87927056
42,63000,新聯寬居家護理所,臺北市內湖區民權東路6段123巷18號4樓之1,02-87928255
43,63000,全心居家護理所,臺北市內湖區石潭路27號3樓之2,02-27956926
44,63000,臺北市獨立型態成福居家護理所,臺北市南港區成福路204號4樓之3,02-27863412
45,63000,臺北市立聯合醫院附設忠孝居家護理所,臺北市南港區同德路８７號,02-27861288
46,63000,臺北市獨立型態南港居家護理所,臺北市南港區福德街373巷39號1樓,02-27856997
47,63000,安德利居家護理所,臺北市南港區八德路四段873號3樓,989135021
48,63000,前瞻居家護理所,臺北市文山區辛亥路4段21巷10號9樓A室,02-89312546
49,63000,景美醫院附設居家護理,臺北市文山區萬慶街13巷9號1樓,02-2935-1216
50,63000,臺北市立萬芳醫院─委託臺北醫學大學辦理附設居家護理所,臺北市文山區萬美街一段25號B1,02-29307930
51,63000,北斗星居家護理所,臺北市文山區景文街42號3樓312R,02-86638637
