項次,機構名稱,行政區域代碼,地址,電話
1,三軍總醫院松山分院附設民眾診療服務處,63000010,臺北市松山區健康路１３１號,(02)27462151
2,三軍總醫院附設民眾診療服務處,63000100,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311
3,中山醫療社團法人中山醫院,63000030,臺北市大安區仁愛路四段112巷11號、臺北市仁愛路四 段112巷12號1-4樓,(02)27081166
4,中心診所醫療財團法人中心綜合醫院,63000030,臺北市大安區忠孝東路四段７７號,(02)27510221
5,中國醫藥大學附設醫院臺北分院,63000100,臺北市內湖區內湖路二段360號、362號,(02)27919696
6,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000040,臺北市中山區中山北路二段９２號,(02)25433535
7,西園醫療社團法人西園醫院,63000070,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,(02)23329888
8,秀傳醫院,63000030,臺北市大安區光復南路116巷1、3、5號1至4樓及地下1樓,(02)27717172
9,長庚醫療財團法人台北長庚紀念醫院,63000010,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號、 臺北市松山區民生東路三段130巷9號2、3、B1、B2樓、臺北市松山區南京東路3段337號5、6、9、10樓。,(02)27135211
10,振興醫療財團法人振興醫院,63000120,臺北市北投區振興街４５號,(02)28264400
11,國立台灣大學醫學院附設醫院,63000050,臺北市中正區中山南路７、８號；常德街１號,(02)23123456
12,國立臺灣大學醫學院附設醫院北護分院,63000070,臺北市萬華區康定路３７號、臺北市萬華區內江街87號、臺北市萬華區內江街87號、臺北市萬華區內江街89號 (文教大樓1樓及供應樓1至2樓)  ,(02)23717101
13,國立臺灣大學醫學院附設醫院癌醫中心分院,63000030,臺北市大安區基隆路 3段155巷57號 ,(02)23220322
14,國泰醫療財團法人國泰綜合醫院,63000030,臺北市大安區仁愛路四段266巷6號，280號,(02)27082121
15,基督復臨安息日會醫療財團法人臺安醫院,63000010,"臺北市松山區八德路二段424,426號",(02)27718151
16,康寧醫療財團法人康寧醫院,63000100,臺北市內湖區成功路五段４２０巷２６號,(02)26345500
17,博仁綜合醫院,63000010,臺北市松山區光復北路66號、68號地下一層、68號、68號2至7樓、68號2樓之1至7樓之1、68號2樓之2至7樓之2,(02)25786677
18,新光醫療財團法人新光吳火獅紀念醫院,63000110,臺北市士林區文昌路95號及士商路51號、51號2樓、51號3樓、51號4樓、51號5樓、51號6樓、51號7樓、53號、55號、57號、臺北市士林區基河路252號1樓,(02)28332211
19,臺北市立萬芳醫院-委託臺北醫學大學辦理,63000080,臺北市文山區興隆路三段111號,(02)29307930
20,臺北市立聯合醫院,63000060,臺北市大同區鄭州路145號,(02)25523234
21,臺北市立關渡醫院─委託臺北榮民總醫院經營,63000120,臺北市北投區知行路二二五巷十二號,(02)28587000
22,臺北榮民總醫院,63000120,臺北市北投區石牌路二段201號、322號,(02)28712121
23,臺北醫學大學附設醫院,63000020,臺北市信義區吳興街２５2號、250號,(02)27372181
24,醫療財團法人辜公亮基金會和信治癌中心醫院,63000120,臺北市北投區立德路１２５號,(02)28970011
