項次編號,社團/團體,地址,縣市名稱,行政區域,縣市別代碼,郵遞區號
1,中華民國原住民知識經濟發展協會,臺北市文山區興隆路二段153巷1弄5號,臺北市,文山區,10001,116
2,社團法人臺灣原住民族生存發展協會,臺北市中正區杭州南路1段10號4樓,臺北市,中正區,10001,100
3,社團法人臺灣原住民國際藝文產經交流協會,臺北市信義區忠孝東路4段563號8樓,臺北市,信義區,10001,110
4,社團法人臺北市原住民族教師協會,臺北市松山區敦化北路50巷23號3樓,臺北市,松山區,10001,105
5,社團法人臺北市原住民關懷協會,臺北市中山區中山北路2段137巷18-13號,臺北市,中山區,10001,104
6,社團法人臺北市原住民婦女會,臺北市中山區新生北路2段28巷5號17樓,臺北市,中山區,10001,104
7,社團法人臺灣興起全人關懷協會,臺北市中正區金山南路一段9號9樓,臺北市,中正區,10001,100
8,臺灣原住民族文化推廣協會,臺北市文山區溪口街58號 1F,臺北市,文山區,10001,116
9,臺北市東湖快樂窩原住民服務協會,臺北市內湖區成功路5段450巷22弄18號3樓,臺北市,內湖區,10001,114
10,中華民國臺灣原住民族文化發展協會,臺北市文山區木新路2段161巷10號1樓,臺北市,文山區,10001,116
11,社團法人臺灣原住民族產業經濟發展協會,新北市樹林區柑園街1段133巷6號B棟,新北市,樹林區,10001,238
12,臺灣原住民文化藝術永續協會,臺北市大安區和平東路3段606巷42號,臺北市,大安區,10001,106
13,中華民國原住民體育發展協會,臺北市士林區社正路44-4號5樓,臺北市,士林區,10001,111
14,臺灣太古原住民族祭司文化發展協會,臺北市北投區溫泉路86號,臺北市,北投區,10001,112
15,臺北市原住民海洋社會教育研究協會,臺北市大安區市民大道3段150巷5號12樓,臺北市,大安區,10001,106
16,臺北市原住民聯合服務協進會,臺北市內湖區康寧路3段189巷93弄26號9樓,臺北市,內湖區,10001,114
17,社團法人臺北市原住民族長青協會,臺北市南港區興中路28巷1號2樓,臺北市,南港區,10001,115
18,臺北原住民e化資訊協會,臺北市文山區忠順街二段68號1樓,臺北市,文山區,10001,116
19,臺北市原住民公共事務促進會,臺北市南港區興中路28巷1號2樓,臺北市,南港區,10001,115
20,臺北原民扶輪社,臺北市中正區寶慶路67號6樓,臺北市,中正區,10001,100
21,臺北市娜魯灣文化協會,臺北市內湖區文湖街21巷82弄19號2樓,臺北市,內湖區,10001,114
22,臺北市原住民太魯閣族文化永續協會,臺北市大安區信義路四段279號6樓,臺北市,大安區,10001,106
23,臺北市青年運動協會,臺北市北投區杏林二路64-4號1樓,臺北市,北投區,10001,112
24,臺北市都會原住民族生活促進教育發展協會,臺北市中正區襄陽路13_4號8樓,臺北市,中正區,10001,100
25,中華原住民文化發展交流協會,新北市中和區大智街42巷3號4樓,新北市,中和區,10001,235
26,原聲文化藝術團,臺北市信義區忠孝東路4段500號B1,臺北市,信義區,10001,110
27,新世紀文化藝術團,臺北市文山區羅斯福路5段150巷26號1樓,臺北市,文山區,10001,116
28,泰雅風情舞蹈團,臺北市中山區民生東路1段4 號,臺北市,中山區,10001,104
29,傌儷芭里文化藝術團,臺北市大安區信義路4段279號8樓,臺北市,大安區,10001,106
30,原潮舞集,臺北市內湖區陽光街70-1號,臺北市,內湖區,10001,114
31,阿米濃文化藝術團,"臺北市南港區忠孝東路6段70巷5弄5號7樓
通訊地址:新北市淡水區淡金路202 巷 15 號",臺北市,南港區,10001,115
32,原舞素文化藝術團,臺北市中正區寧波西街97號13樓,臺北市,中正區,10001,100
33,原聲演人,臺北市大安區新生南路三段56巷6號B1,臺北市,大安區,10001,106
34,部落文化藝術團,臺北市大同區重慶北路三段205巷14號3樓,臺北市,大同區,10001,103
35,臺灣原住民源劇文化藝術團,"臺北市北投區大度路三段301巷28弄24號5樓
聯絡地址:25173新北市淡水區公明街58號5樓",臺北市,北投區,10001,112
36,輪未來表演藝術工作坊,"臺北市松山區八德路四段755號6樓之2 
聯絡地址:241新北市三重區中央北路90巷55號1樓",臺北市,松山區,10001,105
37,娜祿灣文化藝術團,臺北市大安區市民大道3段150巷5號12樓,臺北市,大安區,10001,106
38,艾秧樂集,臺北市內湖區康寧路三段99巷17弄93號2樓,臺北市,內湖區,10001,114
39,有限責任臺北市原住民理貨勞動合作社,臺北市北投區承德路7段401巷187之6號,臺北市,北投區,10001,112
40,有限責任臺北市原住民餐旅服務勞動合作社,臺北市松山區南京東路5段156號7樓之1,臺北市,松山區,10001,105
41,財團法人臺灣基督長老教會臺北東門教會,臺北市中正區仁愛路二段76號,臺北市,中正區,10001,100
42,中華民國基督教臺北佳音教會,臺北市信義區忠孝東路4段500號B1,臺北市,信義區,10001,110
43,玉成基督長老教會,臺北市南港區重陽路235巷12號5F,臺北市,南港區,10001,115
44,臺北市凱達格蘭長老會宣道協會,臺北市北投區中和街377號,臺北市,北投區,10001,112
45,恩雨靈糧堂,臺北市松山區南京東路五段225號8樓,臺北市,松山區,10001,105
46,Arise興起教會,臺北市中正區金山南路一段9號9樓,臺北市,中正區,10001,100
47,神愛教會,臺北市中山區中山北路2段137巷18-13號 B1,臺北市,中山區,10001,104
48,影響力豐盛教會,臺北市大同區民權西路106號B1,臺北市,大同區,10001,103
49,臺北市原住民大專學生中心,臺北市中正區羅斯福路三段269巷3號 B1,臺北市,中正區,10001,100
50,南港耶穌聖心堂(成德天主堂),臺北市南港區忠孝東路6段114號,臺北市,南港區,10001,115
51,百加教會,"臺北市大同區甘州街38號
聯絡地址:新北市中和區中山路二段131巷2弄11-3號",臺北市,大同區,10001,103
52,名山教會,臺北市士林區文林路587 巷 107 號,臺北市,士林區,10001,111
53,AM 家族文化團隊,臺北市士林區重慶北路4段99號4樓,臺北市,士林區,10001,111
54,臺北市玉成儲蓄互助社,臺北市南港區南港路1段281號3樓,臺北市,南港區,10001,115
55,中華民國希望之城全人關懷協會,臺北市大同區民權西路106號B1,臺北市,大同區,10001,103
56,順益臺灣原住民博物館,臺北市士林區至善路二段282號,臺北市,士林區,10001,111
57,臺北市體育總會慢速壘球協會,臺北市信義區莊敬路325巷43號B2,臺北市,信義區,10001,110
