編號,機構名稱,行政區,行政區碼,110年,111年,112年,113年,114年
1,臺北市私立安筠托嬰中心,中正區,63000050,,,甲,,
2,臺北市私立宥緣托嬰中心,中正區,63000050,,乙,,,乙
3,臺北市私立宥宜托嬰中心,中正區,63000050,,乙,,,乙
4,立法院附設臺北市私立員工子女托嬰中心,中正區,63000050,,優,,,優
5,臺北市私立小天心東門托嬰中心,中正區,63000050,,優,,,乙
6,臺北市私立維棠托嬰中心,中正區,63000050,,,甲,,
7,臺北市私立家森寶貝托嬰中心,中正區,63000050,,甲,,,乙
8,臺北市私立小天心晴晴托嬰中心,中正區,63000050,甲,,,優,
9,臺北市私立萌芽托嬰中心,中正區,63000050,,乙,,,甲
10,臺北市私立小天心壹壹托嬰中心,中正區,63000050,,,,甲,
11,臺北市私立小天心菲菲托嬰中心,中正區,63000050,,,,,甲
12,臺北市私立樂寶托嬰中心,中正區,63000050,,,,甲,
13,臺北市私立詠荺托嬰中心,大同區,63000060,,,丙,已歇業,
14,臺北市私立海王子托嬰中心,大同區,63000060,,甲,,,甲
15,臺北市私立喜樂大同托嬰中心,大同區,63000060,,乙,,,甲
16,臺北市私立小育龍延平托嬰中心,大同區,63000060,,,乙,,
17,臺北市私立安安堡托嬰中心,大同區,63000060,,,,甲,
18,臺北市私立漢妮托嬰中心,中山區,63000040,甲,,,甲,
19,臺北市私立卡兒堡托嬰中心,中山區,63000040,,乙,,,乙
20,臺北市私立日光貝比托嬰中心,中山區,63000040,,,甲,,
21,臺北市私立笙愛托嬰中心,中山區,63000040,,乙,,,
22,臺北市私立韋斯登托嬰中心,中山區,63000040,乙,,,甲,
23,臺北市私立松江蒙特梭利托嬰中心,中山區,63000040,,,乙,,
24,臺北市私立萌家園托嬰中心,中山區,63000040,,優,,,優
25,臺北市私立布萊茲托嬰中心,中山區,63000040,,乙,,,乙
26,臺北市私立龍江媽咪托嬰中心,中山區,63000040,,乙,,,乙
27,臺北市私立愛寶貝大直園托嬰中心,中山區,63000040,,甲,,,甲
28,臺北市私立宜家托嬰中心,中山區,63000040,,,優,,
29,臺北市私立蘊品蒙特梭利托嬰中心,中山區,63000040,,,乙,,
30,臺北市私立大愛托嬰中心,中山區,63000040,乙,,,甲,
31,臺北市私立寶貝托嬰中心,中山區,63000040,甲,,,甲,
32,臺北市私立露西亞托嬰中心,中山區,63000040,,乙,,,乙
33,臺北市私立精英寶貝托嬰中心,中山區,63000040,,乙,,,
34,臺北市私立愛寶貝明水園托嬰中心,中山區,63000040,,甲,,,甲
35,臺北市私立新寶托嬰中心,中山區,63000040,丙(輔導通過),已停業,,,
36,臺北市私立健寶兒長安托嬰中心 ,中山區,63000040,,,乙,,
37,臺北市私立小庭園托嬰中心,中山區,63000040,,,乙,,
38,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院附設臺北市私立馬偕員工子女托嬰中心,中山區,63000040,,,優,,
39,臺北市私立詠欣托嬰中心,中山區,63000040,,,,甲,
40,臺北市私立健寶兒英琦托嬰中心,中山區,63000040,,,,乙,
41,臺北市私立漢妮明水園托嬰中心,中山區,63000040,,,,乙,
42,臺北市私立中山滿天星托嬰中心,中山區,63000040,,,,,甲
43,臺北市私立籽兒托嬰中心 ,中山區,63000040,,,,,乙
44,臺北市私立勁寶兒民權托嬰中心,松山區,63000010,,,甲,,
45,臺北市私立豐村托嬰中心,松山區,63000010,乙,,,乙,
46,臺北市私立多多托嬰中心,松山區,63000010,,,優,,
47,臺北市私立凱思托嬰中心,松山區,63000010,,,甲,,
48,臺北市私立哈寶寶托嬰中心,松山區,63000010,甲,,,乙,
49,臺北市私立耕心寶貝家族托嬰中心,松山區,63000010,,,甲,,
50,臺北市私立采禾托嬰中心,松山區,63000010,,甲,,,甲
51,臺北市私立日恩托嬰中心,松山區,63000010,,甲,,,乙
52,臺北市私立健寶兒托嬰中心,松山區,63000010,,乙,,,乙
53,臺北市私立童欣寶貝熊托嬰中心,松山區,63000010,,,丙(輔導通過),,
54,臺北市私立勁寶兒延吉托嬰中心,松山區,63000010,甲,,,甲,
55,臺北市私立哈寶貝托嬰中心,松山區,63000010,,甲,,,乙
56,臺北市私立悅福托嬰中心,松山區,63000010,,,甲,,
57,臺北市私立悅和托嬰中心,松山區,63000010,乙,,,甲,
58,臺北市私立天使寶貝蒙特梭利托嬰中心,松山區,63000010,甲,,,乙,
59,臺北市私立咩咩羊托嬰中心,松山區,63000010,乙,,,乙,
60,臺北市私立小麥穗托嬰中心,松山區,63000010,乙,,,甲,
61,臺北市私立育芯托嬰中心,松山區,63000010,,甲,,,乙
62,臺北市私立愛可兒托嬰中心,松山區,63000010,,乙,,,甲
63,臺北市私立新田小屋托嬰中心,松山區,63000010,,優,,,甲
64,臺北市私立健寶兒敦北托嬰中心,松山區,63000010,,甲,,,甲
65,臺北市私立麥穗兒托嬰中心,松山區,63000010,,,乙,,
66,臺北市私立健寶兒吉祥托嬰中心,松山區,63000010,,,丙,,
67,臺北市私立牧星托嬰中心,松山區,63000010,,,乙,,
68,臺北市私立玥康托嬰中心,松山區,63000010,,,,甲,
69,臺北市私立咩咩羊南京托嬰中心 ,松山區,63000010,,,,乙,
70,臺北市私立人愛托嬰中心,大安區,63000030,,,乙,,
71,臺北市私立寶兒女成長園地托嬰中心,大安區,63000030,丙(輔導通過),,,乙,
72,臺北市私立菲力兒托嬰中心,大安區,63000030,,優 ,,,優
73,臺北市私立全家托嬰中心,大安區,63000030,,甲,,,
74,臺北市私立陽光小屋托嬰中心,大安區,63000030,丙(輔導通過),,,乙,
75,臺北市私立小磊心托嬰中心,大安區,63000030,,,甲,,
76,臺北市私立吉事達康博喜托嬰中心,大安區,63000030,甲,,,乙,
77,臺北市私立華康托嬰中心,大安區,63000030,,,甲,,
78,臺北市私立凱瑞莎托嬰中心,大安區,63000030,,乙,,,
79,臺北市私立亞瑟王皇家托嬰中心,大安區,63000030,,丙(輔導通過),,,丙(列入輔導)
80,臺北市私立滿兒圓蒙特梭利托嬰中心,大安區,63000030,,乙,,,乙
81,臺北市私立璽愛托嬰中心,大安區,63000030,,,甲,,
82,臺北市私立勁寶兒大安托嬰中心,大安區,63000030,,,乙,,
83,臺北市私立萌語托嬰中心,大安區,63000030,,優,,,優
84,臺北市私立芭蒂恩蒙氏家園托嬰中心,大安區,63000030,,甲,,,乙
85,臺北市私立鑫田托嬰中心,大安區,63000030,乙,,,乙,
86,臺北市私立小天心托嬰中心,大安區,63000030,,,乙,,
87,臺北市私立以愛托嬰中心,大安區,63000030,,甲,,,乙
88,臺北市私立橘子樹寶貝托嬰中心,大安區,63000030,乙,,,乙,
89,臺北市私立新生蒙特梭利托嬰中心,大安區,63000030,,乙,,,甲
90,臺北市私立凱瑞莎青田托嬰中心,大安區,63000030,,甲,,,甲
91,臺北市私立采侑托嬰中心,大安區,63000030,,甲,,,甲
92,臺北市私立翻轉學堂托嬰中心,大安區,63000030,,甲,,,乙
93,臺北市私立天心大安托嬰中心,大安區,63000030,,甲,,,優
94,臺北市私立幸福日光托嬰中心,大安區,63000030,乙,,,乙,
95,臺北市私立夏莉絲托嬰中心,大安區,63000030,乙,,,甲,
96,臺北市私立萌語大安托嬰中心,大安區,63000030,,,乙,,
97,臺北市私立小樹屋托嬰中心,大安區,63000030,,乙,,,
98,臺北市私立小樹蒙特梭利托嬰中心,大安區,63000030,,,甲,,
99,臺北市私立廣蕎托嬰中心,大安區,63000030,,,乙,,
100,臺北市私立巧心托嬰中心,大安區,63000030,,,丙,,
101,臺北市私立朗樂托嬰中心,大安區,63000030,,,,乙,
102,臺北市私立幸福暖陽托嬰中心,大安區,63000030,,,,,甲
103,臺北市私立沐樂托嬰中心,大安區,63000030,,,,,乙
104,臺北市私立陽陽托嬰中心,大安區,63000030,,,,,乙
105,臺北市私立萌語信義托嬰中心,大安區,63000030,,,,,優
106,臺北市私立小育龍托嬰中心,萬華區,63000070,,甲,,,甲
107,臺北市私立安馨托嬰中心,萬華區,63000070,,,甲,,
108,臺北市小育龍莒光托嬰中心,萬華區,63000070,,甲,,,甲
109,臺北市私立瑞吉歐托嬰中心,萬華區,63000070,,甲,,,甲
110,臺北市私立安馨寶貝托嬰中心,萬華區,63000070,,甲,,,甲
111,臺北市私立小時候托嬰中心,萬華區,63000070,,,乙,,
112,臺北市私立咕咕園信義托嬰中心,信義區,63000020,,丙(輔導通過),,乙,
113,臺北市私立薇薇安娃娃國托嬰中心,信義區,63000020,,乙,,,甲
114,臺北市私立薇薇安娃娃國信義園托嬰中心,信義區,63000020,乙,,,甲,
115,臺北市私立信義小太陽托嬰中心,信義區,63000020,,乙,,,乙
116,臺北市私立維多利亞托嬰中心,信義區,63000020,,甲,,,
117,臺北市私立薇薇安娃娃國興雅園托嬰中心,信義區,63000020,乙,,,乙,
118,臺北市私立薇薇安娃娃國松德園托嬰中心,信義區,63000020,乙,,,乙,
119,臺北市私立柚子樹托嬰中心,信義區,63000020,,乙,,,
120,臺北市私立信義蒙特梭利托嬰中心,信義區,63000020,,,,甲,
121,臺北市政府員工子女托嬰中心,信義區,63000020,,,,,優
122,財團法人台灣中油股份有限公司職工福利委員會附設臺北市私立中油員工子女托嬰中心,信義區,63000020,,,,,甲
123,臺北市私立怡寶優質托嬰中心,士林區,63000110,,,甲,,
124,臺北市私立怡寶托嬰中心,士林區,63000110,,,優,,
125,臺北市私立怡寶資優托嬰中心,士林區,63000110,,優,,,優
126,臺北市私立好來托嬰中心,士林區,63000110,,乙,,,停業中
127,臺北市私立春田托嬰中心,士林區,63000110,,甲,,,甲
128,臺北市私立萌語天母托嬰中心,士林區,63000110,,優,,,優
129,臺北市私立春田天母托嬰中心,士林區,63000110,,,甲,,
130,臺北市私立怡寶質優托嬰中心,士林區,63000110,優,,,甲,
131,臺北市私立長藤托嬰中心,士林區,63000110,甲,,,甲,
132,臺北市私立維薆托嬰中心,士林區,63000110,甲,,,甲,
133,臺北市私立好來天母托嬰中心,士林區,63000110,甲,,,甲,
134,臺北市私立孩子國萌寶托嬰中心,士林區,63000110,,甲,,,甲
135,臺北市私立雨聲托嬰中心,士林區,63000110,,優,,,優
136,臺北市私立幼天才托嬰中心,士林區,63000110,,優,,,甲
137,臺北市私立怡寶士林官邸托嬰中心,士林區,63000110,甲,,,優,
138,臺北市私立微笑音符托嬰中心,士林區,63000110,,乙,,,乙
139,臺北市私立長藤幼苗托嬰中心,士林區,63000110,,甲,,,甲
140,臺北市私立蘭瑛托嬰中心,士林區,63000110,,,甲,,
141,臺北市私立蘇培兒托嬰中心,士林區,63000110,,,乙,,
142,臺北市私立怡寶美好時光托嬰中心,士林區,63000110,,,,優,
143,臺北市私立萌薆托嬰中心,士林區,63000110,,,,甲,
144,臺北市私立小熊搖籃天母一館托嬰中心,士林區,63000110,,,,乙,
145,臺北市私立太和蒙特梭利托嬰中心,士林區,63000110,,,,乙,
146,臺北市私立日和蒙特梭利托嬰中心,士林區,63000110,,,,乙,
147,臺北市私立芳馨園二館托嬰中心,北投區,63000120,甲,,,乙,
148,臺北市私立安格托嬰中心,北投區,63000120,,乙,,,乙
149,臺北市私立向暘托嬰中心,北投區,63000120,,甲,,,甲
150,臺北市私立幼輝托嬰中心,北投區,63000120,,,甲,,
151,臺北市私立可瑞荳托嬰中心,北投區,63000120,,,甲,,
152,臺北市私立芳馨園托嬰中心,北投區,63000120,,甲,,,甲
153,臺北市私立貝兒托嬰中心,北投區,63000120,優,,,甲,
154,臺北市私立小腳ㄚ托嬰中心,北投區,63000120,,甲,,,甲
155,臺北市私立小腳ㄚ大未來托嬰中心,北投區,63000120,,甲,,,甲
156,臺北市私立樂葳兒托嬰中心,北投區,63000120,甲,,,乙,
157,臺北市私立天華托嬰中心,北投區,63000120,甲,,,甲,
158,臺北市私立滿月蒙特梭利托嬰中心,北投區,63000120,,乙,,,丙(列入輔導)
159,臺北市私立是愛托嬰中心,北投區,63000120,,丙(輔導通過),,乙,
160,臺北市私立明德寶寶托嬰中心,北投區,63000120,,丙(輔導通過),,丙,
161,臺北市私立禾禾托嬰中心,北投區,63000120,,,,,甲
162,臺北市私立禾禾森林托嬰中心,北投區,63000120,,,,,甲
163,臺北市私立天華石牌托嬰中心,北投區,63000120,,,乙,,
164,臺北市私立快樂托嬰中心,內湖區,63000100,乙,,,甲,
165,臺北市私立小小百合蒙特梭利托嬰中心,內湖區,63000100,甲,,,甲,
166,臺北市私立葛瑞兔托嬰中心,內湖區,63000100,優,,,丙(輔導通過),
167,臺北市私立櫻之圓蒙特梭利托嬰中心,內湖區,63000100,優,,,甲,
168,臺北市私立拉斐爾托嬰中心,內湖區,63000100,甲,,,甲,
169,臺北市私立嘉霙托嬰中心,內湖區,63000100,,甲,,,已停業
170,臺北市私立拉斐爾天使托嬰中心,內湖區,63000100,丙(輔導通過),,已停業,,
171,臺北市私立斑比托嬰中心,內湖區,63000100,,甲,,,甲
172,臺北市私立愛德芬托嬰中心,內湖區,63000100,,,乙,,
173,臺北市私立維多爾托嬰中心,內湖區,63000100,甲,,,甲,
174,臺北市私立勁寶兒文德托嬰中心,內湖區,63000100,,甲,,,甲
175,臺北市私立愛寶貝內湖園托嬰中心,內湖區,63000100,,甲,,,甲
176,臺北市私立艾兒嘉托嬰中心,內湖區,63000100,,甲,,,乙
177,臺北市私立永寶兒托嬰中心,內湖區,63000100,,乙,,,乙
