序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,醫療財團法人台灣血液基金會台北捐血中心,100,臺北市中正區南海路１號３樓＆北投區立德路１２３號,(02) 2351-1600
3,國軍台北門診中心附設民眾診療服務處,100,臺北市中正區紹興南街7號,2391-2630
4,外交部醫務室,100,臺北市中正區凱達格蘭大道2號,2348-2078
5,衛生福利部疾病管制署健康中心,100,臺北市中正區林森南路6號1樓,02-23959825
6,敦智內科診所,100,臺北市中正區懷寧街１９號,(02) 2361-3587
7,張孟源內科診所,100,臺北市中正區中華路二段３２５號,(02) 2309-8600
8,彭內科診所,100,臺北市中正區?門街35號,(02) 2367-5690
9,?安診所,100,臺北市中正區和平西路一段20號5樓,2363-7588
10,宜康診所,100,臺北市中正區新生南路一段148號,02-23417696
11,家禾診所,100,臺北市中正區三元街217號1樓、2樓,2333-1368
12,元泰診所,100,臺北市中正區羅斯福路3段2號2樓,02-23680523
13,銘人診所,100,臺北市中正區博愛路9號3樓,02-7755-7566
14,優源診所,100,臺北市中正區信義路2段7號2樓之1,02-23222095
15,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
16,郵政醫院（委託中英醫療社團法人經營）,100,臺北市中正區福州街14號,02-23956755
17,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,2552-3234
18,蔡健生內、神經科診所,103,臺北市大同區大龍街１８７巷３０號,(02) 2592-4458
19,桂林內科診所,103,臺北市大同區太原路６２號,(02) 2558-9728
20,陳重熙內科小兒科診所,103,臺北市大同區保安街３之４號,(02) 2553-5505
21,張漢權內科診所,103,臺北市大同區重慶北路一段９２號,(02) 2550-5999
22,中華民國防癆協會第一胸腔病防治所,103,臺北市大同區民權西路一○四號二樓,2553-8828
23,和泰內科診所,103,臺北市大同區南京西路406號8樓,2559-0575
