行政區,機構名稱,機構地址,聯絡電話,其他聯絡方式,網路成癮服務類型,官方網站
63000110,展立心理治療所,臺北市士林區中山北路五段527號3樓,"(02)28830823
",0968-377-835,"個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.all4mind.com.tw/
63000110,新光吳火獅紀念醫院,臺北市士林區文昌路95號,"(02)28332211
",分機8466,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",https://www.skh.org.tw/skh/index.html
63000110,士林身心醫學診所,臺北市士林區文林路410號,(02)28812205,,"醫療門診服務, 個別心理治療／心理諮商, 網路成癮諮詢",https://www.facebook.com/profile.php?id=100082999257381
63000110,天母康健身心診所,臺北市士林區福華路157巷3號1樓,(02)28378787,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://facebook.com/HappyDr
63000110,心築身心診所,臺北市士林區劍潭路28號1樓,(02)28856572,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 網路成癮諮詢",https://www.mindconstruction.com.tw/
63000110,思塾心理諮商所,臺北市士林區德行西路87號2樓,,0958-156-381,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://readlife.org/
63000110,沐昕天母心理治療所,臺北市士林區德行東路190巷31弄6號1樓,,0909-270-237,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://mushinclinic.wixsite.com/mysite
63000060,夏凱納生活診所,臺北市大同區五原路15號,(02)25558313,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 網路成癮諮詢",http://shekinah.com.tw/
63000060,北極星心理治療所,臺北市大同區承德路三段8巷21號1樓,(02)25980305,,"個別心理治療／心理諮商, 家庭治療／諮商, 家屬（照顧者）團體／講座",https://www.loadstarpsyclinic.com/
63000060,人生設計心理諮商所,臺北市大同區南京西路41號8樓之2,,0983-580-856,"個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商",https://acdclifedesign.com/
63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234,,"醫療門診服務, 個別心理治療／心理諮商",https://tpech.gov.taipei/
63000030,怡心診所,臺北市大安區大安路一段169巷7號1樓,(02)27070112,,"醫療門診服務, 個別心理治療／心理諮商, 家庭治療／諮商, 團體治療／諮商, 家屬（照顧者）團體／講座, 網路成癮諮詢",https://www.ihsinpsy.com/
63000030, 臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,(02)27093600,,"醫療門診服務, 個別心理治療／心理諮商",https://tpech.gov.taipei/mp109151/
