序號,申請院所,縣市別,郵遞區號,地址
1,國立臺灣大學醫學院附設醫院,臺北市,100,台北市中正區中山南路7號
2,臺北榮民總醫院,臺北市,112,台北市北投區石牌路二段201號
3,三軍總醫院附設民眾診療服務處,臺北市,105,台北市松山區健康路131號
4,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,104,台北市中山區中山北路二段92號
5,國泰醫療財團法人國泰綜合醫院,臺北市,106,台北市大安區仁愛路四段280號
6,中山醫療社團法人中山醫院,臺北市,106,台北市大安區仁愛路四段112巷11號
7,中心診所醫療財團法人中心綜合醫院,臺北市,106,台北市大安區忠孝東路四段77號
8,西園醫療社團法人西園醫院,臺北市,108,台北市萬華區西園路二段270號
9,臺北醫學大學附設醫院,臺北市,110,台北市信義區吳興街252號
10,基督復臨安息日會財團法人臺安醫院,臺北市,105,台北市松山區八德路二段424號
11,新光醫療財團法人新光吳火獅紀念醫院,臺北市,111,台北市士林區文昌路95號
12,國立臺灣大學醫學院附設醫院北護分院,臺北市,108,台北市萬華區內江街87號
13,振興醫療財團法人振興醫院,臺北市,112,台北市北投區振興街45號
14,安德聯合診所,臺北市,105,台北市松山區八德路三段34號4樓
15,北市立萬芳醫院-委託財團法人臺北醫學大學辦理,臺北市,116,臺北市文山區興隆路三段111號
16,同仁院醫療財團法人萬華醫院,臺北市,108,台北市萬華區中華路二段606巷6號
17,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市,112,台北市北投區知行路225巷12號
18,臺北市立聯合醫院 忠孝院區,臺北市,115,台北市南港區同德路87號
19,臺北市市立聯合醫院 和平婦幼院區,臺北市,100,台北市中正區福州街12號
20,臺北市市立聯合醫院 中興院區,臺北市,103,台北市大同區鄭州路145號
21,宏恩醫療財團法人宏恩醫院,臺北市,106,台北市大安區仁愛路四段61號
22,佑佳內科診所,臺北市,103,台北市大同區承德路二段142號一樓
23,榮陽安心診所,臺北市,112,台北市北投區自強街168號
24,沈德昌診所,臺北市,106,台北市大安區四維路189號
