販賣業許可證,統一編號,公司名稱,公司地址,公司電話
北市動藥販字0001,04950925,丞泰企業有限公司,台北市復興北路156號7樓,27133921
北市動藥販字0015,03088802,中國化學製藥股份有限公司,臺北市中正區襄陽路23號,23124200
北市動藥販字0023,04946373,信超實業股份有限公司,台北市中正區仁愛路1段4號2樓之3,23948802-3
北市動藥販字0032,12123837,卜蜂(台灣)股份有限公司,台北巿松江路87號17樓,25060567
北市動藥販字0033,11393306,宗倫實業有限公司,台北巿忠孝東路4段166號9樓之3,27714277-8
北市動藥販字0037,11704809,勝達有限公司,台北市龍江路235號8樓之2,25023389
北市動藥販字0038,11746701,裕元興業股份有限公司,台北市松江路129號9樓,25082277
北市動藥販字0058,07228810,東盈實業股份有限公司,台北市內湖區洲子街73號6樓之1,27977386
北市動藥販字0059,11465602,春安貿易有限公司,台北市承德路二段十二號六樓之一,25566262
北市動藥販字0061,11532503,建台貿易股份有限公司,台北縣淡水鎮義山里下圭柔山七十之十五號,26213140
北市動藥販字0064,03163604,功祥貿易有限公司,台北市建國北路2段88號4樓,25023331
北市動藥販字0070,11037709,大明產業股份有限公司,台北市長安西路106號4樓之3,25555353
北市動藥販字0081,12016908,馥興貿易有限公司,台北巿松江路十七號四樓,
北市動藥販字0094,30411402,博際貿易有限公司,台北巿民族東路680號5樓, 
北市動藥販字0098,04449121,一龍化學貿易有限公司,台北市長安西路78巷1弄10號2樓,25553829
北市動藥販字0101,19035227,新佳原海外貿易股份有限公司,台北市大安區信義路2段28號8樓,23411097
北市動藥販字0110,11037308,大東亞貿易有限公司,台北市松山區復興北路333號8樓之6,27122848
北市動藥販字0114,04637019,來和貿易股份有限公司,621嘉義縣民雄工業區成功五街二號,
北市動藥販字0116,11647505,富大貿易有限公司,臺北市天津接62號7樓,25618351
北市動藥販字0144,14055835,科德國際貿易股份有限公司,台北市信義路四段二十四號三樓之二,27069282
北市動藥販字0151,04254244,吉靈企業有限公司,台北巿長安東路二段一七一號四樓之一,037-635595
北市動藥販字0162,04850355,景大藥房,臺北市文山區景美街166號1樓,29314710
北市動藥販字0163,11328755,東信化學藥品有限公司,台北市吉林路45號6樓,25715135
北市動藥販字0165,14056715,法台化學股份有限公司,臺北市中山區民生東路3段2號4樓之3,25125566
北市動藥販字0203,14079409,川聖貿易有限公司,114台北市內胡區新湖二路158號5樓,27935288
北市動藥販字0216,03401211,華成股份有限公司,338桃園縣蘆竹鄉錦華路六一號,03-3113188
北市動藥販字0221,20751866,貴弘企業有限公司,台北市新生北路3段11巷43號  (24142新北市三重區文化南路46號16樓之1),29706398
北市動藥販字0230,30012427,德城行有限公司,台北市復興北路172號5樓,27125086
北市動藥販字0232,04989800,有泉行有限公司,台北巿安和路二段一一二號五樓,27352233
北市動藥販字0238,04619321,怡大實業股份有限公司,106台北市大安區四維路170巷36號7樓之12,27011509
北市動藥販字0254,12134911,牧友貿易有限公司,台北市中山區松江路152號8樓之1,25112391
北市動藥販字0266,30902744,旭格有限公司,114台北市內湖區瑞光路258巷2號3樓之3,26580101
北市動藥販字0296,12178467,品皇貿易股份有限公司,台北巿西寧北路六二之五號八樓,25521289
北市動藥販字0301,04498797,福壽貿易股份有限公司,台北市長安西路119號6樓,25581111
北市動藥販字0321,12362668,極佳貿易股份有限公司,台北市復興南路1段34號12樓之1,27721840-4
北市動藥販字0335,07689833,也威生化科技有限公司,台北市民權東路6段160號6樓之1A室,27963711
北市動藥販字0340,05121334,經農企業有限公司,臺北市大安區安和路1段41、47號7樓,27775511
北市動藥販字0351,18791960,建盈股份有限公司,台北市中山區建國北路二段137號11樓,25157187
北市動藥販字0352,30972706,利泰興業有限公司,台北市中正區和平西路二段九號二樓,23093118
北市動藥販字0354,20980158,新強農牧股份有限公司,台北市民權東路六段一六○號八樓,27913547-9
北市動藥販字0356,04397355,台灣百霖企業股份有限公司,台北市大安區忠孝東路4段169號11樓,27315726
北市動藥販字0389,09440916,盛多股份有限公司,台北市信義區嘉興街175巷2弄1號1樓,27382247
北市動藥販字0391,43810796,國年實業有限公司,臺北市中正區忠孝東路二段112號8樓,23955636-7
北市動藥販字0400,12187064,捷強實業股份有限公司,台北市內湖區民權東路六段160號8樓,27928022
北市動藥販字0408,12483749,祥圃實業股份有限公司,台北市南京東路2段98號9樓之2,25603566-303
北市動藥販字0412,22005676,佑承實業股份有限公司,臺北市信義區光復南路447之2號4樓之5,2609-5966
北市動藥販字0415,20971691,重坤實業有限公司,台北巿南港區忠孝東路6段21號10樓之7,27581936
北市動藥販字0422,22049169,漢旭股份有限公司,臺北市內湖區內湖路1段324號7樓,77455399
北市動藥販字0423,12110299,創想世紀股份有限公司,台北市民生東路1段70號7樓,25682035
北市動藥販字0429,33232699,公源藥品股份有限公司,臺北市敦化南路二段128號14樓之3,02-27028171
北市動藥販字0438,22432713,凱邁化學製藥股份有限公司,台北市內湖區民權東路6段160號8樓,27941604
北市動藥販字0447,22718148,龍猛國際股份有限公司,10666台北市新生北路1段1號2樓,27791568
北市動藥販字0448,22606538,台田藥品股份有限公司,台北市南京東路五段一○八號十一樓,27568555
