序號,縣市別,補助方案之特約人工生殖機構名稱,全民健康保險特約醫療院所,備註
1,10017,健安婦產科診所*,*,依所得稅法第17條規定，申報醫藥及生育費之扣除額，必須是公立醫院、全民健保特約醫院、診所，或是經財政部認定會計紀錄完備正確的醫院收據，才可列舉扣除。經財政部核定會計紀錄完備正確之醫院(診所)名單可至財政部網站查詢。連結：https://www.etax.nat.gov.tw/etwmain/tax-info/Hospitals-approved-Ministry-Finance
2,,基隆生基婦產科診所*,*,
3,63000,國立臺灣大學醫學院附設醫院*,*,
4,,臺北榮民總醫院*,*,
5,,中山醫療社團法人中山醫院*,*,
6,,長庚醫療財團法人台北長庚紀念醫院*,*,
7,,臺北醫學大學附設醫院*,*,
8,,國泰醫療財團法人國泰綜合醫院*,*,
9,,基督復臨安息日會醫療財團法人臺安醫院*,*,
10,,新光醫療財團法人新光吳火獅紀念醫院*,*,
11,,生泉婦產科診所*,*,
12,,宏孕診所,,
13,,祈新婦產科診所*,*,
14,,愛群婦產科診所*,*,
15,,黃建榮婦產科診所,,
16,,王家瑋婦產科診所,,
17,,生基婦產科診所*,*,
18,,臺北市立聯合醫院(仁愛院區) *,*,
19,,華育婦產科診所,,
20,,送子鳥11診所,,
21,,佑昇診所,,
22,,臺北婦產科診所,,
23,,孕醫診所,,
24,,楊鵬生婦產科診所*,*,
25,,禾馨宜蘊婦產科診所(備註：臺北市),,
26,,國防醫學院三軍總醫院*,*,
27,,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院*,*,
28,,家瑋生育診所,,
29,65000,佛教慈濟醫療財團法人台北慈濟醫院*,*,
30,,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院*,*,
31,,蔡佳璋婦產科診所*,*,
32,,星孕國際診所*,*,
33,,茂盛板橋生殖診所*,*,
34,,基生婦產科診所*,*,
35,,衛生福利部雙和醫院(委託臺北醫學大學興建經營) *,*,
36,,新板婦產科診所*,*,
37,68000,長庚醫療財團法人林口長庚紀念醫院*,*,
38,,宏其醫療社團法人宏其婦幼醫院*,*,
39,,惠生婦產科診所*,*,
40,,衛生福利部桃園醫院*,*,
41,,婦茂婦幼診所*,*,
42,,敏盛綜合醫院*,*,
43,,禾馨宜蘊婦產科診所(備註：桃園市),,
44,,桃園宏其生基診所*,*,
45,,桃園秉坤婦幼醫院*,*,
46,,愛群婦產科診所*,*,
47,,宋俊宏婦幼醫院*,*,
48,10018,江婦產科診所*,*,
49,,送子鳥診所*,*,
50,,新竹市立馬偕兒童醫院(委託台灣基督長老教會馬偕醫療財團法人興建經營) *,*,
51,10004,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院*,*,
52,,東元醫療社團法人艾微芙診所*,*,
53,,中國醫藥大學新竹附設醫院*,*,
54,10005,大千綜合醫院*,*,
55,10019,中國醫藥大學附設醫院*,*,
56,,林新醫療社團法人林新醫院*,*,
57,,劉忠俊婦產科診所*,*,
58,,美村婦產科診所*,*,
59,,茂盛醫院*,*,
60,,中山醫學大學附設醫院*,*,
61,,大新婦產科診所*,*,
62,,張帆婦產科診所*,*,
63,,樂芙婦產科診所*,*,
64,,臺中榮民總醫院*,*,
65,,佛教慈濟醫療財團法人台中慈濟醫院*,*,
66,,童綜合醫療社團法人童綜合醫院*,*,
67,,禾馨宜蘊婦產科診所(備註：臺中市),,
68,10007,彰化基督教醫療財團法人彰化基督教醫院*,*,
69,,博元婦產科診所*,*,
70,,秀傳醫療財團法人彰濱秀傳紀念醫院*,*,
71,,迎杏福婦產科診所*,*,
72,10009,國立臺灣大學醫學院附設醫院雲林分院*,*,
73,10020,嘉安婦幼診所*,*,
74,,戴德森醫療財團法人嘉義基督教醫院*,*,
75,10010,長庚醫療財團法人嘉義長庚紀念醫院*,*,
76,10021,國立成功大學醫學院附設醫院*,*,
77,,台南市郭綜合醫院*,*,
78,,許朝欽婦產科診所,,
79,,奇美醫療財團法人奇美醫院*,*,
80,,台灣基督長老教會新樓醫療財團法人台南新樓醫院*,*,
81,,安安婦幼診所*,*,
82,,璟馨婦幼醫院*,*,
83,,大安婦幼醫院*,*,
84,,安安試管永華婦幼診所*,*,
85,64000,阮綜合醫療社團法人阮綜合醫院*,*,
86,,財團法人私立高雄醫學大學附設中和紀念醫院*,*,
87,,健新醫院*,*,
88,,張榮州婦產科診所*,*,
89,,好韻診所*,*,
90,,高雄榮民總醫院*,*,
91,,長庚醫療財團法人高雄長庚紀念醫院*,*,
92,,義大醫療財團法人義大醫院*,*,
93,,生生不息婦產科診所*,*,
94,,義大醫療財團法人義大大昌醫院*,*,
95,,旭陽診所*,*,
96,,鈞安婦幼聯合醫院*,*,
97,,安安十全婦幼診所*,*,
98,,安田婦產科診所*,*,
99,10013,屏基醫療財團法人屏東基督教醫院*,*,
100,10015,佛教慈濟醫療財團法人花蓮慈濟醫院*,*,
101,9020,金門生殖醫學診所,,
102,9020,金厚生診所,,
