NAME,CERT,BAN_NO,SUMADDR,RNAME,ESTAB_DATE,ESTAB_NO,ADDR_X,ADDR_Y
永固實業有限公司,北市氣證甲004,97462365,臺北市內湖區民權東路6段62號5樓,吳恆,1001209,10035158500,308998.121,2773514.468
永隆工程股份有限公司,北市氣證甲003,11214205,臺北市松山區南京東路5段188號13樓,傅弘民,1001121,10131879300,305080.942,2770120.796
永源工程行,北市氣證甲002,11169551,臺北市士林區社子街22巷78號1樓,王文龍,1001107,10034744000,301025.788,2775448.993
博勝全有限公司,北市氣證乙GA200008,24976727,臺北市北投區致遠一路一段61號1樓,張博淳,1130311,1133002964,302038,2777918
定欣瓦斯工程有限公司,北市氣證甲GA100017,60398562,臺北市信義區吳興街475號4樓,劉姵?,1150409,1153003205,307457,2768524
大湖導管工程實業股份有限公司,北市氣證甲009,89608140,臺北市內湖區新湖二路180號5樓,許績陵,1010327,10131204100,309516.553,2774546.884
包豐工程有限公司,北市氣證甲017,04926849,臺北市信義區中坡南路243號1樓,錢雅雯,1010420,10130791800,308954.229,2770187.216
化成企業行,北市氣證乙GA200001,26342381,臺北市北投區光明路200號8樓之21,王仁傑,1050704,10532035600,300998.259,2778971.346
浩銘瓦斯工程有限公司,北市氣證甲GA100015,84584534,臺北市士林區福港街154號1樓,李政隆,1131218,1133010261,302232,2775567
驊遠有限公司,北市氣證乙GA200009,50878010,臺北市中山區中山北路三段55巷32號1樓,謝通盛,1131023,1133008747,302879,2773398
大台北區瓦斯股份有限公司,北市氣證甲007,11072304,臺北市松山區光復北路11巷35號1、4、5、13樓,吳東進,1010203,10130467200,306494.431,2771447.841
旭鴻智能股份有限公司,北市氣證甲GA100016,93679357,臺北市信義區虎林街164巷54號,呂素慧,1131230,1133010560,308022,2770121
寶隆工程有限公司,北市氣證甲GA100007,12032484,臺北市信義區信義路4段375號8樓之3,駱朝勇,1060517,10631941500,306283.09,2769579.941
穩豐工程有限公司,北市氣證甲028,22030730,臺北市文山區木新路2段218巷35號2樓,曹秋棟,1010705,10131985200,307319.001,2764176.453
同新工程股份有限公司,北市氣證甲022,04980391,臺北市信義區信義路4段375號4樓之5,蔡沛儒,1010607,10131804900,304516.25,2771617.159
昇倢發工程有限公司,北市氣證甲GA100013,53942206,臺北市文山區興隆路一段175號,曹峻銘,1100628,1103017661,304798.762,2766014.162
揚昌工程行,北市氣證甲030,48976134,臺北市南港區重陽路190巷6弄6號,姜東林,1010717,10131993100,311858.831,2772703.657
晟豪工程有限公司,北市氣證甲029,80664872,臺北市信義區忠孝東路五段1之1號13樓,張貴寶,1010716,10131992500,307619.044,2770981.487
欣湖天然氣股份有限公司,北市氣證甲008,04779353,臺北市內湖區新湖二路180號5樓,許績陵,1011115,10133222200,309516.553,2774546.884
彥玲企業有限公司,北市氣證甲010,15885963,臺北市萬華區萬大路424巷3弄27號1樓,吳力孚,1010330,10131178600,300208.29,2768160.185
瑞清企業股份有限公司,北市氣證甲012,12672024,臺北市中山區長安東路1段22之3號3樓,洪馨萍,1010418,10131266000,302985.286,2771296.608
弘大瓦斯工程股份有限公司,北市氣證甲016,12524116,臺北市大安區敦化南路一段160巷25號1樓,呂榮進,1010420,10130791900,307683.114,2770456.629
宏旺工程有限公司,北市氣證甲031,12692582,臺北市信義區忠孝東路五段1之3號14樓,陳志銘,1010820,10132005800,307619.044,2770981.487
協鼎工程有限公司,北市氣證甲020,11328179,臺北市大同區重慶北路1段83巷24號3樓,王自強,1010522,10131272100,301979.58,2771724.774
中華瓦斯工程有限公司,北市氣證甲011,04730177,臺北市信義區松德路18號6樓,王永慶,1010418,10131265400,306166.884,2771166.856
大鈊企業有限公司,北市氣證甲018,16303923,臺北市萬華區萬青街128號1樓,吳大年,1010427,10130797400,300628.706,2768568.04
竣祥企業行,北市氣證甲026,04810447,臺北市內湖區陽光街155號1樓,劉健光,1010702,10131983800,309061.489,2774211.344
吉懋工程有限公司,北市氣證乙008,20955974,臺北市南港區重陽路223號2樓,陳德崧,1010830,10131999700,310718.47,2772302.394
昕銓有限公司,北市氣證甲GA100003,24951113,臺北市信義區忠孝東路5段1之3號10樓,江麗霞,1040603,10431683600,307003.059,2770491.089
昇達實業有限公司,北市氣證乙GA200007,16627704,臺北市大安區羅斯福路2段33號3樓之3,黃紅銅,1050720,10532039300,302694.876,2768955.983
汐湖工程有限公司,北市氣證甲021,97293045,臺北市信義區信義路4段413號11樓,石正男,1010522,10130789700,306420.684,2769594.072
陽明山瓦斯股份有限公司,北市氣證甲023,29705246,臺北市士林區葫蘆街61巷9號2樓,賴秋育,1010614,10131813600,301336.655,2774706.006
永幸有限公司,北市氣證乙GA200003,70583703,臺北市北投區公館路423巷8弄17號3樓,陳威丞,1070110,10730031200,300694,2779134
程宇工程企業有限公司,北市氣證甲GA100009,22458776,臺北市中正區羅斯福路1段32號11樓之1,李蕙菁,1071119,1076022921,302381,2769346
偉鴻股份有限公司,北市氣證甲GA100011,18877663,臺北市松山區南京東路五段102號2樓之1,盧鳳齡,1090901,1096025980,306687,2771572
元合泰有限公司,北市氣證乙GA200005,83484543,臺北市萬華區西藏路199巷43號,葉藩曄,1100201,1103001583,300448,2768965
定欣工程行,北市氣證甲GA100014,76371065,臺北市信義區吳興街475號4樓,劉姵彣,1111025,1113029402,307457,2768524
三德工程行,北市氣證乙GA200010,00552392,臺北市信義區吳興街480號4樓,劉德祿,1150204,1153001125,307463,2768504
