序號,許可證號,當舖名稱,營業地址,縣市
1,9800251-3,昇弘,臺北市士林區重慶北路4段107號1樓,臺北市
2,9100001,大成,臺北市大同區重慶北路2段117號1樓,臺北市
3,11100228-1,運通,臺北市松山區復興北路527號1樓,臺北市
4,11100003-2,信義,臺北市大安區光復南路622號1樓,臺北市
5,10300004-7,恆昇,臺北市北投區大業路546號1樓,臺北市
6,9800197-3,新豐,臺北市松山區民生東路5段239號1樓,臺北市
7,11100245-6,威銘,臺北市士林區重慶北路4段113號1樓,臺北市
8,9100006,華中,臺北市中山區長安東路1段2號之2  1樓,臺北市
9,11100223-7,天滬,臺北市大同區重慶北路3段248號1樓,臺北市
10,10200007-5,華勝,臺北市中山區民族東路186號1樓,臺北市
11,110800008-5,聯鉅,臺北市大同區承德路3段91號1樓,臺北市
12,10700009-3,利育,臺北市信義區基隆路1段129號之8  1樓,臺北市
13,10400010-1,典精品,臺北市大安區延吉街106號1樓,臺北市
14,10800011-3,千益,臺北市南港區忠孝東路6段80號1樓,臺北市
15,110500012-4,六信,臺北市士林區承德路4段290號1樓,臺北市
16,10800013-4,萬騰國際,臺北市中山區新生北路1段83號１樓,臺北市
17,9600014-2,瑞發,臺北市內湖區成功路3段81號1樓,臺北市
18,10700015-3,麥比特,臺北市大同區承德路3段148號1樓,臺北市
19,9100141,裕生,臺北市士林區延平北路5段110號1樓,臺北市
20,10500016-3,鼎煜,臺北市中正區和平西路1段159號1樓,臺北市
21,9100083,大亞,臺北市松山區八德路4段391號1樓,臺北市
22,10900257-2,喜來登,臺北市士林區重慶北路4段117號1樓,臺北市
23,10700017-5,北信,臺北市大同區重慶北路2段194號１樓,臺北市
24,9700178-3,生生,臺北市松山區民權東路5段58號1樓,臺北市
25,11000022-3,忠森,臺北市松山區八德路4段268號1樓,臺北市
26,10800142-2,順利,臺北市大同區甘州街7號1樓,臺北市
27,10700157-1,協同慶,臺北市大同區環河北路2段111號1樓,臺北市
28,11100020-5,聯盟,臺北市大同區重慶北路3段290號1樓,臺北市
29,10800021-6,合成,臺北市大安區延吉街68號1樓,臺北市
30,9500260-2,奇美,臺北市信義區基隆路1段372號1樓,臺北市
31,10600195-2,環球,臺北市松山區復興北路457號1樓,臺北市
32,10900023-2,摩立精品,臺北市松山區八德路4段427號1樓,臺北市
33,10500036-3,良安,臺北市士林區忠誠路1段131號1樓,臺北市
34,10700024-3(補),恒生,臺北市中山區民族東路22號1樓(臺北地院109年度司執字第45791號執行命令禁止處分),臺北市
35,10400025-2,永安,臺北市大同區南京西路302巷10號1樓,臺北市
36,11100144-3,永昌,臺北市士林區重慶北路4段62號1樓,臺北市
37,11000040-8,富泰澤,臺北市松山區八德路4段292號1樓,臺北市
38,10200072-6,上海,臺北市大同區重慶北路2段71號1樓,臺北市
39,10000084,金元,臺北市文山區羅斯福路6段17號1樓,臺北市
40,10400096-2,永元,臺北市大同區重慶北路3段133號1樓,臺北市
41,10200100-5,麒興,臺北市大同太原路148號1樓,臺北市
42,10800203-3,華展,臺北市萬華區萬大路530號1樓,臺北市
43,10600091-2,萬泰,臺北市松山區光復南路56號1樓,臺北市
44,110北市動010-8,景美分處,臺北市文山區景文街106-1號1樓,臺北市
45,10400243-5,遠東,臺北市文山區羅斯福路5段14號1樓,臺北市
46,11100026-8,雲鋒,臺北市萬華區中華路2段300巷13弄9號１樓,臺北市
47, 11000035-5,華益,臺北市萬華區青年路76號1樓,臺北市
48,10900150-3,金旺,臺北市文山區羅斯福路5段277號1樓,臺北市
49,10700032-3,台銀,臺北市大同區重慶北路2段82號1樓,臺北市
50,10300034-2,台元,臺北市萬華區西藏路197-2號1樓,臺北市
51,10200182-1,毅安,臺北市松山區市民大道5段141號1樓,臺北市
52,11000037-4,壹號,臺北市大同區重慶北路3段56號1樓,臺北市
53,11100148-4,賓利,臺北市士林區重慶北路4段195號1樓,臺北市
54,9300221-3 ,大豐,臺北市南港區南港路3段270號1樓,臺北市
55,9100039,華國,臺北市中山區長安東路2段33號1樓,臺北市
56,11100149-2,聯邦,臺北市中山區民權東路3段70-2號1樓,臺北市
57,10400002-5,君品,臺北市松山區八德路4段462號1樓,臺北市
58,10000041-3,上將,臺北市大同區重慶北路3段310號1樓,臺北市
59,10600042-9,冠德,臺北市中山區新生北路1段78-1號1樓,臺北市
60,10900043-4,首席,臺北市萬華區和平西路2段178號1樓,臺北市
61,10500044-2,永佳,臺北市中正區重慶南路3段23號1樓,臺北市
62,10100224-4,錢隆,臺北市萬華區西藏路492號1樓,臺北市
63,9800045-1,大典,臺北市信義區松山路334號1樓,臺北市
64,10100046-2,世豐,臺北市南港區忠孝東路6段242號1樓,臺北市
65,10400047-1,青山,臺北市萬華區和平西路3段211號1樓,臺北市
66,10600048-3,國豐,臺北市大同區民族西路78號1樓,臺北市
67,10900049-12,顧客至上,臺北市中山區長春路207號1樓,臺北市
68,1020271-6,重慶,臺北市大同區重慶北路3段１08號1樓,臺北市
69,10300050-3,寶昌,臺北市中正區西藏路11號1樓,臺北市
70,11000269-2,和平,臺北市中正區中華路2段55號1樓,臺北市
71,10600051-3,大象,臺北市內湖區成功路2段369號1樓,臺北市
72,11000262-6,兆豐,臺北市中山區民權東路2段76號１樓,臺北市
73,11100038-2,超市貸,臺北市中山區新生北路2段76號1樓,臺北市
74,10900102-4(補),寶誠,臺北市松山區復興北路497號1樓,臺北市
75,10600222-3,上億,臺北市信義區基隆路2段169號1樓,臺北市
76,11100151-3,市銀,臺北市內湖區成功路3段129號1樓,臺北市
77,11000053-2,佳立,臺北市大安區復興南路2段368號1樓,臺北市
78,10400054-10,君悅,臺北市中山區民族東路424號1樓,臺北市
79,10300259-6,鑫時代,臺北市萬華區中華路1段176號1樓,臺北市
80,10800055-4,常豐,臺北市萬華區和平西路3段294號1樓,臺北市
81,10200056-3,和運,臺北市中山區長安東路2段161號1樓,臺北市
82,10000057-1,來而富,臺北市中山區五常街9號1樓,臺北市
83,11000058-6,信源,臺北市中山區復興南路1段32號1樓,臺北市
84,10300060-2,金大,臺北市萬華區萬大路516號1樓,臺北市
85,10900061-6,麒洋,臺北市中山區復興北路200號1樓,臺北市
86,10200062-3,京城,臺北市南港區研究院路1段68號1樓,臺北市
87,110北市動001-10,松隆分處,臺北市松山區八德路4段688號2樓,臺北市
88,9100063,泰山,臺北市中山區吉林路313號1樓,臺北市
89,9300263-3,大愛,臺北市信義區松隆路167號1樓,臺北市
90,10900225-5,金山,臺北市大安區復興南路1段255-1號1樓,臺北市
91,9100064,順豐,臺北市南港區南港路1段168號1樓,臺北市
92,9500065-2,寶山,臺北市信義區基隆路2段71號1樓,臺北市
93,9100066-1,西門,臺北市萬華區昆明街121號1樓,臺北市
94,11100246-4,鼎龍,臺北市萬華區西藏路247號1樓 ,臺北市
95,9100067,擎天,臺北市中山區吉林路174巷3號1樓,臺北市
96,10300028-3,長 江,臺北市松山區南京東路5段262號1樓,臺北市
97,11100019-5,京基,臺北市松山區八德路4段431號1樓,臺北市
98,10700152-3,源億,臺北市大同區承德路3段19號1樓,臺北市
99,10200264-3,大昌,臺北市內湖區康寧路3段251號1樓,臺北市
100,11100073-4,上翊精品,臺北市中山區新生北路1段44號1樓,臺北市
101,9100153,公益,臺北市大安區忠孝東路4段223巷2號1樓,臺北市
102,10900070-5,國際,臺北市內湖區成功路3段77號1樓,臺北市
103,9100074,益成,臺北市大同區民生西路206號1樓,臺北市
104,10400154-4,日盛,臺北市大安區市民大道3段126號1樓,臺北市
105,10800071-3,誠意,臺北市大同區承德路３段178號1樓,臺北市
106,10900095-5,龍資,臺北市大同區環河北路1段313號1樓,臺北市
107,10500219-2,恩典,臺北市中山區松江路516號1樓,臺北市
108,10800076-1,京旺,臺北市士林區重慶北路4段96號1樓  ,臺北市
109,9800077-2,總泰,臺北市信義區忠孝東路5段707號1樓,臺北市
110,10900155-4,陽明,臺北市萬華區開封街2段66號1樓,臺北市
111,9300078-1,錢櫃,臺北市萬華區和平西路3段209號1樓,臺北市
112,10900075-6,宥金,臺北市松山區復興北路517號1樓,臺北市
113,9500226-3,鴻海,臺北市大同區承德路３段111號1樓,臺北市
114,10900080-5,元利,臺北市信義區永吉路189-1號1樓,臺北市
115,10800081-7,永慶,臺北市信義區松隆路318號1樓,臺北市
116,10700082-8,河馬,臺北市中正區和平西路2段7號1樓,臺北市
117,11100103-3,京采,臺北市松山區八德路4段468號1樓,臺北市
118,10600085-4,上大,臺北市中山區民族東路542號1樓,臺北市
119,10200086-1,永達,臺北市士林區承德路4段34號1樓,臺北市
120,11100087-4,真赫,臺北市大同區環河北路2段157號1樓,臺北市
121,11100088-8,燊林,臺北市大同區重慶北路2段156號1樓,臺北市
122,10500068-3,阿甘,臺北市中山區民權東路2段62號1樓,臺北市
123,10900090-9,寶石,臺北市萬華區西藏路261-2號1樓 ,臺北市
124,10800232-6,松山飛馬,臺北市松山區東興路28號1樓,臺北市
125,10200227-3,聯美,臺北市中山區民族東路140號1樓,臺北市
126,9100254,艋舺,臺北市萬華區環河南路2段86號1樓,臺北市
127,110900092-9,玖鑫,臺北市中山區新生北路3段63-1號1樓,臺北市
128,10700093-7,鑫立,臺北市大同區重慶北路2段24號1樓,臺北市
129,10300239-2,長益,臺北市內湖區成功路2段289號1樓,臺北市
130,10700273-7,國泰,臺北市信義區永吉路140號1樓,臺北市
131,10600069-13,和泰,臺北市南港區興中路44巷8號1樓,臺北市
132,10800097-1,大華,臺北市大同區重慶北路3段164號1樓,臺北市
133,11100098-2,冠均,臺北市中山區長安西路24號1樓,臺北市
134,9700265-1,和信,臺北市中正區和平西路2段142號之5號  1樓,臺北市
135,10700156-4,福鑫,臺北市中山區渭水路20號1樓,臺北市
136,10600148-5,永泰,臺北市士林區承德路4段332號1樓,臺北市
137,10900101-4,大眾,臺北市信義區忠孝東路5段444號1樓,臺北市
138,10100248-1,長虹,臺北市松山區光復南路40號1樓,臺北市
139,10900240-5,華泰,臺北市文山區羅斯福路5段95-1號1樓,臺北市
140,239,合平,臺北市松山區塔悠路200號1樓,臺北市
141,10100229-6,微風,臺北市大同區民族西路59號1樓,臺北市
