序號,公司商業名稱,統一編號,負責人,經營行業,行政區,營業場所地址,Longitude,Latitude
1,好樂迪股份有限公司景二分公司,70815099,林少卿,視聽歌唱業 ,文山區 ,羅斯福路6段403號地下1樓,121.540634,24.991821
2,獅子王企業股份有限公司,82943387,陳柏維,視聽歌唱業 ,文山區 ,羅斯福路4段200號、2樓之1至2樓之43、2樓之45至2樓之51,121.536644,25.010805
3,好樂迪股份有限公司景美分公司,97453957,林少卿,視聽歌唱業 ,文山區 ,羅斯福路6段403號2樓,121.540634,24.991821
4,好樂迪股份有限公司內湖分公司,97465026,林少卿,視聽歌唱業 ,內湖區 ,成功路4段68號地下1樓及地下1樓之1至之28,121.592866,25.08272
5,好樂迪股份有限公司石牌分公司,16441968,林少卿,視聽歌唱業 ,北投區 ,裕民六路120號地下1樓122,121.517636,25.11456
6,司派客有限公司,54359855,于德,舞場業 ,信義區 ,松壽路12號7樓之2、8樓,121.566021,25.035668
7,上盈國際育樂股份有限公司,54655271,李建慶,"舞場業
夜店業 ",信義區 ,松壽路12號7樓之1、8樓之1,121.566021,25.035668
8,紅洋蔥音樂餐廳有限公司,55288674,吳雨璇,"舞場業
夜店業 ",信義區 ,松壽路22號地下1層之2,121.567734,25.035564
9,聚唱文化有限公司,82960131,楊智華,視聽歌唱業 ,信義區 ,松壽路12號9樓,121.566021,25.035668
10,聚唱文化有限公司忠孝分公司,83439040,楊智華,視聽歌唱業 ,信義區 ,忠孝東路5段297之1號1樓及297號地下1樓,121.573207,25.041138
11,羅浮娛樂股份有限公司,83597835,黃重誠,"舞場業
夜店業 ",信義區 ,松壽路18號2樓之附屬地下層,121.566666,25.035672
12,好樂迪股份有限公司通化分公司,70815062,林少卿,視聽歌唱業 ,信義區 ,基隆路2段109號地下1樓、111,121.557259,25.028874
13,一零一巴賽隆納酒家,81778120,李致偉,"酒家業
酒吧業
視聽歌唱業 ",信義區 ,基隆路1段432號地下1樓,121.559738,25.033714
14,響艷信義股份有限公司,90363636,劉得垣,視聽歌唱業 ,信義區 ,松仁路101號地下2樓,121.568693,25.035962
15,滴滴娛樂股份有限公司,93799748,陳威呈,"舞場業
夜店業 ",信義區 ,松壽路22號地下1層之1,121.567734,25.035564
16,世界樹迷宮有限公司,94010234,何旭欽,視聽歌唱業 ,信義區 ,基隆路1段400號1樓,121.560017,25.034171
17,聚歡暢文化股份有限公司,90123812,楊智華,視聽歌唱業 ,萬華區 ,成都路81號3樓,121.505272,25.043016
18,新世界音樂城,81732048, 毛鎮遠,"舞廳業
舞場業 ",萬華區 ,中華路1段144號9樓,121.508152,25.043149
19,亞洲舞廳,81689128,吳家成,舞廳業 ,萬華區 ,漢口街2段54號2樓,121.505939,25.045787
20,金曲獎音樂股份有限公司,83030971,蔡憲輝,視聽歌唱業 ,萬華區 ,中華路1段104號1至6樓,121.508416,25.04406
21,星光百分百餐廳,48900753,鄭金里,視聽歌唱業 ,萬華區 ,漢中街42號7樓,121.507346,25.044225
22,舞帝有限公司,24961148,李雅慧,"舞廳業
酒吧業
視聽歌唱業 ",萬華區 ,漢口街2段54號3樓,121.505939,25.045787
23,夜巴黎舞廳股份有限公司,03218903,張敬夏,舞廳業 ,萬華區 ,武昌街2段89號5樓,121.504028,25.045452
24,好樂迪股份有限公司西寧分公司,16098964,林少卿,視聽歌唱業 ,萬華區 ,西寧南路62號3、4、5、6、7、8樓,121.506155,25.043876
25,如平實業股份有限公司,13102775,陳柏榕,"舞場業
視聽歌唱業 ",大安區 ,忠孝東路4段201號5樓,121.551773,25.041678
26,京源有限公司,28197617,薛華,"酒家業
視聽歌唱業 ",大安區 ,"忠孝東路3段305號11樓,11樓之1,2,3,4,5,6,7",121.543542,25.041886
27,金享酒吧,42356729,張凱翔,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段270號地下1樓及地下1樓之1,121.554847,25.041186
28,璟裕有限公司,55742301,張忠聖,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路3段305號10樓、10樓之1、10樓之2,121.543542,25.041886
29,味思登餐飲事業有限公司,55802573,簡念國,"酒家業
酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段201號2樓,121.551773,25.041678
30,拓遠股份有限公司忠孝第二分公司,70547209,蔡淑良,三溫暖業 ,大安區 ,忠孝東路4段107號7樓、7樓之1、7樓之2,121.548289,25.041747
31,錢櫃企業股份有限公司忠孝分公司,70760073,練台生,視聽歌唱業 ,大安區 ,忠孝東路4段22號地下1樓至11樓,121.544357,25.041405
32,東區酒吧,38497753,蔡盛文,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段209號6樓、6樓之1、6樓之2、211,121.552017,25.041671
33,遠東國際時尚生活館,42290950,陳龍皇,"酒吧業
視聽歌唱業 ",大安區 ,光復南路626號1、2樓,121.557275,25.031784
34,茗庭酒吧,88287970,曾煌賓,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段197號11樓、11樓之1、4、5、6、7、8、9、11,121.551621,25.041678
35,錢澤企業股份有限公司,84481896,練台生,視聽歌唱業 ,大安區 ,敦化南路1段209號1樓及205號2至4樓,121.549256,25.041882
36,環球紫藤名店,88087966,陳孝澤,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段209號3樓、3樓之1、3樓之2、4樓、4樓之1、211號3樓、4樓,121.552017,25.041671
37,金佔酒吧,88143340,郭弘謀,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段107號10樓,121.548289,25.041747
38,嗨庫娛樂有限公司,93642275,陳坤良,"舞場業
視聽歌唱業
夜店業 ",大安區 ,羅斯福路2段67號地下室,121.522955,25.026713
39,晶棧實業有限公司,94143327,潘冠承,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路4段201號7樓及7樓之1,121.551773,25.041678
40,金盃有限公司,97443591,邱文寶,"酒吧業
視聽歌唱業 ",大安區 ,忠孝東路3段305號12樓、12樓之1,121.543542,25.041886
41,好樂迪股份有限公司中興分公司,97446154,林少卿,視聽歌唱業 ,松山區 ,復興南路1段27號1樓、2樓,121.544115,25.04652
42,傑立行跨業發展有限公司,83177279,廖承庭,視聽歌唱業 ,松山區 ,敦化南路1段21之1號、21之2、21之4,121.549276,25.046626
43,亞太三溫暖店,81713703,戴旭吟,三溫暖業 ,松山區 ,南京東路3段337號14樓之1,121.547988,25.051988
44,欣荷酒吧,73255578,楊凱麟,"酒吧業
視聽歌唱業 ",松山區 ,復興北路99號5樓、5樓之1,121.54428,25.052848
45,澄韻休閒股份有限公司,93796073,陳明正,視聽歌唱業 ,松山區 ,南京東路3段301號1至4樓,121.546637,25.051987
46,金坊酒店,29201168,花旭盛,"舞場業
酒吧業 ",松山區 ,基隆路1段8號地下1樓,121.569933,25.050764
47,金典酒吧,29213431,萬源成,"酒吧業
視聽歌唱業 ",松山區 ,復興北路167號169,121.544306,25.053898
48,奇遇視聽歌唱媒體股份有限公司,27712729,吳瑞明,"酒吧業
視聽歌唱業 ",松山區 ,復興北路183號地下1樓,121.544323,25.054877
49,鴻昇興業有限公司,24491694,簡志龍,"舞廳業
酒家業
酒吧業
視聽歌唱業 ",松山區 ,南京東路3段337號8樓,121.547988,25.051988
50,溫莎興業有限公司,16794836,鄭正裕,三溫暖業 ,松山區 ,南京東路5段38號地下1樓,121.559549,25.051306
51,長春酒吧,17091659,鄭翔,"酒吧業
視聽歌唱業 ",中山區 ,長春路31號2樓及2樓之1、之2、之3、之4、之5,121.525633,25.055036
52,特蘭斯酒店,17530799,陳彥甫,"酒吧業
視聽歌唱業 ",中山區 ,長春路31號5樓、5樓之1至之8及6樓、6樓之1之2,121.525633,25.055036
53,二九酒吧,18382395, 歐陽佑,酒吧業 ,中山區 ,民生東路1段29號2樓之2至之5,121.525124,25.058197
54,旺萊酒吧,21714664,鄭文賢,"酒吧業
視聽歌唱業 ",中山區 ,林森北路381號11樓,121.525656,25.058487
55,凱迪亞實業有限公司,16177279,孫玉如,視聽歌唱業 ,中山區 ,林森北路100號1、2樓,121.524821,25.050484
56,好樂迪股份有限公司錦州分公司,16437269,林少卿 ,視聽歌唱業 ,中山區 ,錦州街15號1樓、地下1樓及19號之3一樓、地下1樓,121.524448,25.060413
57,欣儂興業有限公司,13135184,曾福連,"舞場業
酒吧業
視聽歌唱業 ",中山區 ,林森北路100號3樓,121.524821,25.050484
58,富利登舞廳,13444386,張國讚,"舞場業
酒吧業
視聽歌唱業 ",中山區 ,林森北路381號3樓,121.525656,25.058487
59,富驛酒店,03494908, 江維文,"酒吧業
視聽歌唱業 ",中山區 ,民生東路1段54號地下1樓,121.524901,25.057935
60,快樂谷音樂餐廳,01339108,陳江豪,"舞廳業
酒吧業
視聽歌唱業 ",中山區 ,林森北路381號地下1樓,121.525656,25.058487
61,錢櫃企業股份有限公司台北松江分公司,16749609,練台生,視聽歌唱業 ,中山區 ,松江路193、195、197、199、201號1樓及3至11樓,121.532883,25.056992
62,昌迪有限公司,28457140,陳瓊華,"酒吧業
視聽歌唱業 ",中山區 ,松江路148號地下1層,121.532839,25.05383
63,霍爾娛樂事業有限公司,29044169,呂佾澄,"舞場業
酒吧業
視聽歌唱業 ",中山區 ,南京東路3段217號地下1樓,121.542919,25.05207
64,豪門酒吧,25611605,林啟銘,"酒吧業
視聽歌唱業 ",中山區 ,錦州街50號2樓,121.526106,25.060164
65,豪昇酒吧,25619727,鄭世傳,"酒家業
酒吧業
視聽歌唱業 ",中山區 ,林森北路413號4樓,121.525713,25.059774
66,芮司緹名店,25664172,周逢時,"酒吧業
視聽歌唱業 ",中山區 ,民生東路1段77號1、2樓,121.526856,25.058271
67,金昌酒吧,25674896, 張校銘,"酒吧業
視聽歌唱業 ",中山區 ,林森北路409號2樓、2樓之1至之4,121.525684,25.059581
68,京都酒吧,25678632,蔡銘安,"酒吧業
視聽歌唱業 ",中山區 ,林森北路409號2樓之4至之6,121.525684,25.059581
69,依林酒店,25682158,林明輝,"酒吧業
視聽歌唱業 ",中山區 ,林森北路409號地下,121.525684,25.059581
70,紅日視聽歌城,26273244,蔡榮吉,"酒吧業
視聽歌唱業 ",中山區 ,長安東路1段23號2樓之2之4之6,121.523775,25.049447
71,大富酒吧,27168229,謝宗錦,"舞廳業
酒吧業
視聽歌唱業
夜店業 ",中山區 ,錦州街46號4樓,121.525783,25.060174
72,凱紳酒吧,27185402,黃志良,"酒吧業
視聽歌唱業 ",中山區 ,龍江路23號地下1樓(含夾層),121.540502,25.047861
73,來旺興業社,29219224,陳新福,"酒吧業
視聽歌唱業 ",中山區 ,林森北路381號12樓,121.525656,25.058487
74,浪漫屋小吃店,31721910,林詩敏,"舞場業
視聽歌唱業 ",中山區 ,錦州街50號地下,121.526106,25.060164
75,悅園酒吧,31845840,沈勝煌,酒吧業 ,中山區 ,民生東路1段43號地下1樓,121.52603,25.058194
76,威晶名店,31872938, 黃仲瑋,"酒吧業
視聽歌唱業 ",中山區 ,德惠街34號1、2樓及2樓之1,121.526186,25.066586
77,溫莎寶時尚會館,31873346,吳伯軒,"酒吧業
視聽歌唱業 ",中山區 ,林森北路282號地下之1,121.525353,25.055548
78,金艷酒吧,31956774,李黃平,"酒吧業
視聽歌唱業 ",中山區 ,林森北路413號2樓,121.525713,25.059774
79,世紀之星酒吧,42344225,陳竣文,"酒吧業
視聽歌唱業 ",中山區 ,錦州街48號2樓,121.525855,25.060172
80,龍昇酒吧,42280101,吳憲昌,"酒吧業
視聽歌唱業 ",中山區 ,林森北路413號3樓,121.525713,25.059774
81,艾莉森音樂社,42417726,楊欣儒,視聽歌唱業 ,中山區 ,復興南路1段36之9號13樓,121.543663,25.04577
82,雅士達娛樂舞場,42556682,萬善成,"舞場業
視聽歌唱業 ",中山區 ,南京東路2段96號地下1樓,121.531358,25.051855
83,此間視聽國際有限公司,42989766,鄧昊昇,"酒吧業
視聽歌唱業 ",中山區 ,南京東路2段206號3樓、3樓之1、3樓之2,121.535844,25.051819
84,金燕休閒有限公司,43935199,陳榮輝,三溫暖業 ,中山區 ,民生東路1段13號及13號地下室、13號地下2層,121.523887,25.058209
85,金世紀視聽社,48558820,朱震倫,視聽歌唱業 ,中山區 ,松江路185號3樓,121.533317,25.05647
86,迪廣國際股份有限公司,70766007,練台生,視聽歌唱業 ,中山區 ,林森北路312號地下1層、地下2層、1樓至8樓,121.525357,25.056339
87,東京飲食事業有限公司,52232706,吳明仁,"酒吧業
視聽歌唱業 ",中山區 ,長春路38號地下一層 ,121.524957,25.054842
88,香樹花園酒店股份有限公司,53568215,邱忠賢,三溫暖業 ,中山區 ,堤頂大道2段566號3樓,121.560413,25.084071
89,鑫漾國際有限公司,53747225,蘇銀祿,"酒吧業
視聽歌唱業 ",中山區 ,林森北路410號2樓、2樓之1至45、3樓之24、25、29至40,121.525431,25.059536
90,百達妃麗視聽股份有限公司,70398094,高國雄,"酒家業
視聽歌唱業 ",中山區 ,林森北路50號1樓、2樓、2樓之1、2、3、52號1樓,121.524201,25.048344
91,靛采名店,42360189,陳品儒,"酒吧業
視聽歌唱業 ",中山區 ,民生東路1段77號地下樓,121.526856,25.058271
92,鴻欣視聽歌城,48736607,陳朝仁,"酒吧業
視聽歌唱業 ",中山區 ,長安東路1段23號B1樓之1之2之3之4之5之6,121.523775,25.049447
93,香水視聽歌城,48930356,魏孟都,"酒吧業
視聽歌唱業 ",中山區 ,民生東路1段25號2樓之1 ,121.524317,25.058199
94,固定餐飲坊,48959064,黃建勳,視聽歌唱業 ,中山區 ,長安東路1段16號2樓,121.523401,25.049313
95,嘉夜有限公司,50905537,胡瀚中,"酒吧業
視聽歌唱業 ",中山區 ,民生東路1段25號地下1樓,121.524317,25.058199
96,眾星雲集娛樂舞場,98902741,陳秋蘭,"舞場業
酒家業 ",中山區 ,林森北路409號地下之1,121.525684,25.059581
97,路易酒吧,99356333,袁瑋笛,"酒家業
視聽歌唱業 ",中山區 ,長春路31號地下1樓,121.525633,25.055036
98,馥采名店,99945705,簡念國,"酒吧業
視聽歌唱業 ",中山區 ,松江路152號地下1層、地下1層之1,121.53285,25.054189
99,永利名店,99957758,林子隆,"酒吧業
視聽歌唱業 ",中山區 ,林森北路289號3樓、3樓之1、之2、之3、之5、之6、之7、之8、之9,121.525578,25.055589
100,金員外餐廳,99980462,何清田,"舞廳業
酒家業 ",中山區 ,林森北路263號2樓,121.525557,25.054599
101,皇家翡翠酒吧,73876041,鄭智文,"酒吧業
視聽歌唱業 ",中山區 ,"林森北路410號3樓之1至9,3樓之41至44",121.525431,25.059536
102,采心酒吧,76399465,林右宗,"酒吧業
視聽歌唱業 ",中山區 ,林森北路413號1樓,121.525713,25.059774
