縣市別,縣市代碼,年序號,裁罰日期,旅館名稱,裁罰原因,裁罰金額（新臺幣元）
臺北市,63000,11301,1130122,華大旅店-南西館,旅館擴大,"50,000"
臺北市,63000,11302,1130130,摩莎曼拉商務旅館-西門館,旅館擴大,"50,000"
臺北市,63000,11303,1130403,山樂溫泉,旅館擴大,"100,000"
臺北市,63000,11304,1130403,門埕青旅,旅館擴大,"50,000"
臺北市,63000,11305,1130411,日月星商旅,旅館擴大,"50,000"
臺北市,63000,11306,1130411,貴都飯店,旅館擴大,"100,000"
臺北市,63000,11307,1130419,金都精緻溫泉飯店,旅館擴大,"50,000"
臺北市,63000,11308,1130423,門草行旅,旅館擴大,"50,000"
臺北市,63000,11309,1130424,慶爾喜旅館西門捷運館,旅館擴大,"50,000"
臺北市,63000,11310,1130527,立和商務旅館-漢口館,旅館擴大,"50,000"
臺北市,63000,11311,1130527,摩莎曼拉商務旅館-西門館,旅館擴大,"50,000"
臺北市,63000,11312,1130607,日月星商旅,旅館擴大,"50,000"
臺北市,63000,11313,1130705,啟文商旅,逾期未復業,"50,000"
臺北市,63000,11314,1130801,立和商務旅館-漢口館,旅館擴大,"50,000"
臺北市,63000,11315,1130801,摩莎曼拉商務旅館-西門館,旅館擴大,"50,000"
臺北市,63000,11316,1130823,帛堯初見輕旅,旅館擴大,"50,000"
臺北市,63000,11317,1130924,獅城旅館,擴大營業,"50,000"
臺北市,63000,11318,1131007,古山園旅社,未依規定填報113年7月營運報表,"10,000"
臺北市,63000,11319,1131008,西門邑居自由旅行會館,擴大營業,"50,000"
臺北市,63000,11320,1131017,天母之星商務會館,未依規定填報營運報表,"10,000"
臺北市,63000,11321,1131023,建山大旅社,未依規定填報營運報表,"10,000"
臺北市,63000,11401,1140108,城市商旅德立莊二館,旅館擴大,"50,000"
臺北市,63000,11402,1140109,意寬精品旅館HOME HOTEL,旅館擴大,"50,000"
臺北市,63000,11403,1140124,日光拾玖,旅館擴大,"50,000"
臺北市,63000,11404,1140212,互舍商旅台北館,旅館擴大,"100,000"
臺北市,63000,11405,1140428,互舍商旅台北館,旅館擴大,"100,000"
臺北市,63000,11406,1140527,配普特行旅,未依規定填報營運報表,"10,000"
臺北市,63000,11407,1140626,星美飯店,旅館擴大,"50,000"
臺北市,63000,11408,1140714,千彩格精品旅店,妨礙檢查,"60,000"
臺北市,63000,11409,1140804,丰居旅店北車館,旅館擴大,"50,000"
臺北市,63000,11410,1140815,千彩格精品旅店,旅館擴大,"50,000"
臺北市,63000,11411,1140902,富順大飯店,未依規定投保,"150,000"
臺北市,63000,11412,1140911,洛碁大飯店中華館,擴大營業客房,"50,000"
臺北市,63000,11413,1140919,正是旅館,擴大營業客房,"50,000"
臺北市,63000,11414,1140924,希爾商旅台北館,未依規定投保,"100,000"
臺北市,63000,11415,1141020,城市商旅德立莊二館,旅館擴大,"50,000"
臺北市,63000,11416,1141020,城市商旅德立莊分館,旅館擴大,"50,000"
臺北市,63000,11417,1141027,金通商旅,未依規定投保,"100,000"
臺北市,63000,11418,1141105,貴都飯店,旅館擴大,"50,000"
臺北市,63000,11419,1141121,品格子旅店,旅館擴大,"50,000"
臺北市,63000,11420,1141126,晶城青年旅館,限改仍不符規定,"30,000"
