序號,用戶名稱,縣市,縣市代碼,備註
1,臺北大眾捷運股份有限公司(板南線),臺北市,63000,
2,臺北大眾捷運股份有限公司(中和新蘆線),臺北市,63000,
3,臺北大眾捷運股份有限公司(淡水信義線),臺北市,63000,
4,臺北榮民總醫院,臺北市,63000,
5,國立臺灣大學,臺北市,63000,
6,臺北大眾捷運股份有限公司(文湖線),臺北市,63000,
7,臺北大眾捷運股份有限公司(松山新店線),臺北市,63000,
8,中央研究院,臺北市,63000,
9,遠雄巨蛋事業股份有限公司,臺北市,63000,
10,國防醫學院三軍總醫院,臺北市,63000,
11,國立臺灣大學醫學院附設醫院(東址),臺北市,63000,
12,臺北市政府工務局衛生下水道工程處(迪化污水處理廠),臺北市,63000,
13,台北金融大樓股份有限公司(購物中心),臺北市,63000,
14,美麗華城市發展股份有限公司(美麗華百樂園),臺北市,63000,
15,中華電信股份有限公司個人家庭分公司,臺北市,63000,
16,台北金融大樓股份有限公司,臺北市,63000,
17,南港軟體工業園區管理委員會,臺北市,63000,
18,國營臺灣鐵路股份有限公司（臺北車站）,臺北市,63000,
19,南港軟體工業園區二期管理委員會,臺北市,63000,
20,國立政治大學,臺北市,63000,
21,富邦人壽保險股份有限公司,臺北市,63000,
22,中華民國對外貿易發展協會(南港展覽館),臺北市,63000,
23,國立臺灣大學醫學院附設醫院癌醫中心分院,臺北市,63000,
24,領航電信股份有限公司,臺北市,63000,
25,台灣三井不動產股份有限公司南港分公司,臺北市,63000,
26,台灣三井不動產股份有限公司南港分公司,臺北市,63000,
27,交通部民用航空局臺北國際航空站,臺北市,63000,
28,新光人壽保險股份有限公司(摩天大樓),臺北市,63000,
29,國立臺灣科技大學,臺北市,63000,
30,臺北市市政大樓公共事務管理中心,臺北市,63000,
31,京站實業股份有限公司(京站時尚廣場),臺北市,63000,
32,遠鼎股份有限公司(辦公大樓),臺北市,63000,
33,中央研究院轉譯創新研發中心,臺北市,63000,
34,中國文化大學,臺北市,63000,
35,台灣固網股份有限公司,臺北市,63000,
36,國立陽明交通大學,臺北市,63000,
37,國防部政務辦公室,臺北市,63000,
38,中國信託商業銀行股份有限公司(中國信託金融園區(B、C棟)),臺北市,63000,
39,新世紀資通股份有限公司,臺北市,63000,
40,微風置地股份有限公司南山分公司,臺北市,63000,
41,遠東百貨股份有限公司信義分公司(A13),臺北市,63000,
42,是方電訊股份有限公司,臺北市,63000,
43,中華民國對外貿易發展協會台北世貿中心展覽大樓,臺北市,63000,
44,太平洋崇光百貨股份有限公司復興分公司,臺北市,63000,
45,大葉高島屋百貨股份有限公司,臺北市,63000,
46,世正開發股份有限公司(世正經貿大樓),臺北市,63000,
47,財團法人中華民國對外貿易發展協會(南港展覽館2館),臺北市,63000,
48,馬偕紀念醫院,臺北市,63000,
49,統上開發建設股份有限公司,臺北市,63000,
50,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市,63000,
51,微風廣場實業股份有限公司,臺北市,63000,
52,中華電信股份有限公司資訊技術分公司,臺北市,63000,
53,世康開發股份有限公司,臺北市,63000,
54,新光三越百貨股份有限公司台北信義分公司二館(A8),臺北市,63000,
55,仙妮蕾德餐旅管理有限公司(茹曦酒店),臺北市,63000,
56,新光三越百貨股份有限公司台北信義分公司一館(A11),臺北市,63000,
57,臺北市政府工務局衛生下水道工程處(內湖污水處理廠),臺北市,63000,
58,太平洋崇光百貨股份有限公司天母分公司,臺北市,63000,
59,吸引力生活事業股份有限公司,臺北市,63000,
60,世正開發股份有限公司(南軟大樓),臺北市,63000,
61,臺北南山廣場管理負責人,臺北市,63000,
