序號,機構名稱,郵遞區號,地址,電話
1,中心醫事檢驗所,100,台北市中正區羅斯福路二段150號9樓之7,02 2362 1359
2,南昌醫事檢驗所,100,台北市中正區福州街11-9號,02 2321 0139
3,杏聯醫事檢驗所,100,台北市中正區汀州路二段38號B1,02 2366 1010
4,慧智醫事檢驗所,100,台北市中正區懷寧街78號,(02)2361-2211
5,慧智基因醫事檢驗所,100,台北市中正區寶慶路27號,02 2382 6615
6,豐達醫事檢驗所,100,臺北市中正區忠孝東路2段80號3樓之2,(02)66305722
7,慧智基因臨床醫事檢驗所,100,台北市中正區寶慶路27號,02 2382 6615
8,詠捷醫事檢驗所,108,台北市萬華區柳州街13號,?02 8809 2882
9,北一醫事檢驗所,103,台北市大同區重慶北路二段140號,02 2557 3082
10,中山醫事檢驗所,103,台北市大同區南京西路216號,02 2558 9339
11,聯合醫事檢驗所,104,台北市中山區建國北路二段74號,02 2502 0470
12,長春醫事檢驗所,104,台北市中山區錦州街20號,?02 2581 5027
13,瀚仕醫事檢驗所,104,台北市中山區敬業一路2號,
14,玉山醫事檢驗所,104,台北市中山區長春路191號,02 2505 5111
15,啟新醫事檢驗所,104,台北市中山區建國北路三段42號5樓,?02 2507 0723
16,麗寶醫事檢驗所,104,台北市中山區建國北路二段135號8樓,02 2503 1392
17,長庚安醫事檢驗所,104,台北市中山區吉林路143號,02 2561 3297
18,威杜醫事檢驗所,105,台北市松山區南京東路五段4號4樓,02 2747 4151
19,丹佛醫事檢驗所,105,台灣松山區南京東路四段103號,02 8712 5233
20,民生醫事檢驗所,105,台北市松山區民生東路五段218號,02 2769 8340
21,立人醫事檢驗所,105,台北市松山區敦化北路153-2號2樓,02 2563 9353
22,八德醫事檢驗所,105,台北市松山區八德路三段128號1樓,02 2578 0246
23,仁慈醫事檢驗所,105,台北市松山區八德路三段136號,02 2578 7639
24,高端醫事檢驗所,106,台北市大安區復興南路二段363號5樓,02 2377 0911
25,財團法人預防醫學基金會附設醫事檢驗所,110,台北市信義區東興路55號,02 8768 1020
26,大安聯合醫事檢驗所,106,台北市大安區復興南路二段151巷33號,?02 2704 9977
27,健安聯醫事檢驗所,106,台北市大安區敦化南路一段233巷59號5樓,02 2772 8196
28,宏恩醫事檢驗所,108,台北市萬華區西園路一段87號,02 2371 3946
29,吉祥醫事檢驗所,108,台北市萬華區莒光路227號,02 2306 3696
30,永春醫事檢驗所,110,台灣信義區忠孝東路五段431號,?02 2766 3967
31,和平醫事檢驗所,110,台北市信義區基隆路二段201號,02 2738 2092
32,財團法人中華民國衛生保健基金會附設醫事檢驗所,110,台北市信義區東興路55號,02 8768 1020
33,凌翔醫事檢驗所,110,台北市信義區松德路36號5樓,02 2758 3328
34,明德醫事檢驗所,111,台灣士林區延平北路五段144號,02 2811 1745
35,忠誠醫事檢驗所,111,台灣士林區德行東路14號,02 2832 9479
36,士林遠東醫事檢驗所,111,台北市士林區大東路90號,02 2882 0156
37,雙連醫事檢驗所,112,台北市北投區石牌路一段71巷3弄8號,02 2821 3112
38,辰熙醫事檢驗所,114,台北市內湖區瑞光路192號8樓之3,?02 2659 9456
39,天富健康醫事檢驗所,114,台北市內湖區內湖路一段136號7樓,(02)2659-0150
40,訊聯醫事檢驗所,114,台北市內湖區新湖一路36巷28號,080 080 0018
41,益揚醫事檢驗所,114,台北市內湖區民權東路六段180巷6號8樓12室,(02)27904473
42,亞杏醫事檢驗所,106,台北市內湖區瑞光路188巷48號,02 8751 0763
43,全康醫事檢驗所,114,台北市內湖區內湖路二段363號,02 2794 9819
44,佳生醫事檢驗所,115,台北市南港區園區街3號11樓,02 5558 0000
45,台灣生醫醫事檢驗所,116,台北市文山區景文街46之1號5樓,
