序號,機構名稱,機構地址,聯絡電話,分機,平日給藥時間,假日給藥時間,其他給藥時間,轉入掛號費,跨區給藥服務費,轉出掛號費,跨區給藥評估費,注意事項
1,臺北市立聯合醫院林森中醫昆明院區,臺北市萬華區昆明街100號4樓,(02)23703739,1209,"07:30-08:30
12:30-20:00","07:30-08:30 
12:30-20:00",農曆年節期間及颱風08:00-17:00,50元/次,150元/日,50元/次,300元/次,
2,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,(02)28959808,,12:00-19:30,"12:30-14:30
16:30-19:30",無,150元/次,150元/日,150元/次,300元/次,
3,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,(02)22193391,66908,"11:00-14:00
17:30-18:30",13:00-15:00,"1.若平日遇天災，新北市宣布停止上班則改為假日服藥時間。 
2.院內節日(如聖誕節)亦為假日服藥時間。 
3.本院遇國定連續假日時未採用彈性放假，請務必事先來電詢問服藥時間。",0元,25元/日,100元/次,300元/次,欲跨區來本院服藥個案，請2天前來電詢問服藥時間及其他注意事項，以及攜帶雙證件供個管師審查身份。
4,新北市立聯合醫院(板橋院區),新北市板橋區英士路198號,(02)22575151,2166,08:00-09:00 11:30-19:00,08:50-12:10 ,無,50元/次,150元/日,50元/次,300元/次,請個案務必先致電(02)2257-5151分機2166個管師，了解服藥規定與動線。
5,新北市立聯合醫院(三重院區),新北市三重區新北大道一段3號,(02)29829111,3185,07:30-08:30 12:30-16:30,08:50-12:10,無,50元/次,150元/日,50元/次,300元/次,請個案務必先致電 (02)0982-9111分機3180個管師，了解服藥規定與動線。
6,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,(02)77282452,,07:30-13:00 15:00-18:00,8:00-11:00,8:00-11:00,150元/次,150元/日,0元,0元,"一、跨院區給藥患者，請先於欲跨院區服藥日前三日，在本院上班時間來電個管師給予基本資料，以利初診病歷建檔。 
二、個案報到時間如給藥時間，逾期不受理。 
三、欲假日辦理服藥報到之個案，請於星期一至星期五上班時間與個管師聯絡，以利先行開立批價單。 
四、初診個案，本院將依照線上轉診單所提供之個案資訊協助製作病歷，倘有不足將請協作中心或轉出醫院協助提供。 
五、服藥當日須繳清所有費用，沒有來服藥不予退費。 "
7,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路399號,(02)26723456,6118,8:30-13:30,8:30-11:00,無,0元,150元/日,0元,0元,
8,中國醫藥大學附設醫院,臺中市北區育德路2號,(04)22052121,"1183
","07:00-10:00
12:00-17:30
18:30-22:00","07:00-10:00 
12:00-17:30
18:30-22:00",無,150元/次,35元/日,0元,0元,
9,臺中榮民總醫院,臺中市西屯區臺灣大道四段1650號,(04)23592525,1116,"07:00-08:30
12:00-17:00",07:00-11:00,07:00-11:00,150元/次,20元/日,150元/次,300元/次,"一、有本院病歷號者：至戒癮門診報到、領取帳單→前往櫃檯繳費→至戒癮門診服藥。
二、無本院病歷號者：指未曾來過本院就醫、無就診資料者，持雙證件至櫃檯辦理。
辦理櫃台(平日：門診掛號櫃檯/假日：戒癮門診)→至戒癮門診報到、領取帳單→前往櫃檯繳費→至戒癮門診服藥。
三、轉入跨區費用一次付清，且不予以退費。"
10,衛生福利部臺中醫院,臺中市西區三民路一段199號,(04)22294411,"3337(給藥處)
1772(辦公室)","07:30-10:00
12:00-14:00",07:30~10:00,"除夕-初五
07:3-10:00",0元,120元/日,0元,0元,"一、請先致電本院個管師給予基本資料，以利初診病歷建檔。
二、欲假日辦理服藥報到之個案，請於星期一至星期五上班時間與個管師聯絡，以利先行開立批價單。
三、服藥當日須繳清所有費用，沒有來服藥不予退費。
四、服藥時請攜帶雙證件與專用處方箋。"
11,童綜合醫療社團法人童綜合醫院(沙鹿院區),臺中市沙鹿區成功西街8號,(04)26626161,"56112
",07:00-16:00,07:00-11:00,07:00-11:00,120元/次,35元/次,120元/次,300元/次,"一、第一天服藥時，須繳清所有費用。
二、初次到院須攜帶雙證件及專用處方簽。"
12,國軍臺中總醫院附設民眾診療服務處,臺中市太平區中山路二段348號,(04)23934191,,"07:30-10:30
17:30-18:30",07:30-10:30,"除夕-初五
07:30-10:30",150元/次,150元/日,0元,300元/次,
13,賢德醫院,臺中市太平區宜昌路420號,(04)22732551,187,07:00-22:00,07:00-18:00,無,0元,150元/日,0元,0元,
14,中山醫學大學附設醫院中興院區,臺中市南區復興路二段11號,(04)22621652,70101,11:00-18:00,12:00-15:30,"除夕-初五
12:00-15:30",150元/次,0元,0元,0元,本院因無假日批價，請於平日事前通知，以利轉入作業。
15,佛教慈濟醫療財團法人台中慈濟醫院,臺中市潭子區豐興路一段66號、88號,(04)36060666,3558,12:00-19:00,12:00-16:00,無,150元/次,50元/日,150元/次,300元/次,"一、務必持雙證件確認身分。
二、本院分2個院區，非上班時段或假日到院跨區服藥時，將需要往返服藥區及批價端，需可配合再行轉介。
三、如二所述，本院跨區服藥需往返流程，請務必盡早到院完成手續，以利順利服藥，逾時不候。
四、本院療程採一次性收費，當中若臨時轉回或其他因素無法服藥，均無法退費，敬請配合。"
