序號/編號,標案名稱,預算金額,標的分類,統計期_民國年月
1,車門板下導片等2項採購,"652,050",財物類,11406
2,鋁板條狀吸音天花板採購,預算金額不公開,財物類,11406
3,車頭大燈燈泡採購,預算金額不公開,財物類,11406
4,麟光站及動物園站鋼構屋頂油漆改善工作,"9,616,598",勞務類,11406
5,站管包採購,"1,020,537",財物類,11406
6,繼電器等5項採購,預算金額不公開,財物類,11406
7,301/321/371/381型電聯車車廂空間優化採購,"16,126,474",財物類,11406
8,集電靴電磁閥採購,預算金額不公開,財物類,11406
9, 文湖線環控電腦設備維護工作,"4,008,911",勞務類,11406
10,空氣壓縮機油氣分離器採購,預算金額不公開,財物類,11406
11,市立棒球場歷史紀念意象裝置案,"4,995,239",勞務類,11406
12,國父紀念館站牆面規劃設計工作,"2,500,000",勞務類,11406
13,緩衝橡膠採購,預算金額不公開,財物類,11406
14,牽引馬達十字油嘴等8項採購,"270,214",財物類,11406
15,車站燈箱整建工作,"9,861,453",勞務類,11406
16,空壓機主濾心等9項採購,預算金額不公開,財物類,11406
17,381型電聯車空調換流器採購,預算金額不公開,財物類,11406
18,切換電源轉換保護邏輯指示板採購,預算金額不公開,財物類,11406
19,OTIS電扶梯控制系統升級改善試辦工作,"628,000",勞務類,11406
20,南港機廠人行道排水溝、沉沙池及防汛坑清淤工作,"492,450",勞務類,11406
21,集電靴金屬彈簧等2項採購,"1,684,473",財物類,11406
22,有頭內六角螺絲等98項採購,"1,337,663",財物類,11406
23,R407C冷媒採購,"3,585,519",財物類,11406
24,捷運場站給污排水系統設備檢修工作,"9,800,000",勞務類,11406
25,接點模組等2項採購,預算金額不公開,財物類,11406
26,水冷扇採購,"277,200",財物類,11406
27,氣密環大修包採購,預算金額不公開,財物類,11406
28,微動開關等3項採購,預算金額不公開,財物類,11406
29,安全網更換及檢測工作,"1,312,609",勞務類,11406
30,兒童新樂園建築物能效評估工作,"279,734",勞務類,11406
31,南港、文湖線土建設施維護工作,"18,216,799",勞務類,11406
32,玻纖矽膠防火布等2項採購,"572,145",財物類,11406
33,M12三片式盤型墊圈等18項採購,預算金額不公開,財物類,11406
34,絕緣閘極雙極性電晶體等2項採購,"3,303,300",財物類,11406
35,電力驅動板採購,"4,983,300",財物類,11406
36,256型電聯車用上連桿軸套採購,"2,962,575",財物類,11406
37,捷運場站「出口標示燈及避難方向指示燈」檢修更新工作 ,"19,927,350",勞務類,11406
38,工作制服採購,"118,477,600",財物類,11406
39,板南線台北車站B1大廳層鏤空區建置工程,"20,743,582",工程類,11406
