統編,公司名稱,公司地址,經度,緯度
00030129,安能電業股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
00066218,神燈智能科技股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
00077974,金富陽能源股份有限公司,115臺北市南港區園區街3號16號之1,311745,2772394
00185538,宇紘生物科技有限公司,115臺北市南港區園區街3號17樓,311745,2772394
00187894,穎銳生醫股份有限公司,115臺北市南港區三重路19之11號4樓,311923,2772402
00205350,台北數位創意股份有限公司,115臺北市南港區三重路19之6號7樓,311843,2772245
00205957,臺灣特斯肯有限公司,115臺北市南港區園區街3之2號9樓之1,311739,2772221
00234600,金長虹能源股份有限公司,115臺北市南港區園區街3號16樓之1,311745,2772394
01456077,康定股份有限公司,115臺北市南港區園區街3號9樓之1,311745,2772394
03213392,亞力電機股份有限公司,115臺北市南港區三重路19-11號12樓,311922.558,2772402.482
04405741,杉和實業股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
04697310,海益企業股份有限公司,115臺北市南港區三重路19之3號9樓之1,311836,2772182
04742997,寶齡富錦生技股份有限公司,115臺北市南港區園區街3號16樓,311745,2772394
04804640,展林企業股份有限公司,115臺北市南港區園區街3之1號5樓之3,311730,2772315
07155339,有萬科技股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
09468998,東光投資股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
09493666,碩訊科技股份有限公司,115臺北市南港區園區街3之1號6樓之1,311730,2772315
11332202,東元電機股份有限公司,115臺北市南港區三重路19-9號5樓,311936,2772124
11821341,台灣東洋藥品工業股份有限公司,115臺北市南港區園區街3-1號3樓,311730,2772315
12184616,景漢實業股份有限公司,115臺北市南港區三重路19之3號6樓之3,311835.5,2772182.452
12268328,陸禾水產股份有限公司,115臺北市南港區三重路19之2號11樓,311908,2772179
12368733,台灣恩益禧股份有限公司,115臺北市南港區園區街3之2號8樓,311739,2772221
12445648,偉旭有限公司,115臺北市南港區三重路19之13號7樓,311871,2772403
12495864,長椿實業股份有限公司,115臺北市南港區三重路19之2號7樓,311908,2772179
12623517,靖天傳播國際事業股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
12630860,儷榮科技股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
12663974,順天醫藥生技股份有限公司,115臺北市南港區園區街3-2號4樓,311730,2772315
12664299,吉昶投資股份有限公司,115臺北市南港區園區街3之2號6樓之3,311739,2772220
12664452,貝霖科技有限公司,115臺北市南港區三重路19之11號3樓,311923,2772402
12664880,權鋒國際股份有限公司,115臺北市南港區園區街3之2號4樓,311739,2772221
12693549,百力生物科技股份有限公司,115臺北市南港區園區街3號12樓之1,311745,2772394
12696551,東勝電氣股份有限公司,115臺北市南港區三重路19之9號5樓,311855,2772300
12859317,冠群科技智權有限公司,115臺北市南港區園區街3之2號3樓之2,311739,2772220
12867415,寰宇生物科技股份有限公司,115臺北市南港區園區街3號10樓之2,311745,2772394
12934907,騁威企管顧問股份有限公司,115臺北市南港區三重路19之2號7樓,311908,2772179
12936623,威鋒數位開發股份有限公司,115臺北市南港區園區街3之1號5樓,311730,2772315
12951166,樵泰投資股份有限公司,115臺北市南港區三重路19之11號10樓,311923,2772402
12951813,樵陞投資股份有限公司,115臺北市南港區三重路19之11號10樓,311923,2772402
12966029,威茂股份有限公司,115臺北市南港區園區街3號10樓之5,311745,2772394
13087943,廣來國際投資有限公司,115臺北市南港區園區街3之2號6樓之2,311739,2772220
13104984,瀰工科技股份有限公司,115臺北市南港區園區街3之2號7樓之3,311739,2772221
13105843,平珩國際股份有限公司,115臺北市南港區園區街3號9樓,311745,2772394
13115933,威視科技股份有限公司,115臺北市南港區園區街3之1號4樓之3,311730,2772315
14033663,巨路國際股份有限公司,115臺北市南港區園區街3之1號12樓,311730,2772315
16099112,擎亞電子股份有限公司,115臺北市南港區園區街3之2號13樓,311739,2772220
16138656,凱發科技股份有限公司,115臺北市南港區三重路19之13號3樓,311871,2772403
16170894,東和國際投資股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
16176150,台灣微脂體股份有限公司,115臺北市南港區園區街3號11樓之1,311745,2772394
16310023,眾匯智能健康股份有限公司,115臺北市南港區三重路19之13號5樓,311871,2772403
16313696,佰研生化科技股份有限公司,115臺北市南港區園區街3號10樓之6,311745,2772394
16318279,明欣生物科技股份有限公司,115臺北市南港區園區街3號10樓之3,311745,2772394
16446274,台灣高速鐵路股份有限公司,115臺北市南港區經貿二路66號13~15樓,312171,2772248
16540496,安普新股份有限公司,115臺北市南港區三重路19之3號3樓,311836,2772182
16589976,威躍股份有限公司,115臺北市南港區三重路19之3號6樓之2,311836,2772182
16634206,東安投資股份有限公司,115臺北市南港區三重路19-8號6樓,311936,2772124
16714931,路順投資股份有限公司,115臺北市南港區園區街3之1號12樓之1,311731,2772315
16766579,誼光國際公寓大廈管理維護股份有限公司,115臺北市南港區三重路19之6號1樓,311843,2772245
16793301,純真科技股份有限公司,115臺北市南港區三重路19之2號7樓之1,311908,2772179
18606304,晟德大藥廠股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
20740427,富台工程股份有限公司,115臺北市南港區三重路19之5號6樓,311911,2772236
20792640,偉聯科技股份有限公司,115臺北市南港區園區街3之1號5樓之1,311730,2772315
20808734,光元股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
20854461,九博企業股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
20906783,遠東藍藻工業股份有限公司,115臺北市南港區園區街3號13樓,311745,2772394
20934887,力象股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
20946791,慧與科技股份有限公司,115臺北市南港區經貿二路66號10樓之1,312171,2772248
22156759,精益科技股份有限公司,115臺北市南港區園區街3號13樓之1,311745,2772394
22167101,盈昇有限公司,115臺北市南港區三重路19之3號7樓,311836,2772182
22193500,旭宣系統科技股份有限公司,115臺北市南港區園區街3之2號6樓之3,311739,2772220
22332427,杉豐五金股份有限公司,115臺北市南港區三重路19之13號14樓,311871,2772403
22511651,保綱國際車業股份有限公司,115臺北市南港區三重路19之3號11樓,311836,2772182
22630517,光友股份有限公司,115臺北市南港區三重路19之2號9樓,311908,2772179
22733794,先鋒科技股份有限公司,115臺北市南港區三重路19之11號14樓,311923,2772402
22762827,偉盟系統股份有限公司,115臺北市南港區三重路19之11號13樓,311923,2772402
23131709,得意典藏股份有限公司,115臺北市南港區三重路19之10號2樓,311900,2772357
23145632,帆宣系統科技股份有限公司,115臺北市南港區園區街3-2號6樓,311739,2772220
23279224,歐室食品股份有限公司,115臺北市南港區園區街3之2號7樓,311739,2772221
23283894,波仕特生物科技股份有限公司,115臺北市南港區園區街3號14樓之2,311745,2772394
23415446,東元國際投資股份有限公司,115臺北市南港區三重路19-8號6樓,311936,2772124
23453010,長耀企業股份有限公司,115臺北市南港區三重路19之2號6樓,311908,2772179
23526674,西門子股份有限公司,115臺北市南港區園區街3號8樓,311745,2772394
23622992,九浩企業股份有限公司,115臺北市南港區三重路19之3號9樓之3,311836,2772182
23625631,遠東生物科技股份有限公司,115臺北市南港區園區街3號13樓,311745,2772394
23737093,碁峯資訊股份有限公司,115臺北市南港區三重路66號7樓之6,311990,2772260
23742188,臺灣瑞普有限公司,115臺北市南港區三重路19之3號6樓之2,311836,2772182
23826588,安台國際投資股份有限公司,115臺北市南港區三重路19之8號6樓,311915,2772292
