序號,縣市別,機構數,各縣市序號,機構名稱,電話,地址,戒治機構模式,戒治服務內容
1,63000,1,1,臺北市立聯合醫院(松德院區),(02)27263141,臺北市信義區松德路309號,藥癮戒治核心醫院,美沙冬/丁基原啡因
2,63000,2,2,臺北市立聯合醫院(林森中醫昆明院區),(02)23703739,臺北市萬華區昆明街100號,藥癮戒治診所,美沙冬/美沙冬跨區給藥、丁基原啡因
3,63000,3,3,臺北市立聯合醫院(仁愛院區),(02)27093600,臺北市大安區仁愛路四段10號,藥癮戒治診所,
4,63000,4,4,臺北市立聯合醫院(中興院區),(02)25523234,臺北市大同區鄭州路145號,藥癮戒治診所,
5,63000,5,5,臺北市立聯合醫院(忠孝院區),(02)27861288,臺北市南港區同德路87號,藥癮戒治診所,
6,63000,6,6,臺北市立聯合醫院(陽明院區),(02)28353456,臺北市士林區雨聲街105號,藥癮戒治醫院,美沙冬/丁基原啡因
7,63000,7,7,臺北市立聯合醫院(和平婦幼院區),(02)23889595,臺北市中華路二段33號,藥癮戒治診所,
8,63000,8,8,三軍總醫院附設民眾診療服務處,(02)87923311,臺北市內湖區成功路二段325號,藥癮戒治核心醫院,丁基原啡因
9,63000,9,9,三軍總醫院北投分院附設民眾診療服務處,(02)28959808,臺北市北投區新民路60號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
10,63000,10,10,新光醫療財團法人新光吳火獅紀念醫院,(02)28332211,臺北市士林區文昌路95號,藥癮戒治醫院,
11,63000,11,11,基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,臺北市松山區八德路二段424號,藥癮戒治醫院,
12,63000,12,12,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,(02)29307930,臺北市文山區興隆路三段111號,藥癮戒治醫院,
13,63000,13,13,國泰醫療財團法人國泰綜合醫院,(02)27082121,臺北市大安區仁愛路四段280號,藥癮戒治醫院,
14,63000,14,14,國立臺灣大學醫學院附設醫院,(02)23133456,臺北市中正區中山南路7號,藥癮戒治醫院,
15,63000,15,15,臺北市立關渡醫院,(02)28587000,臺北市北投區知行路225巷12號5樓,藥癮戒治醫院,
16,63000,16,16,臺北醫學大學附設醫院,(02)27372181,臺北市信義區吳興街252號,藥癮戒治醫院,
17,63000,17,17,慧祥診所,(02)27279817,臺北市信義區松山路484之5號,替代治療診所,丁基原啡因
18,63000,18,18,聖約翰婦產科診所,(02)23098502,臺北市萬華區東園街175號,替代治療診所,丁基原啡因
19,63000,19,19,交感身心診所,(02)77306840,臺北市大安區信義路四段 143號4樓,替代治療診所,
20,65000,20,1,衛生福利部八里療養院,(02)26101660,新北市八里區華富山33號,藥癮戒治核心醫院,美沙冬
21,65000,21,2,衛生福利部八里療養院土城門診部,(02)22745250,替代治療執行地點:新北市土城區青雲路6號,藥癮戒治核心醫院,丁基原啡因
22,65000,22,3,天主教耕莘醫療財團法人耕莘醫院,(02)22193391,新北市新店區中正路362號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
23,65000,23,4,衛生福利部樂生療養院,(02)82006600,新北市新莊區中正路794號,藥癮戒治醫院,美沙冬
24,65000,24,5,衛生福利部臺北醫院,(02)22765566,新北市新莊區思源路127號,藥癮戒治醫院,美沙冬
25,65000,25,6,新北市立聯合醫院(三重院區),(02)29829111,新北市三重區新北大道一段3號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
26,65000,26,7,新北市立聯合醫院(板橋院區),(02)22575151,新北市板橋區英士路198號,藥癮戒治醫院,美沙冬、美沙冬跨區給藥、丁基原啡因
27,65000,27,8,臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,(02)28094661,新北市淡水區民生路45號,藥癮戒治醫院,丁基原啡因
28,65000,28,9,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,(02)77282452,新北市板橋區南雅南路二段122-23號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
29,65000,29,10,國泰醫療財團法人汐止國泰綜合醫院,(02)26482121,新北市汐止區建成路59巷2號,藥癮戒治醫院,
30,65000,30,11,行天宮醫療志業醫療財團法人恩主公醫院,(02)26723456,新北市三峽區復興路399號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
31,65000,31,12,衛生福利部雙和醫院(委託臺北醫學大學興建經營),(02)22490088,新北市中和區中正路291號,藥癮戒治醫院,丁基原啡因
32,65000,32,13,佛教慈濟醫療財團法人臺北慈濟醫院,(02)66289779,新北市新店區建國路289號,藥癮戒治醫院,丁基原啡因
33,65000,33,14,新北市立土城醫院(委託長庚醫療財團法人興建經營),(02)22630588,新北市土城區金城路二段6號,藥癮戒治醫院,
34,65000,34,15,安興精神科診所,(02)29743029,新北市三重區重新路三段132號,藥癮戒治診所,丁基原啡因
35,65000,35,16,恆友??科診所,(02)29907909,新北市新莊區幸福東路135號,藥癮戒治診所,
36,10002,36,1,國立陽明交通大學附設醫院,(03)9325192,宜蘭市新民路152號,藥癮戒治醫院,美沙冬/美沙各跨區給藥/丁基原啡因
37,10002,37,2,醫療財團法人羅許基金會羅東博愛醫院,(03)9543131,宜蘭縣羅東鎮南昌街83號 ,藥癮戒治醫院,美沙冬/美沙各跨區給藥/丁基原啡因
38,10002,38,3,天主教靈醫會醫療財團法人羅東聖母醫院,(03)9544106,宜蘭縣羅東鎮中正南路160號,藥癮戒治醫院,美沙冬/美沙各跨區給藥/丁基原啡因
39,10002,39,4,臺北榮民總醫院蘇澳分院,(03)9905106,宜蘭縣蘇澳鎮蘇濱路一段301號,藥癮戒治醫院,美沙冬/丁基原啡因
40,10002,40,5,臺北榮民總醫院員山分院,(03)9222141,宜蘭縣員山鄉內城村榮光路386號,藥癮戒治醫院,丁基原啡因
41,10002,41,6,宜蘭縣頭城鎮衛生所,(03)9771034,宜蘭縣頭城鎮吉祥路15號,替代治療衛生所,丁基原啡因
42,10002,42,7,宜蘭縣冬山鄉衛生所,(03)9594772,宜蘭縣冬山鄉中正路16號,替代治療衛生所,丁基原啡因
43,10017,43,1,衛生福利部基隆醫院,(02)2429-2525分機3609、3387,基隆市信義區信二路268號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
44,10017,44,2,長庚醫療財團法人基隆長庚紀念醫院,(02)24313131,本院(無提供替代治療)：基隆市安樂區麥金路222號,藥癮戒治醫院,
45,10017,45,3,長庚醫療財團法人基隆長庚紀念醫院(情人湖院區),(02)24329292分機2166,(含替代治療)：基隆市安樂區基金一路208巷200號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
46,10017,46,4,維德醫療社團法人基隆維德醫院,(02)24696688分機8112,基隆市中正區調和街210號,藥癮戒治醫院,丁基原啡因
47,9020,47,1,衛生福利部金門醫院,(082)332546,金門縣金湖鎮復興路2號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
48,9007,48,1,連江縣立醫院,(0836)23995,連江縣南竿鄉復興村217號,藥癮戒治診所,丁基原啡因
49,68000,49,1,衛生福利部桃園療養院,(03)3698553,桃園市龍壽街71號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
50,68000,50,2,衛生福利部桃園醫院,(03)3699721,桃園市桃園區中山路1492號,藥癮戒治醫院,丁基原啡因
51,68000,51,3,臺北榮民總醫院桃園分院,(03)3384889,桃園市成功路三段100號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
52,68000,52,4,國軍桃園總醫院附設民眾診療服務處,(03)4799595,桃園市龍潭區中興路168號,藥癮戒治醫院,美沙冬/美沙冬跨區給藥
53,68000,53,5,長庚醫療財團法人林口長庚紀念醫院,(03)3281200,桃園市龜山區復興街5號,藥癮戒治醫院,丁基原啡因
54,68000,54,6,楊延壽診所,(03)4899242,桃園市龍潭區中正路298號,藥癮戒治診所,丁基原啡因
55,68000,55,7,敏盛綜合醫院,(03)3179599,桃園市經國路168號,藥癮戒治診所,
56,68000,56,8,居善醫院,(03)3866511,桃園市大園區南港村大觀路910號,藥癮戒治醫院,丁基原啡因
57,68000,57,9,周孫元診所,(03)3792260,桃園市桃園區龍城五街62號,藥癮戒治診所,丁基原啡因
58,68000,58,10,新楊梅診所,(03)4856530,桃園市楊梅區環東路476號,藥癮戒治診所,丁基原啡因
59,68000,59,11,桃園市觀音區衛生所,(03)4732031,桃園市觀音區觀新路58號,替代治療衛生所,美沙冬
60,68000,60,12,桃園市大溪區衛生所,(03)3882401,桃園市大溪區仁愛路1號,替代治療衛生所,美沙冬
61,68000,61,13,桃園市大園區衛生所,(03)3866765,桃園市大園區中正西路19號,替代治療衛生所,美沙冬
62,68000,62,14,晨新診所,(03)3222232,桃園市蘆竹區中正路357號,替代治療診所,丁基原啡因
63,68000,63,15,晨峰診所,(03)3709886,桃園市八德區永豐路576號,替代治療診所,丁基原啡因
64,68000,64,16,晨暘診所,(03)3175777,桃園市桃園區寶山街235號1樓之2,替代治療診所,丁基原啡因
65,10018,65,1,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,(03)5326151,新竹市經國路一段442巷25號,藥癮戒治核心醫院,美沙冬/美沙冬跨區給藥/丁基原啡因
66,10018,66,2,國軍桃園總醫院新竹分院附設民眾診療服務處,(03)5325552,新竹市武陵路3號,藥癮戒治核心醫院,丁基原啡因
