序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,吉星診所,100,臺北市中正區青島東路4之5號(1樓),0223-911-907
3,柯滄銘婦產科診所,100,臺北市中正區林森南路10號、10之1號、10號2樓、12號2樓、10號4樓、10號4樓之2,3393-3939
4,蕙瑛婦產科診所,100,臺北市中正區忠孝西路一段五十號二十四樓之二十四,023-886-731
5,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,臺北市中正區永綏街8至14號,02-23111525
6,宏孕診所,100,臺北市中正區新生南路1段56號14、15樓,025-681-269
7,禾馨婦產科診所,100,臺北市中正區懷寧街78號、78號2樓,023-612-323
8,祈新婦產科診所,100,臺北市中正區懷寧街78號9、10樓,023-612-323
9,同泰診所,100,臺北市中正區汀州路二段一三六號、一三八號,0223-678-511
10,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
11,聖心婦家醫診所,103,臺北市大同區保安街1之1號(1樓),025-531-346
12,黃隆慶婦產科診所,103,臺北市大同區歸綏街181號2樓之1,025-573-289
13,梅約診所,103,臺北市大同區長安西路88號1、2、3樓,025-557-728
14,紘成診所,103,臺北市大同區長安西路53巷7弄1之1號1樓,2-255924120
15,佑昇診所,104,臺北市中山區長安東路2段88號8樓、90號8樓,02-25176696
16,歐婦產科診所,104,臺北市中山區民生東路二段８０號,0225-631-711
17,世珍婦產診所,104,臺北市中山區朱崙街四十六號,0227-212-501
18,北安聯合診所,104,臺北市中山區北安路569之2號 569之3號  569之4號 569之1號二 樓 569之2號二 樓 569之3號二 樓 569之4號二 樓,025-337-777
19,李義男婦產科診所,104,臺北市中山區中山北路二段７１號４樓,0225-239-923
20,吳輝明婦產科診所,104,臺北市中山區長春路７８號２Ｆ,0225-511-234
21,王三郎婦產科診所,104,臺北市中山區中山北路二段166號之2,0225-948-758
22,孕醫診所,104,臺北市中山區松江路318號2樓,021-006-318
23,繼承婦產科診所,104,臺北市中山區松江路276號5樓及5樓之1,025-641-083
24,羅浮婦女診所,104,臺北市中山區長安東路2段88號12樓、90號12樓,2507-8995
25,詩宓診所,104,臺北市中山區民生東路2段161號3樓,02-25012349
26,美迪大直婦產科診所,104,臺北市中山區北安路780號2樓,02-85020290
