序號,郵遞區號,機構名稱,地址,電話
1,100,彩虹樹職能治療所,台北市中正區北平東路20號3樓,02 2391 0586
2,104,愛能大直職能治療所,台北市中山區北安路595巷21號1樓,?02 8509 1121
3,104,愛迪樂中山職能治療所,?台北市中山區松江路221巷17號,02-25216043
4,104,好生活居家職能治療所,台北市中山區中山北路三段25之12號,?0956 041 598
5,104,好朋友居家職能治療所,台北市中山區中山北路三段25之12號,?0956 041 598
6,104,珂斯汀職能治療所,台北市中山區松江路530號2樓,0933 321 625
7,104,暖時光職能治療所,台北市中山區長安東路二段131-2號1樓,02 2797 2225
8,104,幼思職能治療所,台北市中山區敬業二路69巷55號2樓,02 8502 7002
9,105,啟端職能治療所,台北市松山區民權東路三段106巷15弄25號2樓,02 2547 1401
10,104,荃能職能治療所,臺北市松山區寶清街89巷46號,
11,104,荷普職能治療所,臺北市松山區敦化北路１１４號２樓、１１６號２樓?看地圖,02-77287688
12,106,大安宏兒職能治療所,台北市大安區復興南路二段210巷20號1樓,?02 2706 2102
13,106,優活職能治療所,台北市溫州街22巷8號,02-2369-5990
14,106,啟端古亭職能治療所,台北市大安區羅斯福路三段37號10 樓,?02 2231 2687
15,106,起辰職能治療所,台北市大安區信義路四段65號3樓,?02 2706 8878
16,106,寶珠職能治療所,台北市大安區通化街140巷17號2樓,?02 2732 9012
17,108,樂親居家職能治療所,台北市萬華區和平西路三段396號106室,0971 119 909
18,110,星星碼頭職能治療所,台北市信義區基隆路一段141號5號樓之8,?0981 047 214
19,110,小島居家職能治療所,台北市信義區虎林街201號,0937 737 130
20,111,愛能職能治療所,台北市士林區天母北路10-1號1樓,02 2876 8354
21,111,優兒巧兒童職能治療所,台北市士林區忠誠路二段21巷48號,?02 2836 7560
22,111,新康居家職能治療所,台北市士林區至誠路二段120巷1號,
23,220,大心居家職能治療所,新北市板橋區海山路19號1樓,?02 7751 8057
24,112,安安優腦職能治療所,台北市北投區磺港路8號7樓,02 2891 2323
25,112,稻香職能治療所-委託臺北榮民總醫院經營管理,台北市北投區稻香路81號6樓之1,02 2895 6001
26,114,沐晨職能治療所,台北市內湖區安泰街125巷19號5樓,
27,104,愛迪樂居家職能治療所,台北市中山區民生東路二段127巷19號,02 2521 6043
28,115,與樂職能治療所,臺北市南港區八德路四段881號2樓,
29,116,壽合居家職能治療所,臺北市文山區興隆路3段221巷4弄14號4樓,0933 004 397
30,116,麥恩居家職能治療所,台北市文山區仙岩路16巷46號6 樓 之 14,
