序號,機構名稱,郵遞區號,地址,電話
1,龍泰驗光所,100,臺北市中正區忠孝西路一段50號23樓之3,0906-070-090
2,寶島南昌驗光所,100,臺北市中正區南昌路一段159號,023-959-007
3,模範眼鏡驗光所,100,臺北市中正區羅斯福路三段274之1號,023-681-222
4,得恩堂眼鏡博愛驗光所,100,臺北市中正區博愛路118號,023-618-243
5,經典光學驗光所,100,臺北市中正區汀州路三段112號,023-682-719
6,大光明驗光所,100,臺北市中正區博愛路29號,02-23316238
7,大陸眼鏡台大驗光所,100,臺北市中正區羅斯福路三段278號,023-675-637
8,廣騰驗光所,100,臺北市中正區羅斯福路二段7號,023-581-066
9,光明分子東門驗光所,100,臺北市中正區信義路二段175號(實際營業地址:2樓)、177號2樓,2322-3566
10,明泉驗光所,100,臺北市中正區青島東路4之3號,2393-5609
11,台大驗光所,100,臺北市中正區汀州路三段187號,02-23658715
12,青商驗光所,100,臺北市中正區漢口街一段31號2樓,02-23710808
13,聚眾驗光所,100,臺北市中正區信陽街25號(實際營業地址:2樓),0-23881212
14,中天古亭驗光所,100,臺北市中正區羅斯福路1段107號,2392-0918
15,視鏡空間古亭驗光所,100,臺北市中正區羅斯福路二段150號2樓之1,02-23686608
16,南昌驗光所,100,臺北市中正區羅斯福路三段6號,023-681-586
17,永三公館驗光所,100,臺北市中正區羅斯福路三段302號,0902-018-815
18,中天忠孝二驗光所,100,臺北市中正區忠孝東路2段16號,2358-1075
19,視窗驗光所,100,臺北市中正區和平西路1段72號,023-690-903
20,寶島汀州驗光所,100,臺北市中正區汀州路3段162號,023-671-570
21,年青人公館驗光所,100,臺北市中正區羅斯福路3段316巷2號(2層)、羅斯福路4段2號(2層),02-23688094
22,明達客服驗光所,100,臺北市中正區博愛路76號3樓,2311-5129
23,年青人信陽驗光所,100,臺北市中正區信陽街1號(1樓),2388-0612
24,佳暘中正驗光所,100,臺北市中正區愛國東路20之1號,02-23519848
25,寶島衡陽驗光所,100,臺北市中正區衡陽路98號(1樓),023-819-323
26,台灣睛姿台北站前驗光所,100,臺北市中正區忠孝西路1段66號3樓(櫃位：03F017),02-23115292
27,公館尖端視光驗光所,100,臺北市中正區汀州路3段305號(1樓),02-23682881
28,博士驗光所,100,臺北市中正區羅斯福路4段18號(1樓),023-659-955
29,精展驗光所,100,臺北市中正區汀州路3段223號(1樓),023-684-882
30,小林眼鏡萬華驗光所,100,臺北市中正區惠安街15之1號1樓,0223-331-162
31,伸騰驗光所,100,臺北市中正區羅斯福路3段300號1樓,086-981-071
32,永三南昌驗光所,100,臺北市中正區南昌路1段63號(1樓),0902-139-328
33,台灣睛姿三創驗光所,100,臺北市中正區市民大道3段2號(3樓R310、R311、R312區),02-23413993
34,加入度東門驗光所,100,臺北市中正區信義路2段159號(1樓),02-27072569
35,眼鏡市場台北車站驗光所,100,臺北市中正區忠孝西路1段47號地下街(KB154號櫃位),02-86146267
36,恩戴適微風台北驗光所,100,臺北市中正區北平西路3號(1樓G18櫃位),02-23615331
37,得恩堂眼鏡羅斯福路驗光所,100,臺北市中正區羅斯福路1段96號1樓,02-23917363
38,愛視特驗光所,100,臺北市中正區連雲街77號1樓,02-23930583
39,恩戴適公館驗光所,100,臺北市中正區羅斯福路4段88之1號1樓,0909-673-970
40,富雄驗光所,103,臺北市大同區蘭州街102號,025-952-308
41,明和眼鏡驗光所,103,臺北市大同區鄭州路63號(實際營業地址：1層),025-568-193
42,明明驗光所,103,臺北市大同區重慶北路三段223巷21號,02-25922493
43,靈魂之窗中山驗光所,103,臺北市大同區南京西路95號,025-526-101
44,寶島酒泉驗光所,103,臺北市大同區酒泉街135號,02-25861956
45,國輝驗光所,103,臺北市大同區民權西路106之1號(1樓),025-993-868
46,大千驗光所,103,臺北市大同區延平北路一段129號,02-25596052
47,艾德數位光學驗光所,103,臺北市大同區承德路3段267號1樓,02-25866783
48,尚宏驗光所,103,臺北市大同區承德路1段48號1樓,0225-506-520
49,大陸眼鏡酒泉驗光所,103,臺北市大同區酒泉街74號1樓,02-2599-3855
50,中天南京西驗光所,103,臺北市大同區南京西路89號(1樓),025-501-905
51,台灣睛姿京站驗光所,103,臺北市大同區承德路1段1號地下2層(櫃號：024018),02-25580803
52,靈魂之窗南西驗光所,103,臺北市大同區南京西路91號(1樓)、93號(1樓),02-25526101
53,合美驗光所,103,臺北市大同區長安西路153號(1樓),02-25490168
54,大發驗光所,103,臺北市大同區重慶北路3段319號 (1樓),025-911-019
55,圈圈驗光所,103,臺北市大同區庫倫街11號1樓,025-951-880
56,恩戴適京站驗光所,103,臺北市大同區承德路1段1號地下1層(櫃位:Q24012),02-25522214
57,兩和驗光所,103,臺北市大同區民權西路216號1樓,02-25520303
58,耶利米光學驗光所,104,臺北市中山區中山北路2段170號6樓,0976-237-516
59,寶明驗光所,104,臺北市中山區龍江路250號(1樓),2517-5810
60,優比光學眼鏡驗光所,104,臺北市中山區龍江路288號2樓之2,2500-6676
61,睛明驗光所,104,臺北市中山區錦州街393號,02-25098661
62,金采驗光所,104,臺北市中山區長春路338號,027-180-125
63,汎銧驗光所,104,臺北市中山區龍江路308號,02-25176835
64,小林眼鏡民生東路驗光所,104,臺北市中山區民生東路2段136號(1樓),02-25377562
65,日昌驗光所,104,臺北市中山區北安路539號,02-25333761
66,小林眼鏡台北龍江驗光所,104,臺北市中山區龍江路371號(1樓),02-25032194
67,昇芳驗光所,104,臺北市中山區農安街237號,02-25040198
68,宜安驗光所,104,臺北市中山區民權東路3段82號(實際營業:二層),02-25156506
69,得恩堂眼鏡中山北路驗光所,104,臺北市中山區中山北路一段57之1號,025-514-222
70,四季驗光所,104,臺北市中山區中山北路二段39巷6之1號,025-112-347
71,宏昌驗光所,104,臺北市中山區長春路215號,02-25023726
72,米蘭米藍晶華驗光所,104,臺北市中山區中山北路二段39巷6號,025-238-100
73,晴安驗光所,104,臺北市中山區農安街9之2號,0225-958-235
74,豪帥驗光所,104,臺北市中山區長安東路二段171之1號,02-27732070
75,新日驗光所,104,臺北市中山區北安路556號(實際營業地址:1樓),2532-6779
76,恩戴適南西驗光所,104,臺北市中山區南京西路13號,0225-118-871
