序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,台北市中正區中山南路7號,02 2312 3456
2,謝明吉口腔顎面外科牙醫診所,100,台北市中正區忠孝西路一段6號2樓,?02 2711 2568
3,德華牙醫診所,100,台北市中正區重慶南路一段110號,?02 2370 4511
4,立威口腔顎面外科牙醫診所,103,台北市大同區重慶北路三段280號,02 2585 2508
5,臺北市立聯合醫院,103,臺北市鄭州路145號,(02)2555-3000
6,歐嘉得牙醫診所,104,台北市中山區民生東路一段58號3樓,02 2561 4640
7,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,台北市中山區中山北路二段92號,02 2543 3535
8,煥顏牙醫診所,104,?臺北市中山區新生北路二段33巷9號一樓.,02 2581 2525
9,長庚醫療財團法人台北長庚紀念醫院,105,台北市松山區南京東路三段337,?02 2713 5211
10,基督復臨安息日會醫療財團法人臺安醫院,105,台北市松山區八德路二段424號,02 2771 8151
11,國泰醫療財團法人國泰綜合醫院,106,台北市大安區仁愛路四段280號,02 2708 2121
12,中心診所醫療財團法人中心綜合醫院,106,台北市大安區忠孝東路四段77號,02 2751 0221
13,立新口腔顎面外科牙醫診所,108,台北市萬華區西園路二段233號,02 2301 0601
14,臺北醫學大學附設醫院,110,台北市信義區吳興街252號,02 2737 2181
15,新光醫療財團法人新光吳火獅紀念醫院,111,台北市士林區文昌路95號,?02 2833 2211
16,臺北榮民總醫院,112,台北市北投區石牌路二段201號,02 2871 2121
17,三軍總醫院附設民眾診療服務處,105,台北市松山區健康路131號,?02 2764 2151
18,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,116,台北市文山區興隆路三段111號,
