序號,機構名稱,行政區域代碼,郵遞區號,地址
1,國立台灣大學醫學院附設醫院,63000050,100,台北市中正區常德街1號
2,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,63000050,100,台北市中正區永綏街8-14號
3,郵政醫院（委託中英醫療社團法人經營）,63000050,100,台北市中正區福州街14號
4,臺北市立聯合醫院,63000060,103,台北市大同區鄭州路145號
6,泓采診所,,104,台北市中山區建國北路二段137號1樓
7,台北維德診所,,104,台北市中山區民權東路三段66號1、2樓
8,陳博光教授診所,,104,台北市中山區長安東路二段1號
9,聖和骨外科診所,,104,台北市中山區農安街140號
10,佳禾骨科診所,,104,台北市中山區民生西路54號3樓
11,王宗前診所,,104,台北市中山區吉林路250號
12,北安聯合診所,,104,台北市中山區北安路569-3號
13,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,63000040,104,台北市中山區中山北路二段92號
14,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000040,104,台北市中山區中山北路二段92號
15,佑達骨科診所,63000010,105,台北市松山區南京東路四段95號1樓
16,三軍總醫院松山分院附設民眾診療服務處,63000010,105,台北市松山區健康路131號
17,長庚醫療財團法人台北長庚紀念醫院,63000010,105,台北市松山區敦化北路 199 號
18,基督復臨安息日會醫療財團法人臺安醫院,63000010,105,台北市松山區八德路二段424號
19,佳德診所,63000010,105,台北市松山區健康路18號
20,裕昇診所,63000010,105,台北市松山區民生東路五段95號
22,博仁綜合醫院,63000010,105,台北市松山區光復北路66號
23,中山醫療社團法人中山醫院,63000030,106,台北市大安區仁愛路四段112巷11號
24,中心診所醫療財團法人中心綜合醫院,63000030,106,台北市大安區忠孝東路四段77號
25,國泰醫療財團法人國泰綜合醫院,63000030,106,台北市大安區仁愛路四段280號
26,詹骨科診所,63000030,106,台北市大安區信義路四段53巷6號
27,國立臺灣大學醫學院附設醫院癌醫中心分院,63000030,106,台北市大安區基隆路三段155巷57號1樓
28,瀚群骨科診所,63000030,106,台北市大安區仁愛路四段2號1樓
29,慈民骨科診所,63000030,106,台北市大安區延吉街233巷2號
30,蔡凱宙自然骨科診所,63000030,106,台北市大安區羅斯福路三段309號4F之3
31,敦力診所,63000030,106,台北市大安區敦化南路二段164號2樓
32,宏恩醫療財團法人宏恩綜合醫院,63000030,106,台北市大安區仁愛路四段61號
33,杏澤健康診所,63000030,106,台北市大安區復興南路一段215號12樓
34,鳴一診所,63000030,106,台北市大安區敦化南路1段294號
35,和麗診所,63000030,106,台北市大安區和平東路一段121號2樓
36,財團法人台灣省私立台北仁濟院附設仁濟醫院,63000071,108,台北市萬華區廣州街200、243 號
37,萬華瀚群骨科診所,63000030,106,台北市大安區仁愛路四段2號1樓
38,西園醫療社團法人西園醫院,63000071,108,台北市萬華區西園路二段270號
39,萬太診所,63000071,108,台北市萬華區萬大路434號
40,永康診所,63000071,108,台北市萬華區桂林路47號
41,臺北醫學大學附設醫院,63000020,110,台北市信義區吳興街252號
42,仁瀚骨科診所,63000020,110,台北市信義區信安街151號
43,祐誠骨科診所,63000020,110,台北市信義區信義路六段77號1樓
44,新光醫療財團法人新光吳火獅紀念醫院,63000110,111,台北市士林區文昌路95號
45,聯志骨科診所,63000110,111,台北市士林區承德路四段184號
46,文林骨科診所,63000110,111,台北市士林區文林路468號
47,健群骨科診所,63000110,111,台北市士林區延平北路六段10號
48,韓偉骨科診所,63000110,111,台北市士林區中山北路五段506號7樓
49,博政骨科診所,63000110,111,台北市士林區德行西路99-101號
50,永恆美診所,63000110,111,台北市士林區忠誠路一段58號
51,東杏診所,63000110,111,台北市士林區中山北路六段431之2號2樓
52,永安診所,63000110,111,台北市士林區中山北路六段405巷63號
53,吳錫麟診所,63000110,111,台北市士林區社中街266號
54,振興醫療財團法人振興醫院,63000120,112,台北市北投區振興街45號
55,北投骨科診所,63000120,112,台北市北投區中央南路一段178號
56,石牌實和復健診所,63000120,112,台北市北投區文林北路262號一樓
57,臺北榮民總醫院,63000120,112,台北市北投區石牌路二段201號
58,光明診所,63000120,112,台北市北投區石牌路二段99巷55號
59,戴念國骨科診所,63000100,114,台北市內湖區行忠路57號5樓
60,葫洲診所,63000100,114,台北市內湖區康寧路三段35號
61,榮欣骨科診所,63000100,114,台北市內湖區內湖路一段617號
62,陳森豊診所,63000100,114,台北市內湖區環山路一段2號
63,中國醫藥大學附設醫院臺北分院,63000100,114,台北市內湖區內湖路二段360號
64,康寧醫療財團法人康寧醫院,63000100,114,台北市內湖區成功路五段420巷26號
65,三軍總醫院附設民眾診療服務處,63000100,114,台北市內湖區成功路二段325號
66,國泰醫療財團法人內湖國泰診所,63000100,114,台北市內湖區瑞光路337號
67,興盛診所,63000090,115,台北市南港區永吉路551、546號
68,奕賢骨科外科診所,63000090,115,台北市南港區八德路四段776號
69,臺北市立萬芳醫院-委託臺北醫學大學辦理,63000082,116,台北市文山區興隆路三段111號
70,聯恩診所,63000082,116,台北市文山區木柵路二段155號
71,明瀚骨科診所,63000082,116,台北市文山區保儀路58號
72,景美醫院,63000082,116,台北市文山區羅斯福路六段280號
