公司名稱,負責人,郵遞區號,公司所在地,電話
萬榮國際股份有限公司,簡意濤,104027,臺北市中山區中山北路3段30號7樓之3,225872268
根登建設股份有限公司,吳麗雲,110029,臺北市信義區信義路5段109號3樓之1,287898800
中繼有限公司,段忠仁,200001,基隆市仁愛區孝一路68之3號,224212157
安阜易事業有限公司,林誌偉,200001,基隆市仁愛區忠三路99號3樓之13,932017339
木山殯儀有限公司,高忠聖,200003,基隆市仁愛區光華里華二街9號1樓,910037366
頂恩生命禮儀社,張馨,200006,基隆市仁愛區文安里崇安街36巷18號,24282388
生暉生命事業有限公司,陳亭臻,200006,基隆市仁愛區崇安街64巷5號,224280320
宥登企業社,徐子筑,200006,基隆市仁愛區龍安街208之2號1樓,921840113
永玖禮儀用品店,吳炫逸,200006,基隆市仁愛區龍安街33號1樓,224202696
易誠禮儀社,高月珠,200007,基隆市仁愛區南榮路277號,224220067
古今葬儀社,吳漢欽,200007,基隆市仁愛區南榮路44號,24234926
安然生命禮儀企業社,李美惠,200007,基隆市南榮路40號1樓,24270005
尚霖企業社,蔡金蒲,200008,基隆市仁愛區南新街184號底一層,24256595
慈昇企業社,吳治修,200008,基隆市仁愛區南新街40之4號,24288133
成功禮儀用品有限公司,丁祥紘,200008,基隆市仁愛區南榮路395之4號1樓,224252564
恩德國際開發企業社,修丕豹,200008,基隆市仁愛區南榮路443號,224261119
金衡葬儀社,林建富,200008,基隆市仁愛區南榮路467號1樓,224260250
鴻惠禮儀社,陳建豪,200008,基隆市仁愛區南榮路503號1樓,224295111
冠紘有限公司,賴志雄,200009,基隆市仁愛區南榮路151巷2號1樓,932356751
冠紘有限公司,賴志雄,200009,基隆市仁愛區南榮路151巷2號1樓,932356751
台灣國寶殯葬禮儀有限公司,魏慧菁,200009,基隆市仁愛區南榮路55巷3號,24211929
蓮銘生命禮儀企業社,高志銘,200010,基隆市仁愛區仁四路19巷49號,927513123
北海禮儀服務有限公司,許家禎,200010,基隆市仁愛區愛四路28巷6號3樓,935139357
卓越生命事業股份有限公司,周庭宇,200012,基隆市仁愛區花崗里劉銘傳路11巷53號,224590000
弘道禮儀企業社,林煒哲,200012,基隆市仁愛區劉銘傳路63巷12號1樓,224257290
十方禮儀企業有限公司,許升卿,200013,基隆市仁愛區仁一路113號9樓之2,900144799
龍園殯儀用品社,林陳平,201002,基隆市信義區東明路10號1樓,224650368
絢冠禮儀企業社,張國臺,201002,基隆市信義區東明路77巷174號4樓,928521318
